Date,POCtotal_conc_gm3,POCR_conc_gm3,POCL_conc_gm3,NPPin_gm2y,FlowIn_gm2y,FlowOut_gm2y,sedOut_gm2y,leachOut_gm2y,POC_flowOut_gm2y,POC_sedOut_gm2y,POCload_g,POCalloch_g,POCautoch_g,POCout_g
2004-07-20,-0.0000000000000000000309940457270626,-0.0000000000000000000309940457270626,0,31.5067798259499,1.28586592896879,0.00933007488507311,1.28550001167937,31.4978156683543,67057.7118912052,9016215.28741667,1444583.42765298,56645.0363613404,1387938.39129164,1444583.42765298
2004-07-21,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,32.5369553952967,2.9412290348646,0.00990928241421915,2.94040737949325,32.5278677682538,67494.2361430908,9145746.27441632,1562886.92452757,129567.18260709,1433319.74192048,1562886.92452757
2004-07-22,0.0000000000000000000309940457270626,0.0000000000000000000309940457270626,0,30.8836323585911,0.903303041028957,0.00861326942347393,0.903058227539893,30.8752639026567,67873.6683596936,9185527.84493855,1400279.81997395,39792.3550594647,1360487.46491448,1400279.81997395
2004-07-23,0,0,0,29.6740915410375,2.33785748942329,0.00800699179284649,2.33727261224601,29.666669426422,68226.3928008914,9288489.50612294,1410192.13276926,102987.426225855,1307204.7065434,1410192.13276926
2004-07-24,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,29.6040718971586,2.27524676673505,0.00747545400919412,2.27471312181164,29.5971300880728,68555.7019105183,9388695.2932068,1404349.49259382,100229.295239268,1304120.19735456,1404349.49259382
2004-07-25,0,0,0,29.3441415174397,0.881327081991061,0.00661512967963171,0.881134149852181,29.337719319899,68847.1119656383,9427511.06305741,1331493.99893219,38824.2689077651,1292669.73002442,1331493.99893219
2004-07-26,0,0,0,29.757082923713,1.01071254941872,0.00705448128559791,1.01048075986239,29.7502602319838,69157.8763617784,9472024.81685968,1355384.612089,44523.9646085031,1310860.6474805,1355384.612089
2004-07-27,0,0,0,29.0209476956302,1.30368375069138,0.00663683240656962,1.30339836005766,29.0145962538573,69450.2424666146,9529442.19283603,1335862.326097,57429.9480201826,1278432.37807682,1335862.326097
2004-07-28,0,0,0,28.0370799715267,0.861218189425501,0.00602349131105697,0.861038634854435,28.0312360347867,69715.5896359036,9567372.71395884,1273029.41405466,37938.43087061,1235090.98318405,1273029.41405466
2004-07-29,0.0000000000000000000619880914541253,0.0000000000000000000619880914541253,0,27.831689205959,2.0421973733262,0.0062268405992492,2.04177159751479,27.8258881411711,69989.8947591785,9657316.94825045,1316006.08851596,89962.9905909917,1226043.09792497,1316006.08851596
