DATE,MONTH,DAYS,ID,YEAR,JULIAN,HOUR,RAIN,PYRANOMETER,LAKE QUANTUM,QUANTUM,AIR TEMP 1M,AIR TEMP 5M,RH 1M,RH 5M,BAROMETER,WIND SP 1M,AIR TC 1M,AIR TC 5M,WIND SP 5M,WIND MAG 5M,WIND DIR 5M,WIND STD 5M,VAPOR PRESS 5M,PYR J CM2 HR,WIND SECTOR,DATE Stowaway,Stowaway 1M,Date Hobo logger,Hobo logger 3 m air,Hobo logger 3 m RH,Hobo logger 3 m PAR,COMMENTS
01-Jan-2003,1,1.63,124,2003,1,1500,0,-0.001,#N/A,#N/A,-27.6,-27.2,72,74,679,1.20,-28,-27,1.3,1.3,171,8.6,0,0,S,01-Jan-2003 15:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.67,124,2003,1,1600,0,-0.002,#N/A,#N/A,-28.2,-27.7,72,75,679,1.04,-28,-28,1.1,1.1,166,12.9,0,0,S,01-Jan-2003 16:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.71,124,2003,1,1700,0,-0.002,#N/A,#N/A,-28.0,-27.4,72,75,679,0.71,-28,-28,0.7,0.6,162,21.8,0,0,S,01-Jan-2003 17:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.75,124,2003,1,1800,0,-0.002,#N/A,#N/A,-27.2,-26.5,72,74,679,1.03,-27,-27,1.1,1.1,165,10.1,0,0,S,01-Jan-2003 18:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.79,124,2003,1,1900,0,-0.002,#N/A,#N/A,-26.7,-26.1,71,73,679,0.98,-27,-26,1.0,1.0,169,13.0,0,0,S,01-Jan-2003 19:00,-25.4,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.83,124,2003,1,2000,0,-0.002,#N/A,#N/A,-24.9,-24.4,72,74,679,0.81,-25,-25,0.8,0.6,157,40.0,1,0,SE,01-Jan-2003 20:00,-25.4,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.88,124,2003,1,2100,0,-0.002,#N/A,#N/A,-24.5,-23.9,70,72,679,0.94,-25,-24,1.0,1.0,159,10.2,1,0,S,01-Jan-2003 21:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.92,124,2003,1,2200,0,-0.002,#N/A,#N/A,-25.9,-25.2,70,72,679,1.05,-26,-26,1.1,1.1,160,10.1,1,0,S,01-Jan-2003 22:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.96,124,2003,1,2300,0,-0.002,#N/A,#N/A,-27.6,-26.7,71,73,679,0.90,-28,-27,0.9,0.9,157,15.8,0,0,SE,01-Jan-2003 23:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.00,124,2003,1,2400,0,-0.002,#N/A,#N/A,-27.1,-26.6,70,72,679,0.99,-27,-27,1.1,1.1,166,12.5,0,0,S,02-Jan-2003 00:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.04,124,2003,2,0100,0,-0.002,#N/A,#N/A,-26.5,-26.1,69,71,679,1.26,-27,-26,1.4,1.4,162,10.5,0,0,S,02-Jan-2003 01:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.08,124,2003,2,0200,0,-0.002,#N/A,#N/A,-26.9,-26.3,69,71,680,0.71,-27,-27,0.9,0.8,154,24.6,0,0,SE,02-Jan-2003 02:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.13,124,2003,2,0300,0,-0.002,#N/A,#N/A,-26.9,-26.3,69,71,679,1.16,-27,-27,1.3,1.3,160,10.3,0,0,S,02-Jan-2003 03:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.17,124,2003,2,0400,0,-0.002,#N/A,#N/A,-26.7,-26.2,68,70,680,1.22,-27,-26,1.4,1.4,164,9.5,0,0,S,02-Jan-2003 04:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.21,124,2003,2,0500,0,-0.002,#N/A,#N/A,-26.3,-25.9,67,69,680,1.25,-26,-26,1.4,1.4,160,9.9,0,0,S,02-Jan-2003 05:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.25,124,2003,2,0600,0,-0.002,#N/A,#N/A,-26.6,-26.1,67,69,680,1.14,-27,-26,1.3,1.3,157,10.1,0,0,SE,02-Jan-2003 06:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.29,124,2003,2,0700,0,-0.002,#N/A,#N/A,-26.9,-26.5,67,69,680,1.14,-27,-27,1.3,1.2,156,9.3,0,0,SE,02-Jan-2003 07:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.33,124,2003,2,0800,0,-0.002,#N/A,#N/A,-27.5,-26.9,68,70,679,1.19,-27,-27,1.3,1.3,161,10.4,0,0,S,02-Jan-2003 08:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.38,124,2003,2,0900,0,-0.002,#N/A,#N/A,-26.9,-26.5,68,70,679,1.23,-27,-27,1.4,1.4,162,7.7,0,0,S,02-Jan-2003 09:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.42,124,2003,2,1000,0,-0.002,#N/A,#N/A,-28.4,-27.2,70,71,679,0.90,-28,-27,1.0,0.9,140,25.2,0,0,SE,02-Jan-2003 10:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.46,124,2003,2,1100,0,-0.002,#N/A,#N/A,-29.4,-27.7,70,71,679,0.46,-29,-28,0.5,0.4,120,40.3,0,0,SE,02-Jan-2003 11:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.50,124,2003,2,1200,0,-0.001,#N/A,#N/A,-30.1,-28.9,72,73,679,0.69,-30,-29,0.8,0.7,166,21.5,0,0,S,02-Jan-2003 12:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.54,124,2003,2,1300,0,0,#N/A,#N/A,-30.1,-29.0,70,72,680,1.06,-30,-29,1.2,1.2,163,11.5,0,1,S,02-Jan-2003 13:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.58,124,2003,2,1400,0,0,#N/A,#N/A,-30.2,-29.1,70,72,679,1.05,-30,-29,1.2,1.1,163,14.5,0,1,S,02-Jan-2003 14:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.63,124,2003,2,1500,0,-0.001,#N/A,#N/A,-30.0,-28.7,71,73,680,0.85,-30,-29,1.0,1.0,164,13.8,0,0,S,02-Jan-2003 15:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.67,124,2003,2,1600,0,-0.002,#N/A,#N/A,-30.0,-28.9,70,72,680,0.96,-30,-29,1.1,1.1,163,10.6,0,0,S,02-Jan-2003 16:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.71,124,2003,2,1700,0,-0.002,#N/A,#N/A,-30.1,-29.3,71,73,679,1.06,-30,-30,1.2,1.2,163,10.9,0,0,S,02-Jan-2003 17:00,-32.3,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.75,124,2003,2,1800,0,-0.002,#N/A,#N/A,-30.9,-29.9,71,73,679,0.85,-31,-30,1.0,1.0,165,13.6,0,0,S,02-Jan-2003 18:00,-32.3,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.79,124,2003,2,1900,0,-0.002,#N/A,#N/A,-31.0,-29.9,71,73,679,0.99,-31,-30,1.1,1.0,159,22.6,0,0,S,02-Jan-2003 19:00,-32.3,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.83,124,2003,2,2000,0,-0.002,#N/A,#N/A,-31.3,-30.3,71,73,679,0.76,-31,-31,1.0,0.9,165,14.1,0,0,S,02-Jan-2003 20:00,-32.3,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.88,124,2003,2,2100,0,-0.002,#N/A,#N/A,-31.8,-30.7,71,74,679,0.98,-32,-31,1.2,1.2,166,10.4,0,0,S,02-Jan-2003 21:00,-33.4,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.92,124,2003,2,2200,0,-0.002,#N/A,#N/A,-32.0,-31.1,71,74,679,0.71,-32,-31,0.9,0.9,170,14.8,0,0,S,02-Jan-2003 22:00,-33.4,#N/A,#N/A,#N/A,#N/A,#N/A
02-Jan-2003,1,2.96,124,2003,2,2300,0,-0.002,#N/A,#N/A,-31.9,-31.2,71,74,679,0.88,-32,-31,1.1,1.1,167,10.8,0,0,S,02-Jan-2003 23:00,-34.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.00,124,2003,2,2400,0,-0.002,#N/A,#N/A,-32.7,-31.9,72,75,679,0.72,-33,-32,0.9,0.9,171,9.6,0,0,S,03-Jan-2003 00:00,-34.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.04,124,2003,3,0100,0,-0.002,#N/A,#N/A,-33.3,-32.5,72,75,679,0.65,-33,-33,0.8,0.8,170,19.8,0,0,S,03-Jan-2003 01:00,-34.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.08,124,2003,3,0200,0,-0.002,#N/A,#N/A,-33.3,-32.6,72,75,679,0.46,-34,-33,0.6,0.4,158,39.7,0,0,S,03-Jan-2003 02:00,-34.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.13,124,2003,3,0300,0,-0.002,#N/A,#N/A,-33.3,-32.5,71,75,678,0.45,-34,-33,0.5,0.4,140,45.2,0,0,SE,03-Jan-2003 03:00,-32.3,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.17,124,2003,3,0400,0,-0.002,#N/A,#N/A,-31.3,-30.9,74,77,678,0.45,-32,-31,0.4,0.3,98,48.0,0,0,E,03-Jan-2003 04:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.21,124,2003,3,0500,0,-0.002,#N/A,#N/A,-28.0,-27.8,77,80,678,0.45,-28,-28,0.5,0.3,80,48.4,0,0,E,03-Jan-2003 05:00,-24.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.25,124,2003,3,0600,0,-0.002,#N/A,#N/A,-24.6,-24.3,76,77,677,0.46,-25,-25,0.6,0.1,211,70.1,1,0,SW,03-Jan-2003 06:00,-24.6,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.29,124,2003,3,0700,0,-0.002,#N/A,#N/A,-23.6,-23.4,75,78,677,0.64,-24,-24,0.8,0.4,321,55.1,1,0,NW,03-Jan-2003 07:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.33,124,2003,3,0800,0,-0.002,#N/A,#N/A,-25.9,-25.6,75,78,677,0.61,-26,-26,0.8,0.6,258,35.8,1,0,W,03-Jan-2003 08:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.38,124,2003,3,0900,0,-0.002,#N/A,#N/A,-28.7,-27.7,75,78,677,0.62,-29,-28,0.8,0.7,166,13.9,0,0,S,03-Jan-2003 09:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.42,124,2003,3,1000,0,-0.002,#N/A,#N/A,-29.1,-28.6,75,78,677,0.93,-29,-29,1.1,1.1,164,15.4,0,0,S,03-Jan-2003 10:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.46,124,2003,3,1100,0,-0.002,#N/A,#N/A,-28.7,-28.1,75,77,676,0.61,-29,-28,0.7,0.4,142,51.0,0,0,SE,03-Jan-2003 11:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.50,124,2003,3,1200,0,-0.001,#N/A,#N/A,-28.4,-27.7,74,77,676,0.69,-29,-28,0.8,0.7,160,26.9,0,0,S,03-Jan-2003 12:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.54,124,2003,3,1300,0,0.001,#N/A,#N/A,-27.7,-27.2,75,78,676,0.67,-28,-28,0.8,0.3,51,62.2,0,1,NE,03-Jan-2003 13:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.58,124,2003,3,1400,0,0,#N/A,#N/A,-28.7,-28.0,75,79,675,0.45,-29,-29,0.6,0.5,141,35.4,0,1,SE,03-Jan-2003 14:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.63,124,2003,3,1500,0,-0.002,#N/A,#N/A,-29.0,-28.6,78,81,675,0.65,-29,-29,0.7,0.4,43,54.5,0,0,NE,03-Jan-2003 15:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.67,124,2003,3,1600,0,-0.002,#N/A,#N/A,-29.0,-28.8,77,81,675,0.87,-29,-29,1.1,0.4,30,62.0,0,0,NE,03-Jan-2003 16:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.71,124,2003,3,1700,0,-0.002,#N/A,#N/A,-27.6,-27.3,78,81,674,0.82,-28,-28,0.9,0.3,78,64.1,0,0,E,03-Jan-2003 17:00,-26.3,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.75,124,2003,3,1800,0,-0.002,#N/A,#N/A,-26.3,-25.9,80,83,674,0.94,-27,-26,1.0,0.5,48,57.8,1,0,NE,03-Jan-2003 18:00,-26.3,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.79,124,2003,3,1900,0,-0.002,#N/A,#N/A,-25.0,-24.5,79,83,674,1.23,-25,-25,1.4,1.3,360,21.8,1,0,N,03-Jan-2003 19:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.83,124,2003,3,2000,0,-0.002,#N/A,#N/A,-26.6,-26.1,78,82,674,0.57,-27,-27,0.7,0.5,19,33.4,1,0,N,03-Jan-2003 20:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.88,124,2003,3,2100,0,-0.002,#N/A,#N/A,-27.1,-26.8,78,81,674,0.67,-27,-27,0.8,0.1,163,76.6,1,0,S,03-Jan-2003 21:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.92,124,2003,3,2200,0,-0.002,#N/A,#N/A,-28.7,-28.7,77,79,673,1.33,-29,-29,1.6,1.5,336,15.5,0,0,NW,03-Jan-2003 22:00,-31.2,#N/A,#N/A,#N/A,#N/A,#N/A
03-Jan-2003,1,3.96,124,2003,3,2300,0,-0.002,#N/A,#N/A,-29.8,-29.8,76,78,673,0.91,-30,-30,0.9,0.9,16,20.6,0,0,N,03-Jan-2003 23:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.00,124,2003,3,2400,0,-0.002,#N/A,#N/A,-29.1,-29.0,76,79,673,0.57,-30,-30,0.6,0.5,15,30.3,0,0,N,04-Jan-2003 00:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.04,124,2003,4,0100,0,-0.002,#N/A,#N/A,-29.5,-29.4,76,78,673,0.61,-30,-30,0.6,0.5,21,30.2,0,0,N,04-Jan-2003 01:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.08,124,2003,4,0200,0,-0.002,#N/A,#N/A,-29.0,-28.9,76,79,672,0.50,-29,-30,0.5,0.4,44,42.3,0,0,NE,04-Jan-2003 02:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.13,124,2003,4,0300,0,-0.002,#N/A,#N/A,-29.4,-29.3,76,79,672,0.94,-30,-30,1.0,1.0,347,14.5,0,0,N,04-Jan-2003 03:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.17,124,2003,4,0400,0,-0.002,#N/A,#N/A,-29.3,-29.2,76,79,672,0.94,-30,-30,1.0,1.0,336,15.4,0,0,NW,04-Jan-2003 04:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.21,124,2003,4,0500,0,-0.002,#N/A,#N/A,-29.0,-29.0,76,79,672,0.94,-29,-30,1.1,1.0,332,13.6,0,0,NW,04-Jan-2003 05:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.25,124,2003,4,0600,0,-0.002,#N/A,#N/A,-28.8,-28.8,76,79,671,1.07,-29,-29,1.3,1.2,327,9.1,0,0,NW,04-Jan-2003 06:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.29,124,2003,4,0700,0,-0.002,#N/A,#N/A,-28.7,-28.7,77,80,671,1.06,-29,-29,1.3,1.3,319,9.1,0,0,NW,04-Jan-2003 07:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.33,124,2003,4,0800,0,-0.002,#N/A,#N/A,-28.6,-28.6,77,80,671,0.93,-29,-29,1.1,1.1,312,8.5,0,0,NW,04-Jan-2003 08:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.38,124,2003,4,0900,0,-0.002,#N/A,#N/A,-28.2,-28.2,77,80,670,0.88,-29,-29,1.0,1.0,326,11.6,0,0,NW,04-Jan-2003 09:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.42,124,2003,4,1000,0,-0.002,#N/A,#N/A,-28.2,-28.2,77,80,670,0.75,-29,-29,0.9,0.9,318,13.9,0,0,NW,04-Jan-2003 10:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.46,124,2003,4,1100,0,-0.002,#N/A,#N/A,-27.8,-27.8,78,80,670,0.62,-28,-28,0.7,0.5,354,37.5,0,0,N,04-Jan-2003 11:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.50,124,2003,4,1200,0,-0.002,#N/A,#N/A,-27.4,-27.4,78,81,670,0.45,-28,-28,0.5,0.3,82,43.2,0,0,E,04-Jan-2003 12:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.54,124,2003,4,1300,0,-0.001,#N/A,#N/A,-27.4,-27.3,78,81,670,0.60,-28,-28,0.6,0.5,347,39.0,0,0,N,04-Jan-2003 13:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.58,124,2003,4,1400,0,0,#N/A,#N/A,-28.2,-28.1,77,80,670,0.91,-29,-29,1.1,1.1,314,7.5,0,1,NW,04-Jan-2003 14:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.63,124,2003,4,1500,0,-0.002,#N/A,#N/A,-28.4,-28.4,77,80,670,0.90,-29,-29,1.0,1.0,334,11.1,0,0,NW,04-Jan-2003 15:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.67,124,2003,4,1600,0,-0.002,#N/A,#N/A,-28.1,-28.0,77,80,670,0.72,-28,-29,0.7,0.7,360,28.5,0,0,N,04-Jan-2003 16:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.71,124,2003,4,1700,0,-0.002,#N/A,#N/A,-27.8,-27.7,78,80,670,0.53,-28,-28,0.5,0.4,27,44.1,0,0,NE,04-Jan-2003 17:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.75,124,2003,4,1800,0,-0.002,#N/A,#N/A,-27.1,-27.0,78,81,670,0.63,-28,-28,0.7,0.6,0,33.0,1,0,N,04-Jan-2003 18:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.79,124,2003,4,1900,0,-0.002,#N/A,#N/A,-26.8,-26.7,78,81,670,0.78,-27,-27,0.8,0.8,350,18.2,1,0,N,04-Jan-2003 19:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.83,124,2003,4,2000,0,-0.002,#N/A,#N/A,-26.9,-26.9,78,81,670,1.06,-27,-27,1.2,1.2,332,8.2,1,0,NW,04-Jan-2003 20:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.88,124,2003,4,2100,0,-0.002,#N/A,#N/A,-26.8,-26.9,79,81,670,1.33,-27,-27,1.5,1.4,331,15.3,1,0,NW,04-Jan-2003 21:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.92,124,2003,4,2200,0,-0.002,#N/A,#N/A,-26.8,-26.9,78,81,670,1.78,-27,-27,1.8,1.8,359,9.2,1,0,N,04-Jan-2003 22:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
04-Jan-2003,1,4.96,124,2003,4,2300,0,-0.002,#N/A,#N/A,-27.1,-27.2,78,81,670,1.44,-28,-28,1.6,1.5,328,17.1,0,0,NW,04-Jan-2003 23:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.00,124,2003,4,2400,0,-0.002,#N/A,#N/A,-27.3,-27.4,78,81,671,1.62,-28,-28,1.7,1.6,5,18.8,0,0,N,05-Jan-2003 00:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.04,124,2003,5,0100,0,-0.002,#N/A,#N/A,-27.6,-27.6,77,81,672,1.41,-28,-28,1.5,1.5,21,5.4,0,0,N,05-Jan-2003 01:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.08,124,2003,5,0200,0,-0.002,#N/A,#N/A,-27.1,-27.0,78,81,672,0.70,-28,-28,0.7,0.5,30,42.1,1,0,NE,05-Jan-2003 02:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.13,124,2003,5,0300,0.254,-0.002,#N/A,#N/A,-26.6,-26.5,78,81,673,0.59,-27,-27,0.5,0.4,31,40.6,1,0,NE,05-Jan-2003 03:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.17,124,2003,5,0400,0.254,-0.002,#N/A,#N/A,-26.4,-26.4,79,82,673,1.53,-27,-27,1.6,1.6,336,8.8,1,0,NW,05-Jan-2003 04:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.21,124,2003,5,0500,0.254,-0.002,#N/A,#N/A,-27.2,-27.2,78,81,673,1.52,-28,-28,1.5,1.5,347,12.1,0,0,N,05-Jan-2003 05:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
05-Jan-2003,1,5.25,124,2003,5,0600,0.254,-0.002,#N/A,#N/A,-27.0,-26.9,78,81,674,0.53,-27,-27,0.5,0.4,32,30.6,1,0,NE,05-Jan-2003 06:00,-27.2,#N/A,#N/A,#N/A,#N/A,#N/A
