Name,In.Out,sampledate,TOC.mg.L
Göta Älv Vargön,Outflow,11/18/2003 0:00,4.4
Göta Älv Vargön,Outflow,12/9/2003 0:00,4.2
Göta Älv Vargön,Outflow,1/20/2004 0:00,4
Göta Älv Vargön,Outflow,2/17/2004 0:00,4.1
Göta Älv Vargön,Outflow,3/16/2004 0:00,4.5
Göta Älv Vargön,Outflow,4/20/2004 0:00,4.4
Göta Älv Vargön,Outflow,5/11/2004 0:00,3.7
Göta Älv Vargön,Outflow,6/15/2004 0:00,4.3
Göta Älv Vargön,Outflow,7/13/2004 0:00,4
Göta Älv Vargön,Outflow,8/12/2004 0:00,3.8
Göta Älv Vargön,Outflow,9/16/2004 0:00,4
Göta Älv Vargön,Outflow,10/21/2004 0:00,4
Göta Älv Vargön,Outflow,11/16/2004 0:00,4.8
Göta Älv Vargön,Outflow,12/15/2004 0:00,4.1
Göta Älv Vargön,Outflow,1/18/2005 0:00,4.1
Göta Älv Vargön,Outflow,2/15/2005 0:00,4.2
Göta Älv Vargön,Outflow,3/15/2005 0:00,4.1
Göta Älv Vargön,Outflow,4/19/2005 0:00,5
Göta Älv Vargön,Outflow,5/17/2005 0:00,5.3
Göta Älv Vargön,Outflow,6/14/2005 0:00,3.8
Göta Älv Vargön,Outflow,7/12/2005 0:00,4.2
Göta Älv Vargön,Outflow,8/16/2005 0:00,3.7
Göta Älv Vargön,Outflow,9/13/2005 0:00,5.5
Göta Älv Vargön,Outflow,10/13/2005 0:00,4.5
Göta Älv Vargön,Outflow,11/15/2005 0:00,5.9
Göta Älv Vargön,Outflow,12/13/2005 0:00,3.9
Göta Älv Vargön,Outflow,1/10/2006 0:00,6.1
Göta Älv Vargön,Outflow,2/14/2006 0:00,4.2
Göta Älv Vargön,Outflow,3/13/2006 0:00,5.1
Göta Älv Vargön,Outflow,4/10/2006 0:00,4.1
Göta Älv Vargön,Outflow,5/16/2006 0:00,5
Göta Älv Vargön,Outflow,6/20/2006 0:00,5.2
Göta Älv Vargön,Outflow,7/6/2006 0:00,5.1
Göta Älv Vargön,Outflow,8/15/2006 0:00,4.1
Göta Älv Vargön,Outflow,9/12/2006 0:00,4.5
Göta Älv Vargön,Outflow,10/10/2006 0:00,5
Göta Älv Vargön,Outflow,11/16/2006 0:00,5.1
Göta Älv Vargön,Outflow,12/12/2006 0:00,4.4
Göta Älv Vargön,Outflow,1/16/2007 0:00,4.4
Göta Älv Vargön,Outflow,2/13/2007 0:00,4.7
Göta Älv Vargön,Outflow,3/13/2007 0:00,4.4
Göta Älv Vargön,Outflow,4/17/2007 0:00,4.5
Göta Älv Vargön,Outflow,5/15/2007 0:00,4.3
Göta Älv Vargön,Outflow,6/19/2007 0:00,4.3
Göta Älv Vargön,Outflow,7/10/2007 0:00,4.5
Göta Älv Vargön,Outflow,8/14/2007 0:00,4.2
Göta Älv Vargön,Outflow,9/18/2007 0:00,4.2
Göta Älv Vargön,Outflow,10/16/2007 0:00,4.4
Göta Älv Vargön,Outflow,11/13/2007 0:00,4.5
Göta Älv Vargön,Outflow,12/18/2007 0:00,4.4
Göta Älv Vargön,Outflow,1/15/2008 0:00,4.5
Göta Älv Vargön,Outflow,2/12/2008 0:00,4.3
Göta Älv Vargön,Outflow,3/13/2008 0:00,4.1
Göta Älv Vargön,Outflow,4/15/2008 0:00,4.7
Göta Älv Vargön,Outflow,5/13/2008 0:00,4.5
Göta Älv Vargön,Outflow,6/24/2008 0:00,5.5
Göta Älv Vargön,Outflow,7/15/2008 0:00,4.9
Göta Älv Vargön,Outflow,8/11/2008 0:00,4.4
Göta Älv Vargön,Outflow,9/16/2008 0:00,5.1
Göta Älv Vargön,Outflow,10/14/2008 0:00,4.7
Göta Älv Vargön,Outflow,11/18/2008 0:00,4.6
Göta Älv Vargön,Outflow,12/16/2008 0:00,5
Göta Älv Vargön,Outflow,1/20/2009 0:00,5.3
Göta Älv Vargön,Outflow,2/17/2009 0:00,4.8
Göta Älv Vargön,Outflow,3/17/2009 0:00,4.9
Göta Älv Vargön,Outflow,4/21/2009 0:00,5.1
Göta Älv Vargön,Outflow,5/12/2009 0:00,5.3
Göta Älv Vargön,Outflow,6/16/2009 0:00,5.5
Göta Älv Vargön,Outflow,7/9/2009 0:00,5.3
Göta Älv Vargön,Outflow,8/18/2009 0:00,4.3
Göta Älv Vargön,Outflow,9/15/2009 0:00,4.8
Göta Älv Vargön,Outflow,10/12/2009 0:00,5.1
Göta Älv Vargön,Outflow,11/17/2009 0:00,5.2
Göta Älv Vargön,Outflow,12/8/2009 0:00,4.9
Göta Älv Vargön,Outflow,1/19/2010 0:00,4.7
Göta Älv Vargön,Outflow,2/16/2010 0:00,5
Göta Älv Vargön,Outflow,3/16/2010 0:00,5.2
Göta Älv Vargön,Outflow,4/26/2010 0:00,4.9
Göta Älv Vargön,Outflow,5/18/2010 0:00,4.9
Göta Älv Vargön,Outflow,6/17/2010 0:00,4.8
Göta Älv Vargön,Outflow,7/8/2010 0:00,4.7
Göta Älv Vargön,Outflow,8/19/2010 0:00,5.6
Göta Älv Vargön,Outflow,9/14/2010 0:00,5
Göta Älv Vargön,Outflow,10/12/2010 0:00,5.3
Göta Älv Vargön,Outflow,11/11/2010 0:00,5.3
Göta Älv Vargön,Outflow,12/14/2010 0:00,4.8
Göta Älv Vargön,Outflow,1/11/2011 0:00,5.1
Göta Älv Vargön,Outflow,2/15/2011 0:00,5.1
Göta Älv Vargön,Outflow,3/15/2011 0:00,4.6
Göta Älv Vargön,Outflow,4/19/2011 0:00,5
Göta Älv Vargön,Outflow,5/17/2011 0:00,5.4
Göta Älv Vargön,Outflow,6/21/2011 0:00,4.8
Göta Älv Vargön,Outflow,7/26/2011 0:00,4.8
Göta Älv Vargön,Outflow,8/16/2011 0:00,4.6
Göta Älv Vargön,Outflow,9/15/2011 0:00,4.7
Göta Älv Vargön,Outflow,10/25/2011 0:00,5.1
Göta Älv Vargön,Outflow,11/15/2011 0:00,4.9
Göta Älv Vargön,Outflow,12/13/2011 0:00,4.6
Göta Älv Vargön,Outflow,1/17/2012 0:00,4.8
Göta Älv Vargön,Outflow,2/14/2012 0:00,5
Göta Älv Vargön,Outflow,3/13/2012 0:00,4.8
Göta Älv Vargön,Outflow,4/23/2012 0:00,4.7
Göta Älv Vargön,Outflow,5/15/2012 0:00,4.8
Göta Älv Vargön,Outflow,6/19/2012 0:00,4.9
Göta Älv Vargön,Outflow,7/10/2012 0:00,4.9
Göta Älv Vargön,Outflow,8/7/2012 0:00,4.9
Göta Älv Vargön,Outflow,9/11/2012 0:00,4.6
Göta Älv Vargön,Outflow,10/17/2012 0:00,5
Göta Älv Vargön,Outflow,11/13/2012 0:00,5.5
Göta Älv Vargön,Outflow,12/18/2012 0:00,5.1
Göta Älv Vargön,Outflow,1/15/2013 0:00,5.6
Göta Älv Vargön,Outflow,2/12/2013 0:00,4.9
Göta Älv Vargön,Outflow,3/12/2013 0:00,5
Göta Älv Vargön,Outflow,4/16/2013 0:00,4.8
Göta Älv Vargön,Outflow,5/14/2013 0:00,4.8
Göta Älv Vargön,Outflow,6/11/2013 0:00,4.9
Göta Älv Vargön,Outflow,7/16/2013 0:00,4.8
Göta Älv Vargön,Outflow,8/15/2013 0:00,5
Göta Älv Vargön,Outflow,9/17/2013 0:00,4.8
Göta Älv Vargön,Outflow,10/15/2013 0:00,4.6
Göta Älv Vargön,Outflow,11/12/2013 0:00,4.8
Göta Älv Vargön,Outflow,12/17/2013 0:00,4.6
Göta Älv Vargön,Outflow,1/21/2014 0:00,5.3
Göta Älv Vargön,Outflow,2/11/2014 0:00,4.9
Göta Älv Vargön,Outflow,3/18/2014 0:00,5
Göta Älv Vargön,Outflow,4/15/2014 0:00,4.8
Göta Älv Vargön,Outflow,5/13/2014 0:00,5.1
Göta Älv Vargön,Outflow,6/17/2014 0:00,5.1
Göta Älv Vargön,Outflow,7/15/2014 0:00,5.3
Göta Älv Vargön,Outflow,8/12/2014 0:00,5.2
Göta Älv Vargön,Outflow,9/16/2014 0:00,5.1
Göta Älv Vargön,Outflow,10/14/2014 0:00,4.7
Göta Älv Vargön,Outflow,11/18/2014 0:00,5.1
Göta Älv Vargön,Outflow,12/16/2014 0:00,5.1
Dalbergsån Dalbergså,Inflow,1/17/2000 0:00,11.1
Dalbergsån Dalbergså,Inflow,2/21/2000 0:00,10.1
Dalbergsån Dalbergså,Inflow,3/15/2000 0:00,7.8
Dalbergsån Dalbergså,Inflow,4/17/2000 0:00,10.1
Dalbergsån Dalbergså,Inflow,5/16/2000 0:00,9.6
Dalbergsån Dalbergså,Inflow,6/15/2000 0:00,10.4
Dalbergsån Dalbergså,Inflow,7/17/2000 0:00,13.7
Dalbergsån Dalbergså,Inflow,8/15/2000 0:00,10.6
Dalbergsån Dalbergså,Inflow,9/18/2000 0:00,10.3
Dalbergsån Dalbergså,Inflow,10/16/2000 0:00,11.8
Dalbergsån Dalbergså,Inflow,11/15/2000 0:00,11.9
Dalbergsån Dalbergså,Inflow,12/18/2000 0:00,11
Dalbergsån Dalbergså,Inflow,1/15/2001 0:00,12
Dalbergsån Dalbergså,Inflow,2/14/2001 0:00,10
Dalbergsån Dalbergså,Inflow,3/15/2001 0:00,8.9
Dalbergsån Dalbergså,Inflow,4/17/2001 0:00,10.1
Dalbergsån Dalbergså,Inflow,5/15/2001 0:00,10.2
Dalbergsån Dalbergså,Inflow,6/18/2001 0:00,8.3
Dalbergsån Dalbergså,Inflow,7/16/2001 0:00,7.9
Dalbergsån Dalbergså,Inflow,8/16/2001 0:00,9.7
Dalbergsån Dalbergså,Inflow,9/18/2001 0:00,11.8
Dalbergsån Dalbergså,Inflow,10/17/2001 0:00,12.4
Dalbergsån Dalbergså,Inflow,11/14/2001 0:00,11
Dalbergsån Dalbergså,Inflow,12/18/2001 0:00,10.1
Dalbergsån Dalbergså,Inflow,1/16/2002 0:00,10.8
Dalbergsån Dalbergså,Inflow,2/18/2002 0:00,9.7
Dalbergsån Dalbergså,Inflow,3/18/2002 0:00,9.4
Dalbergsån Dalbergså,Inflow,4/15/2002 0:00,10.3
Dalbergsån Dalbergså,Inflow,5/15/2002 0:00,8.7
Dalbergsån Dalbergså,Inflow,7/15/2002 0:00,10.6
Dalbergsån Dalbergså,Inflow,8/15/2002 0:00,13.2
Dalbergsån Dalbergså,Inflow,9/16/2002 0:00,8.8
Dalbergsån Dalbergså,Inflow,10/16/2002 0:00,8.5
Dalbergsån Dalbergså,Inflow,11/18/2002 0:00,11.8
Dalbergsån Dalbergså,Inflow,12/16/2002 0:00,9.9
Dalbergsån Dalbergså,Inflow,1/16/2003 0:00,7.7
Dalbergsån Dalbergså,Inflow,2/25/2003 0:00,10.2
Dalbergsån Dalbergså,Inflow,3/17/2003 0:00,8.9
Dalbergsån Dalbergså,Inflow,4/15/2003 0:00,9.5
Dalbergsån Dalbergså,Inflow,5/15/2003 0:00,10.1
Dalbergsån Dalbergså,Inflow,6/16/2003 0:00,10.6
Dalbergsån Dalbergså,Inflow,7/16/2003 0:00,11.7
Dalbergsån Dalbergså,Inflow,8/18/2003 0:00,10.3
Dalbergsån Dalbergså,Inflow,9/15/2003 0:00,10.9
Dalbergsån Dalbergså,Inflow,10/20/2003 0:00,8.4
Dalbergsån Dalbergså,Inflow,11/18/2003 0:00,10.6
Dalbergsån Dalbergså,Inflow,12/16/2003 0:00,10.4
Dalbergsån Dalbergså,Inflow,1/19/2004 0:00,10.4
Dalbergsån Dalbergså,Inflow,2/16/2004 0:00,9.8
Dalbergsån Dalbergså,Inflow,3/15/2004 0:00,10
Dalbergsån Dalbergså,Inflow,4/15/2004 0:00,9.4
Dalbergsån Dalbergså,Inflow,5/17/2004 0:00,9
Dalbergsån Dalbergså,Inflow,6/15/2004 0:00,9.8
Dalbergsån Dalbergså,Inflow,7/15/2004 0:00,17.1
Dalbergsån Dalbergså,Inflow,8/17/2004 0:00,11
Dalbergsån Dalbergså,Inflow,9/21/2004 0:00,14.2
Dalbergsån Dalbergså,Inflow,10/14/2004 0:00,12.6
Dalbergsån Dalbergså,Inflow,11/15/2004 0:00,13.2
Dalbergsån Dalbergså,Inflow,12/13/2004 0:00,10.7
Dalbergsån Dalbergså,Inflow,1/17/2005 0:00,10.1
Dalbergsån Dalbergså,Inflow,2/16/2005 0:00,11.8
Dalbergsån Dalbergså,Inflow,4/14/2005 0:00,9.4
Dalbergsån Dalbergså,Inflow,5/18/2005 0:00,8.8
Dalbergsån Dalbergså,Inflow,6/14/2005 0:00,11.2
Dalbergsån Dalbergså,Inflow,7/14/2005 0:00,10
Dalbergsån Dalbergså,Inflow,8/16/2005 0:00,8.8
Dalbergsån Dalbergså,Inflow,9/15/2005 0:00,8.9
Dalbergsån Dalbergså,Inflow,10/17/2005 0:00,7.7
Dalbergsån Dalbergså,Inflow,11/17/2005 0:00,13.9
Dalbergsån Dalbergså,Inflow,12/13/2005 0:00,10.4
Dalbergsån Dalbergså,Inflow,1/19/2006 0:00,15.6
Dalbergsån Dalbergså,Inflow,4/19/2006 0:00,10.9
Dalbergsån Dalbergså,Inflow,5/30/2006 0:00,12.6
Dalbergsån Dalbergså,Inflow,6/15/2006 0:00,12.3
Dalbergsån Dalbergså,Inflow,7/13/2006 0:00,10.5
Dalbergsån Dalbergså,Inflow,8/16/2006 0:00,12.9
Dalbergsån Dalbergså,Inflow,9/18/2006 0:00,12
Dalbergsån Dalbergså,Inflow,10/16/2006 0:00,14.2
Dalbergsån Dalbergså,Inflow,11/16/2006 0:00,15.2
Dalbergsån Dalbergså,Inflow,12/14/2006 0:00,12.8
Dalbergsån Dalbergså,Inflow,1/24/2007 0:00,10.9
Dalbergsån Dalbergså,Inflow,2/15/2007 0:00,13.3
Dalbergsån Dalbergså,Inflow,3/14/2007 0:00,8.6
Dalbergsån Dalbergså,Inflow,4/17/2007 0:00,9.6
Dalbergsån Dalbergså,Inflow,5/15/2007 0:00,9.6
Dalbergsån Dalbergså,Inflow,6/18/2007 0:00,9.1
Dalbergsån Dalbergså,Inflow,7/16/2007 0:00,13.8
Dalbergsån Dalbergså,Inflow,8/16/2007 0:00,13.4
Dalbergsån Dalbergså,Inflow,9/17/2007 0:00,12.5
Dalbergsån Dalbergså,Inflow,10/15/2007 0:00,13.9
Dalbergsån Dalbergså,Inflow,11/15/2007 0:00,12.3
Dalbergsån Dalbergså,Inflow,12/17/2007 0:00,11.9
Dalbergsån Dalbergså,Inflow,1/16/2008 0:00,10.6
Dalbergsån Dalbergså,Inflow,2/19/2008 0:00,11.2
Dalbergsån Dalbergså,Inflow,3/17/2008 0:00,10.3
Dalbergsån Dalbergså,Inflow,4/16/2008 0:00,10.1
Dalbergsån Dalbergså,Inflow,5/14/2008 0:00,10.6
Dalbergsån Dalbergså,Inflow,6/16/2008 0:00,9.2
Dalbergsån Dalbergså,Inflow,7/15/2008 0:00,10.6
Dalbergsån Dalbergså,Inflow,8/18/2008 0:00,11.5
Dalbergsån Dalbergså,Inflow,9/16/2008 0:00,14.7
Dalbergsån Dalbergså,Inflow,10/15/2008 0:00,12.4
Dalbergsån Dalbergså,Inflow,11/26/2008 0:00,13.2
Dalbergsån Dalbergså,Inflow,12/15/2008 0:00,13
Dalbergsån Dalbergså,Inflow,1/15/2009 0:00,13.8
Dalbergsån Dalbergså,Inflow,2/16/2009 0:00,13.9
Dalbergsån Dalbergså,Inflow,3/17/2009 0:00,11
Dalbergsån Dalbergså,Inflow,4/15/2009 0:00,12.4
Dalbergsån Dalbergså,Inflow,5/12/2009 0:00,11.7
Dalbergsån Dalbergså,Inflow,6/15/2009 0:00,11.4
Dalbergsån Dalbergså,Inflow,7/13/2009 0:00,18.6
Dalbergsån Dalbergså,Inflow,8/17/2009 0:00,15.5
Dalbergsån Dalbergså,Inflow,9/16/2009 0:00,13.7
Dalbergsån Dalbergså,Inflow,10/14/2009 0:00,15.3
Dalbergsån Dalbergså,Inflow,11/16/2009 0:00,14.1
Dalbergsån Dalbergså,Inflow,12/15/2009 0:00,15.1
Dalbergsån Dalbergså,Inflow,1/13/2010 0:00,13.7
Dalbergsån Dalbergså,Inflow,2/16/2010 0:00,12.2
Dalbergsån Dalbergså,Inflow,3/15/2010 0:00,12.8
Dalbergsån Dalbergså,Inflow,4/14/2010 0:00,12.9
Dalbergsån Dalbergså,Inflow,5/17/2010 0:00,12.1
Dalbergsån Dalbergså,Inflow,6/16/2010 0:00,12.7
Dalbergsån Dalbergså,Inflow,7/14/2010 0:00,9.7
Dalbergsån Dalbergså,Inflow,8/16/2010 0:00,11.7
Dalbergsån Dalbergså,Inflow,9/14/2010 0:00,11.9
Dalbergsån Dalbergså,Inflow,10/13/2010 0:00,14.7
Dalbergsån Dalbergså,Inflow,11/16/2010 0:00,17.7
Dalbergsån Dalbergså,Inflow,12/14/2010 0:00,14.1
Dalbergsån Dalbergså,Inflow,1/17/2011 0:00,11.7
Dalbergsån Dalbergså,Inflow,2/15/2011 0:00,14.3
Dalbergsån Dalbergså,Inflow,3/15/2011 0:00,10.5
Dalbergsån Dalbergså,Inflow,4/13/2011 0:00,14.9
Dalbergsån Dalbergså,Inflow,5/16/2011 0:00,11.5
Dalbergsån Dalbergså,Inflow,6/15/2011 0:00,15
Dalbergsån Dalbergså,Inflow,7/13/2011 0:00,14.1
Dalbergsån Dalbergså,Inflow,8/16/2011 0:00,18
Dalbergsån Dalbergså,Inflow,9/14/2011 0:00,22.1
Dalbergsån Dalbergså,Inflow,10/12/2011 0:00,16.5
Dalbergsån Dalbergså,Inflow,11/15/2011 0:00,15.8
Dalbergsån Dalbergså,Inflow,12/14/2011 0:00,15.3
Dalbergsån Dalbergså,Inflow,2/20/2012 0:00,13.3
Dalbergsån Dalbergså,Inflow,3/14/2012 0:00,11.5
Dalbergsån Dalbergså,Inflow,4/16/2012 0:00,12
Dalbergsån Dalbergså,Inflow,5/15/2012 0:00,13.8
Dalbergsån Dalbergså,Inflow,6/13/2012 0:00,15.3
Dalbergsån Dalbergså,Inflow,7/16/2012 0:00,14.4
Dalbergsån Dalbergså,Inflow,8/15/2012 0:00,13.7
Dalbergsån Dalbergså,Inflow,9/17/2012 0:00,13.3
Dalbergsån Dalbergså,Inflow,10/15/2012 0:00,21.2
Dalbergsån Dalbergså,Inflow,11/14/2012 0:00,15.3
Dalbergsån Dalbergså,Inflow,12/12/2012 0:00,15.6
Upperudsälv. Köpmannebro,Inflow,1/17/2000 0:00,5.8
Upperudsälv. Köpmannebro,Inflow,2/15/2000 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,3/15/2000 0:00,4.4
Upperudsälv. Köpmannebro,Inflow,4/12/2000 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,5/15/2000 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,6/15/2000 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,7/17/2000 0:00,6.3
Upperudsälv. Köpmannebro,Inflow,8/14/2000 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,9/13/2000 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,10/16/2000 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,11/15/2000 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,12/18/2000 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,1/15/2001 0:00,6.8
Upperudsälv. Köpmannebro,Inflow,2/15/2001 0:00,5.7
Upperudsälv. Köpmannebro,Inflow,3/15/2001 0:00,6.1
Upperudsälv. Köpmannebro,Inflow,4/17/2001 0:00,6.4
Upperudsälv. Köpmannebro,Inflow,5/14/2001 0:00,6.4
Upperudsälv. Köpmannebro,Inflow,6/14/2001 0:00,5.9
Upperudsälv. Köpmannebro,Inflow,7/13/2001 0:00,4.7
Upperudsälv. Köpmannebro,Inflow,8/15/2001 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,9/17/2001 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,10/15/2001 0:00,5
Upperudsälv. Köpmannebro,Inflow,11/15/2001 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,12/17/2001 0:00,5.9
Upperudsälv. Köpmannebro,Inflow,1/15/2002 0:00,5.9
Upperudsälv. Köpmannebro,Inflow,2/14/2002 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,3/14/2002 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,4/14/2002 0:00,5.9
Upperudsälv. Köpmannebro,Inflow,5/15/2002 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,6/17/2002 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,7/15/2002 0:00,6.2
Upperudsälv. Köpmannebro,Inflow,8/15/2002 0:00,6.3
Upperudsälv. Köpmannebro,Inflow,9/16/2002 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,10/15/2002 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,11/13/2002 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,12/16/2002 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,1/15/2003 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,2/17/2003 0:00,5
Upperudsälv. Köpmannebro,Inflow,3/17/2003 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,4/15/2003 0:00,5.8
Upperudsälv. Köpmannebro,Inflow,5/15/2003 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,6/16/2003 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,7/15/2003 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,8/15/2003 0:00,4.8
Upperudsälv. Köpmannebro,Inflow,9/15/2003 0:00,4.4
Upperudsälv. Köpmannebro,Inflow,10/16/2003 0:00,4
Upperudsälv. Köpmannebro,Inflow,11/14/2003 0:00,5.6
Upperudsälv. Köpmannebro,Inflow,12/15/2003 0:00,4.2
Upperudsälv. Köpmannebro,Inflow,1/15/2004 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,2/16/2004 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,3/15/2004 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,4/15/2004 0:00,5
Upperudsälv. Köpmannebro,Inflow,5/17/2004 0:00,4.4
Upperudsälv. Köpmannebro,Inflow,6/15/2004 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,7/15/2004 0:00,4.6
Upperudsälv. Köpmannebro,Inflow,8/17/2004 0:00,4.3
Upperudsälv. Köpmannebro,Inflow,9/15/2004 0:00,4.5
Upperudsälv. Köpmannebro,Inflow,10/14/2004 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,11/15/2004 0:00,5.7
Upperudsälv. Köpmannebro,Inflow,12/15/2004 0:00,4.6
Upperudsälv. Köpmannebro,Inflow,1/14/2005 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,2/15/2005 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,3/15/2005 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,4/15/2005 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,5/16/2005 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,6/15/2005 0:00,4.9
Upperudsälv. Köpmannebro,Inflow,7/15/2005 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,8/15/2005 0:00,3.9
Upperudsälv. Köpmannebro,Inflow,9/15/2005 0:00,4.8
Upperudsälv. Köpmannebro,Inflow,10/17/2005 0:00,4.3
Upperudsälv. Köpmannebro,Inflow,11/16/2005 0:00,6.8
Upperudsälv. Köpmannebro,Inflow,12/12/2005 0:00,4.6
Upperudsälv. Köpmannebro,Inflow,1/16/2006 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,2/13/2006 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,3/15/2006 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,4/18/2006 0:00,5.6
Upperudsälv. Köpmannebro,Inflow,5/15/2006 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,6/14/2006 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,7/10/2006 0:00,5.6
Upperudsälv. Köpmannebro,Inflow,8/15/2006 0:00,4.9
Upperudsälv. Köpmannebro,Inflow,9/14/2006 0:00,5.3
Upperudsälv. Köpmannebro,Inflow,10/16/2006 0:00,5.6
Upperudsälv. Köpmannebro,Inflow,11/15/2006 0:00,5.7
Upperudsälv. Köpmannebro,Inflow,12/14/2006 0:00,6.1
Upperudsälv. Köpmannebro,Inflow,1/15/2007 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,2/12/2007 0:00,5.2
Upperudsälv. Köpmannebro,Inflow,3/15/2007 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,4/16/2007 0:00,5.1
Upperudsälv. Köpmannebro,Inflow,5/15/2007 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,6/14/2007 0:00,5.5
Upperudsälv. Köpmannebro,Inflow,7/16/2007 0:00,5.4
Upperudsälv. Köpmannebro,Inflow,8/15/2007 0:00,5.6
