agency_cd,site_no,datetime,tz_cd,discharge
USGS,5357206,6/6/2015 3:00,CDT,4.3
USGS,5357206,6/6/2015 3:15,CDT,4.3
USGS,5357206,6/6/2015 3:30,CDT,4.3
USGS,5357206,6/6/2015 3:45,CDT,4.3
USGS,5357206,6/6/2015 4:00,CDT,4.3
USGS,5357206,6/6/2015 4:15,CDT,4.3
USGS,5357206,6/6/2015 4:30,CDT,4.1
USGS,5357206,6/6/2015 4:45,CDT,4.1
USGS,5357206,6/6/2015 5:00,CDT,4.1
USGS,5357206,6/6/2015 5:15,CDT,4.1
USGS,5357206,6/6/2015 5:30,CDT,4.1
USGS,5357206,6/6/2015 5:45,CDT,4.1
USGS,5357206,6/6/2015 6:00,CDT,4.1
USGS,5357206,6/6/2015 6:15,CDT,4.1
USGS,5357206,6/6/2015 6:30,CDT,4.1
USGS,5357206,6/6/2015 6:45,CDT,4.1
USGS,5357206,6/6/2015 7:00,CDT,4.1
USGS,5357206,6/6/2015 7:15,CDT,4.1
USGS,5357206,6/6/2015 7:30,CDT,4.1
USGS,5357206,6/6/2015 7:45,CDT,4.1
USGS,5357206,6/6/2015 8:00,CDT,4.1
USGS,5357206,6/6/2015 8:15,CDT,3.9
