datetime,Volume,FlowIn,FlowOut,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi
1991-06-07,8320000,0.03,0.03,NA,NA,NA,NA,13,NA
1991-06-08,8320000,0.02,0.02,NA,NA,NA,NA,11.9,NA
1991-06-09,8320000,0.02,0.02,NA,NA,NA,NA,11.3,NA
1991-06-10,8320000,0.01,0.01,NA,NA,NA,NA,10.2,NA
1991-06-11,8320000,0.01,0.01,NA,NA,NA,NA,10.6,NA
1991-06-12,8320000,0.01,0.01,NA,NA,NA,NA,10.1,NA
1991-06-13,8320000,0,0,NA,NA,NA,NA,9.2,NA
1991-06-14,8320000,0,0,NA,NA,NA,NA,8.3,NA
1991-06-15,8320000,0,0,NA,NA,NA,NA,8.5,NA
1991-06-16,8320000,0,0,NA,NA,NA,NA,9.1,NA
1991-06-17,8320000,0,0,NA,NA,NA,NA,9,NA
1991-06-18,8320000,0,0,NA,NA,NA,NA,8.5,NA
1991-06-19,8320000,0,0,5.432258065,23.6,5.1,2.3,8.2,3.2
1991-06-20,8320000,0,0,NA,NA,NA,NA,7.9,NA
1991-06-21,8320000,0,0,NA,NA,NA,NA,7.6,NA
1991-06-22,8320000,0,0,NA,NA,NA,NA,7.4,NA
1991-06-23,8320000,0,0,NA,NA,NA,NA,6.4,NA
1991-06-24,8320000,0,0,NA,NA,NA,NA,6.2,NA
1991-06-25,8320000,0,0,NA,NA,NA,NA,6.2,NA
1991-06-26,8320000,0,0,NA,NA,NA,NA,6.6,NA
1991-06-27,8320000,0,0,NA,NA,NA,NA,7.3,NA
1991-06-28,8320000,0,0,NA,NA,NA,NA,6.8,NA
1991-06-29,8320000,0,0,NA,NA,NA,NA,6.3,NA
1991-06-30,8320000,0,0,NA,NA,NA,NA,6.9,NA
1991-07-01,8320000,0,0,NA,NA,NA,NA,6.4,NA
1991-07-02,8320000,0,0,NA,NA,NA,NA,6.7,NA
1991-07-03,8320000,0,0,NA,NA,NA,NA,6.2,NA
1991-07-04,8320000,0,0,NA,NA,NA,NA,6.2,NA
1991-07-05,8320000,0,0,NA,NA,NA,NA,6.7,NA
1991-07-06,8320000,0,0,NA,NA,NA,NA,7.2,NA
1991-07-07,8320000,0,0,NA,NA,NA,NA,7.3,NA
1991-07-08,8320000,0,0,4.993103448,22.38,4.8,2.6,8.1,3.1
1991-07-09,8320000,0,0,NA,NA,NA,NA,7.7,NA
1991-07-10,8320000,0,0,NA,NA,NA,NA,6,NA
1991-07-11,8320000,0,0,NA,NA,NA,NA,7.1,NA
1991-07-12,8320000,0,0,NA,NA,NA,NA,6.8,NA
1991-07-13,8320000,0,0,NA,NA,NA,NA,6.6,NA
1991-07-14,8320000,0,0,NA,NA,NA,NA,6.3,NA
1991-07-15,8320000,0,0,NA,NA,NA,NA,5.6,NA
1991-07-16,8320000,0,0,NA,NA,NA,NA,5,NA
1991-07-17,8320000,0,0,NA,NA,NA,NA,4.6,NA
1991-07-18,8320000,0,0,NA,NA,NA,NA,5.2,NA
1991-07-19,8320000,0,0,NA,NA,NA,NA,5.1,NA
1991-07-20,8320000,0,0,NA,NA,NA,NA,5.9,NA
1991-07-21,8320000,0,0,NA,NA,NA,NA,8,NA
1991-07-22,8320000,0,0,5.268965517,24.3,5.3,2.4,9.6,3.2
1991-07-23,8320000,0,0,NA,NA,NA,NA,15.9,NA
1991-07-24,8320000,0,0,NA,NA,NA,NA,15.4,NA
1991-07-25,8320000,0,0,NA,NA,NA,NA,12.9,NA
1991-07-26,8320000,0,0,NA,NA,NA,NA,11.5,NA
1991-07-27,8320000,0,0,NA,NA,NA,NA,10.6,NA
1991-07-28,8320000,0,0,NA,NA,NA,NA,9.4,NA
1991-07-29,8320000,0,0,NA,NA,NA,NA,8.6,NA
1991-07-30,8320000,0,0,NA,NA,NA,NA,15.8,NA
1991-07-31,8320000,0,0,NA,NA,NA,NA,17,NA
1991-08-01,8320000,0,0,NA,NA,NA,NA,16.2,NA
1991-08-02,8320000,0,0,NA,NA,NA,NA,14.4,NA
1991-08-03,8320000,0,0,NA,NA,NA,NA,13.2,NA
1991-08-04,8320000,0,0,NA,NA,NA,NA,12.7,NA
1991-08-05,8320000,0,0,NA,NA,NA,NA,12,NA
1991-08-06,8320000,0,0,4.959259259,21.08571429,3.5,1.7,11.2,5.7
1991-08-07,8320000,0,0,NA,NA,NA,NA,10.5,NA
1991-08-08,8320000,0,0,NA,NA,NA,NA,9.5,NA
1991-08-09,8320000,0,0,NA,NA,NA,NA,8.5,NA
1991-08-10,8320000,0,0,NA,NA,NA,NA,10.4,NA
1991-08-11,8320000,0,0,NA,NA,NA,NA,10.4,NA
1991-08-12,8320000,0,0,NA,NA,NA,NA,10.8,NA
1991-08-13,8320000,0,0,NA,NA,NA,NA,8.9,NA
1991-08-14,8320000,0,0,NA,NA,NA,NA,7.6,NA
1991-08-15,8320000,0,0,NA,NA,NA,NA,7.6,NA
1991-08-16,8320000,0,0,NA,NA,NA,NA,8.5,NA
1991-08-17,8320000,0,0,NA,NA,NA,NA,9.8,NA
1991-08-18,8320000,0,0,NA,NA,NA,NA,11.8,NA
1991-08-19,8320000,0,0,NA,NA,NA,NA,14.7,NA
1991-08-20,8320000,0,0,NA,NA,NA,NA,11.8,NA
1991-08-21,8320000,0,0,NA,NA,NA,NA,9.6,NA
1991-08-22,8320000,0,0,5.107142857,21.96666667,2.9,NA,8.8,4.5
1991-08-23,8320000,0,0,NA,NA,NA,NA,8.5,NA
1991-08-24,8320000,0,0,NA,NA,NA,NA,7.4,NA
1991-08-25,8320000,0,0,NA,NA,NA,NA,6.9,NA
1991-08-26,8320000,0,0,NA,NA,NA,NA,6.3,NA
1991-08-27,8320000,0,0,NA,NA,NA,NA,5.6,NA
1991-08-28,8320000,0,0,NA,NA,NA,NA,5.3,NA
1991-08-29,8320000,0,0,NA,NA,NA,NA,5.3,NA
1991-08-30,8320000,0,0,NA,NA,NA,NA,5.1,NA
1991-08-31,8320000,0,0,NA,NA,NA,NA,5.2,NA
1991-09-01,8320000,0,0,NA,NA,NA,NA,5.3,NA
1991-09-02,8320000,0,0,NA,NA,NA,NA,5.6,NA
1991-09-03,8320000,0,0,NA,NA,NA,NA,6.4,NA
1991-09-04,8320000,0,0,NA,NA,NA,NA,8.9,NA
1991-09-05,8320000,0,0,5.146428571,21.05,4.1,2.9,7.8,4.9
1991-09-06,8320000,0,0,NA,NA,NA,NA,6.8,NA
1991-09-07,8320000,0,0,NA,NA,NA,NA,5.7,NA
1991-09-08,8320000,0,0,NA,NA,NA,NA,5,NA
1991-09-09,8320000,0,0,NA,NA,NA,NA,3.6,NA
1991-09-10,8320000,0,0,NA,NA,NA,NA,4.8,NA
1991-09-11,8320000,0,0,NA,NA,NA,NA,5.9,NA
1991-09-12,8320000,0,0,NA,NA,NA,NA,5.7,NA
1991-09-13,8320000,0,0,NA,NA,NA,NA,5.6,NA
1991-09-14,8320000,0,0,NA,NA,NA,NA,8,NA
1991-09-15,8320000,0,0,NA,NA,NA,NA,11.9,NA
1991-09-16,8320000,0,0,NA,NA,NA,NA,15.8,NA
1991-09-17,8320000,0,0,5.022222222,19.55714286,3,2.2,14.8,4.9
1991-09-18,8320000,0,0,NA,NA,NA,NA,13.9,NA
1991-09-19,8320000,0,0,NA,NA,NA,NA,13.7,NA
1991-09-20,8320000,0,0,NA,NA,NA,NA,13.1,NA
1991-09-21,8320000,0,0,NA,NA,NA,NA,12.8,NA
1991-09-22,8320000,0,0,NA,NA,NA,NA,13.3,NA
1991-09-23,8320000,0,0,NA,NA,NA,NA,13.9,NA
1991-09-24,8320000,0,0,NA,NA,NA,NA,13.6,NA
1991-09-25,8320000,0,0,NA,NA,NA,NA,13.8,NA
1991-09-26,8320000,0,0,NA,NA,NA,NA,13.5,NA
1991-09-27,8320000,0,0,NA,NA,NA,NA,15.5,NA
1991-09-28,8320000,0,0,NA,NA,NA,NA,15.4,NA
1991-09-29,8320000,0,0,NA,NA,NA,NA,14.6,NA
1991-09-30,8320000,0,0,NA,NA,NA,NA,14.3,NA
1991-10-01,8320000,0,0,4.846153846,12.82222222,3.1,1.4,14.8,4
1991-10-02,8320000,0,0,NA,NA,NA,NA,14.9,NA
1991-10-03,8320000,0.01,0.01,NA,NA,NA,NA,16.4,NA
1991-10-04,8320000,0.02,0.02,NA,NA,NA,NA,20.9,NA
1991-10-05,8320000,0.04,0.04,NA,NA,NA,NA,20.1,NA
1991-10-06,8320000,0.05,0.05,NA,NA,NA,NA,20.1,NA
1991-10-07,8320000,0.05,0.05,NA,NA,NA,NA,20.4,NA
1991-10-08,8320000,0.04,0.04,NA,NA,NA,NA,20.1,NA
1991-10-09,8320000,0.04,0.04,NA,NA,NA,NA,19.4,NA
1991-10-10,8320000,0.04,0.04,NA,NA,NA,NA,18.7,NA
1991-10-11,8320000,0.03,0.03,NA,NA,NA,NA,17.8,NA
1991-10-12,8320000,0.03,0.03,NA,NA,NA,NA,17.1,NA
1991-10-13,8320000,0.03,0.03,NA,NA,NA,NA,10.1,NA
1991-10-14,8320000,0.03,0.03,NA,NA,NA,NA,11.5,NA
1991-10-15,8320000,0.03,0.03,NA,NA,NA,NA,16.9,NA
1991-10-16,8320000,0.03,0.03,4.708333333,10.2,4.3,2.1,17,4.1
1991-10-17,8320000,0.03,0.03,NA,NA,NA,NA,16.5,NA
1991-10-18,8320000,0.03,0.03,NA,NA,NA,NA,16,NA
1991-10-19,8320000,0.03,0.03,NA,NA,NA,NA,16,NA
1991-10-20,8320000,0.03,0.03,NA,NA,NA,NA,16.3,NA
1991-10-21,8320000,0.03,0.03,NA,NA,NA,NA,16.5,NA
1991-10-22,8320000,0.03,0.03,NA,NA,NA,NA,15.5,NA
1991-10-23,8320000,0.02,0.02,NA,NA,NA,NA,14.7,NA
1991-10-24,8320000,0.02,0.02,NA,NA,NA,NA,15.5,NA
1991-10-25,8320000,0.05,0.05,NA,NA,NA,NA,15.9,NA
1991-10-26,8320000,0.07,0.07,NA,NA,NA,NA,17,NA
1991-10-27,8320000,0.18,0.18,NA,NA,NA,NA,16.9,NA
1991-10-28,8320000,0.23,0.23,NA,NA,NA,NA,18.1,NA
1991-10-29,8320000,0.22,0.22,NA,NA,NA,NA,17.4,NA
1991-10-30,8320000,0.19,0.19,4.8125,9.41,7.7,2.8,17.2,3.3
1991-10-31,8320000,0.16,0.16,NA,NA,NA,NA,16.6,NA
1991-11-01,8320000,0.14,0.14,NA,NA,NA,NA,15.8,NA
1991-11-02,8320000,0.12,0.12,NA,NA,NA,NA,15.3,NA
1991-11-03,8320000,0.1,0.1,NA,NA,NA,NA,15.1,NA
1991-11-04,8320000,0.09,0.09,NA,NA,NA,NA,14.3,NA
1991-11-05,8320000,0.09,0.09,NA,NA,NA,NA,14.2,NA
1991-11-06,8320000,0.09,0.09,NA,NA,NA,NA,14.2,NA
1991-11-07,8320000,0.08,0.08,NA,NA,NA,NA,14.1,NA
1991-11-08,8320000,0.07,0.07,NA,NA,NA,NA,13.9,NA
1991-11-09,8320000,0.06,0.06,NA,NA,NA,NA,13.3,NA
1991-11-10,8320000,0.06,0.06,NA,NA,NA,NA,12.9,NA
1991-11-11,8320000,0.05,0.05,NA,NA,NA,NA,12.5,NA
1991-11-12,8320000,0.05,0.05,NA,NA,NA,NA,12.3,NA
1991-11-13,8320000,0.05,0.05,NA,NA,NA,NA,13.4,NA
1991-11-14,8320000,0.05,0.05,4.478571429,5.271428571,6,2.9,13.2,4
1991-11-15,8320000,0.07,0.07,NA,NA,NA,NA,12.8,NA
1991-11-16,8320000,0.1,0.1,NA,NA,NA,NA,12.9,NA
1991-11-17,8320000,0.1,0.1,NA,NA,NA,NA,12.4,NA
1991-11-18,8320000,0.1,0.1,NA,NA,NA,NA,11.7,NA
1991-11-19,8320000,0.09,0.09,NA,NA,NA,NA,12.1,NA
1991-11-20,8320000,0.11,0.11,NA,NA,NA,NA,12.3,NA
1991-11-21,8320000,0.12,0.12,NA,NA,NA,NA,11.9,NA
1991-11-22,8320000,0.12,0.12,NA,NA,NA,NA,11.2,NA
1991-11-23,8320000,0.12,0.12,NA,NA,NA,NA,10.8,NA
1991-11-24,8320000,0.13,0.13,NA,NA,NA,NA,10.3,NA
1991-11-25,8320000,0.13,0.13,NA,NA,NA,NA,10.2,NA
1991-11-26,8320000,0.12,0.12,NA,NA,NA,NA,10.7,NA
1991-11-27,8320000,0.12,0.12,NA,NA,NA,NA,10.6,NA
1991-11-28,8320000,0.12,0.12,NA,NA,NA,NA,10.4,NA
1991-11-29,8320000,0.11,0.11,NA,NA,NA,NA,10.3,NA
1991-11-30,8320000,0.12,0.12,NA,NA,NA,NA,9.9,NA
1991-12-01,8320000,0.14,0.14,NA,NA,NA,NA,10.2,NA
1991-12-02,8320000,0.14,0.14,NA,NA,NA,NA,10.2,NA
1991-12-03,8320000,0.14,0.14,NA,NA,NA,NA,10.1,NA
1991-12-04,8320000,0.13,0.13,NA,NA,NA,NA,10.1,NA
1991-12-05,8320000,0.12,0.12,NA,NA,NA,NA,9.3,NA
1991-12-06,8320000,0.11,0.11,NA,NA,NA,NA,8.6,NA
1991-12-07,8320000,0.11,0.11,NA,NA,NA,NA,8.6,NA
1991-12-08,8320000,0.1,0.1,NA,NA,NA,NA,8.6,NA
1991-12-09,8320000,0.13,0.13,NA,NA,NA,NA,8.6,NA
1991-12-10,8320000,0.15,0.15,NA,NA,NA,NA,9,NA
1991-12-11,8320000,0.16,0.16,NA,NA,NA,NA,8.9,NA
1991-12-12,8320000,0.16,0.16,NA,NA,NA,NA,8.8,NA
1991-12-13,8320000,0.21,0.21,NA,NA,NA,NA,8.8,NA
1991-12-14,8320000,0.25,0.25,NA,NA,NA,NA,8.6,NA
1991-12-15,8320000,0.27,0.27,NA,NA,NA,NA,8.2,NA
1991-12-16,8320000,0.24,0.24,NA,NA,NA,NA,7.8,NA
1991-12-17,8320000,0.21,0.21,NA,NA,NA,NA,7.7,NA
1991-12-18,8320000,0.19,0.19,NA,NA,NA,NA,7.8,NA
1991-12-19,8320000,0.16,0.16,NA,NA,NA,NA,7.3,NA
1991-12-20,8320000,0.14,0.14,NA,NA,NA,NA,6.9,NA
1991-12-21,8320000,0.14,0.14,NA,NA,NA,NA,7,NA
1991-12-22,8320000,0.12,0.12,NA,NA,NA,NA,7,NA
1991-12-23,8320000,0.11,0.11,NA,NA,NA,NA,7,NA
1991-12-24,8320000,0.1,0.1,NA,NA,NA,NA,7.1,NA
1991-12-25,8320000,0.1,0.1,NA,NA,NA,NA,7.1,NA
1991-12-26,8320000,0.08,0.08,NA,NA,NA,NA,7.1,NA
1991-12-27,8320000,0.08,0.08,NA,NA,NA,NA,7.1,NA
1991-12-28,8320000,0.08,0.08,NA,NA,NA,NA,7.2,NA
1991-12-29,8320000,0.07,0.07,NA,NA,NA,NA,7.3,NA
1991-12-30,8320000,0.07,0.07,NA,NA,NA,NA,7.4,NA
1991-12-31,8320000,0.06,0.06,NA,NA,NA,NA,7.4,NA
1992-01-01,8320000,0.06,0.06,NA,NA,NA,NA,7.5,NA
1992-01-02,8320000,0.06,0.06,NA,NA,NA,NA,7.7,NA
1992-01-03,8320000,0.05,0.05,NA,NA,NA,NA,7.8,NA
1992-01-04,8320000,0.06,0.06,NA,NA,NA,NA,7.7,NA
1992-01-05,8320000,0.07,0.07,NA,NA,NA,NA,7.9,NA
1992-01-06,8320000,0.08,0.08,NA,NA,NA,NA,7.8,NA
1992-01-07,8320000,0.08,0.08,NA,NA,NA,NA,7.9,NA
1992-01-08,8320000,0.08,0.08,NA,NA,NA,NA,7.9,NA
1992-01-09,8320000,0.08,0.08,NA,NA,NA,NA,7.8,NA
1992-01-10,8320000,0.08,0.08,NA,NA,NA,NA,7.7,NA
1992-01-11,8320000,0.07,0.07,NA,NA,NA,NA,7.5,NA
1992-01-12,8320000,0.06,0.06,NA,NA,NA,NA,7.3,NA
1992-01-13,8320000,0.06,0.06,NA,NA,NA,NA,7.1,NA
1992-01-14,8320000,0.09,0.09,NA,NA,NA,NA,7.3,NA
1992-01-15,8320000,0.1,0.1,NA,NA,NA,NA,7.5,NA
1992-01-16,8320000,0.09,0.09,NA,NA,NA,NA,7.5,NA
1992-01-17,8320000,0.08,0.08,NA,NA,NA,NA,7.5,NA
1992-01-18,8320000,0.07,0.07,NA,NA,NA,NA,7.5,NA
1992-01-19,8320000,0.06,0.06,NA,NA,NA,NA,7.4,NA
1992-01-20,8320000,0.06,0.06,NA,NA,NA,NA,7.3,NA
1992-01-21,8320000,0.06,0.06,NA,NA,NA,NA,7.2,NA
1992-01-22,8320000,0.05,0.05,3.703225806,2,3.6,1.8,7.2,NA
1992-01-23,8320000,0.06,0.06,NA,NA,NA,NA,7.4,NA
1992-01-24,8320000,0.07,0.07,NA,NA,NA,NA,7.8,NA
1992-01-25,8320000,0.06,0.06,NA,NA,NA,NA,7.6,NA
1992-01-26,8320000,0.06,0.06,NA,NA,NA,NA,7.6,NA
1992-01-27,8320000,0.05,0.05,NA,NA,NA,NA,7.4,NA
1992-01-28,8320000,0.05,0.05,NA,NA,NA,NA,7.4,NA
1992-01-29,8320000,0.05,0.05,NA,NA,NA,NA,7.2,NA
1992-01-30,8320000,0.04,0.04,NA,NA,NA,NA,7.2,NA
1992-01-31,8320000,0.04,0.04,NA,NA,NA,NA,7.2,NA
1992-02-01,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-02,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-03,8320000,0.04,0.04,NA,NA,NA,NA,7.4,NA
1992-02-04,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-05,8320000,0.04,0.04,NA,NA,NA,NA,7.2,NA
1992-02-06,8320000,0.03,0.03,NA,NA,NA,NA,7.2,NA
1992-02-07,8320000,0.03,0.03,NA,NA,NA,NA,7.3,NA
1992-02-08,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-09,8320000,0.03,0.03,NA,NA,NA,NA,7.3,NA
1992-02-10,8320000,0.03,0.03,NA,NA,NA,NA,7.2,NA
1992-02-11,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-12,8320000,0.03,0.03,NA,NA,NA,NA,7.2,NA
1992-02-13,8320000,0.03,0.03,NA,NA,NA,NA,7.1,NA
1992-02-14,8320000,0.03,0.03,NA,NA,NA,NA,7.1,NA
1992-02-15,8320000,0.03,0.03,NA,NA,NA,NA,7.2,NA
1992-02-16,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-17,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-02-18,8320000,0.04,0.04,NA,NA,NA,NA,8.7,NA
1992-02-19,8320000,0.05,0.05,NA,NA,NA,NA,7.3,NA
1992-02-20,8320000,0.05,0.05,NA,NA,NA,NA,7.7,NA
1992-02-21,8320000,0.06,0.06,NA,NA,NA,NA,7.9,NA
1992-02-22,8320000,0.05,0.05,NA,NA,NA,NA,7.7,NA
1992-02-23,8320000,0.05,0.05,NA,NA,NA,NA,7.6,NA
1992-02-24,8320000,0.05,0.05,NA,NA,NA,NA,7.4,NA
1992-02-25,8320000,0.05,0.05,NA,NA,NA,NA,7.5,NA
1992-02-26,8320000,0.05,0.05,NA,NA,NA,NA,7.6,NA
1992-02-27,8320000,0.05,0.05,3.55,1.3,4.9,0.9,7.6,NA
1992-02-28,8320000,0.05,0.05,NA,NA,NA,NA,7.7,NA
1992-02-29,8320000,0.05,0.05,NA,NA,NA,NA,7.5,NA
1992-03-01,8320000,0.05,0.05,NA,NA,NA,NA,7.4,NA
1992-03-02,8320000,0.05,0.05,NA,NA,NA,NA,7.2,NA
1992-03-03,8320000,0.04,0.04,NA,NA,NA,NA,7.3,NA
1992-03-04,8320000,0.04,0.04,NA,NA,NA,NA,7.1,NA
1992-03-05,8320000,0.04,0.04,NA,NA,NA,NA,7.2,NA
1992-03-06,8320000,0.04,0.04,NA,NA,NA,NA,7.4,NA
1992-03-07,8320000,0.05,0.05,NA,NA,NA,NA,7.6,NA
1992-03-08,8320000,0.05,0.05,NA,NA,NA,NA,8,NA
1992-03-09,8320000,0.06,0.06,NA,NA,NA,NA,8.4,NA
1992-03-10,8320000,0.15,0.15,NA,NA,NA,NA,8.3,NA
1992-03-11,8320000,0.22,0.22,NA,NA,NA,NA,8.8,NA
1992-03-12,8320000,0.24,0.24,NA,NA,NA,NA,8.9,NA
1992-03-13,8320000,0.23,0.23,NA,NA,NA,NA,8.5,NA
1992-03-14,8320000,0.21,0.21,NA,NA,NA,NA,8.6,NA
1992-03-15,8320000,0.19,0.19,NA,NA,NA,NA,8.3,NA
1992-03-16,8320000,0.17,0.17,NA,NA,NA,NA,7.9,NA
1992-03-17,8320000,0.16,0.16,NA,NA,NA,NA,8,NA
1992-03-18,8320000,0.14,0.14,NA,NA,NA,NA,7.9,NA
1992-03-19,8320000,0.12,0.12,NA,NA,NA,NA,7.6,NA
1992-03-20,8320000,0.11,0.11,NA,NA,NA,NA,7.4,NA
1992-03-21,8320000,0.1,0.1,NA,NA,NA,NA,7.4,NA
1992-03-22,8320000,0.08,0.08,NA,NA,NA,NA,7.4,NA
1992-03-23,8320000,0.07,0.07,NA,NA,NA,NA,7.4,NA
1992-03-24,8320000,0.07,0.07,NA,NA,NA,NA,7,NA
1992-03-25,8320000,0.06,0.06,NA,NA,NA,NA,6.6,NA
1992-03-26,8320000,0.06,0.06,NA,NA,NA,NA,6.8,NA
1992-03-27,8320000,0.05,0.05,NA,NA,NA,NA,7,NA
1992-03-28,8320000,0.06,0.06,NA,NA,NA,NA,7,NA
1992-03-29,8320000,0.07,0.07,NA,NA,NA,NA,7,NA
1992-03-30,8320000,0.08,0.08,NA,NA,NA,NA,7,NA
1992-03-31,8320000,0.08,0.08,NA,NA,NA,NA,7,NA
1992-04-01,8320000,0.09,0.09,NA,NA,NA,NA,6.5,NA
1992-04-02,8320000,0.09,0.09,NA,NA,NA,NA,6.7,NA
1992-04-03,8320000,0.09,0.09,NA,NA,NA,NA,6.8,NA
1992-04-04,8320000,0.09,0.09,NA,NA,NA,NA,6.6,NA
1992-04-05,8320000,0.1,0.1,NA,NA,NA,NA,6.3,NA
1992-04-06,8320000,0.1,0.1,3.521212121,1.4,5.7,0.5,6.1,NA
1992-04-07,8320000,0.11,0.11,NA,NA,NA,NA,6,NA
1992-04-08,8320000,0.12,0.12,NA,NA,NA,NA,5.7,NA
1992-04-09,8320000,0.15,0.15,NA,NA,NA,NA,5.5,NA
1992-04-10,8320000,0.18,0.18,NA,NA,NA,NA,5.5,NA
1992-04-11,8320000,0.21,0.21,NA,NA,NA,NA,5.7,NA
1992-04-12,8320000,0.21,0.21,NA,NA,NA,NA,5.9,NA
1992-04-13,8320000,0.2,0.2,NA,NA,NA,NA,6,NA
1992-04-14,8320000,0.18,0.18,NA,NA,NA,NA,5.7,NA
1992-04-15,8320000,0.17,0.17,NA,NA,NA,NA,5.4,NA
1992-04-16,8320000,0.17,0.17,NA,NA,NA,NA,5.4,NA
1992-04-17,8320000,0.17,0.17,NA,NA,NA,NA,5.4,NA
1992-04-18,8320000,0.18,0.18,NA,NA,NA,NA,5.3,NA
1992-04-19,8320000,0.21,0.21,NA,NA,NA,NA,5.3,NA
1992-04-20,8320000,0.3,0.3,NA,NA,NA,NA,5.3,NA
1992-04-21,8320000,0.47,0.47,NA,NA,NA,NA,5.3,NA
1992-04-22,8320000,0.73,0.73,NA,NA,NA,NA,5.4,NA
1992-04-23,8320000,0.86,0.86,NA,NA,NA,NA,5.7,NA
1992-04-24,8320000,0.76,0.76,NA,NA,NA,NA,5.8,NA
1992-04-25,8320000,0.63,0.63,NA,NA,NA,NA,5.8,NA
1992-04-26,8320000,0.52,0.52,NA,NA,NA,NA,5.9,NA
1992-04-27,8320000,0.43,0.43,NA,NA,NA,NA,6,NA
1992-04-28,8320000,0.35,0.35,NA,NA,NA,NA,6,NA
1992-04-29,8320000,0.29,0.29,NA,NA,NA,NA,6,NA
1992-04-30,8320000,0.25,0.25,NA,NA,NA,NA,6.3,NA
1992-05-01,8320000,0.23,0.23,NA,NA,NA,NA,6.6,NA
1992-05-02,8320000,0.26,0.26,NA,NA,NA,NA,6.5,NA
1992-05-03,8320000,0.27,0.27,NA,NA,NA,NA,6.5,NA
1992-05-04,8320000,0.26,0.26,NA,NA,NA,NA,6.4,NA
1992-05-05,8320000,0.23,0.23,NA,NA,NA,NA,6.4,NA
1992-05-06,8320000,0.19,0.19,NA,NA,NA,NA,6.5,NA
1992-05-07,8320000,0.17,0.17,4.013636364,5.09,5.3,1.5,6.4,4.8
1992-05-08,8320000,0.14,0.14,NA,NA,NA,NA,6.4,NA
1992-05-09,8320000,0.13,0.13,NA,NA,NA,NA,6.6,NA
