Date,NEP,Oxygen,Oxygen_conc
1999-12-07,-0.000579678364506766,-0.00154580897201804,12.162326515479
1999-12-08,-0.000710444407092735,-0.00189451841891396,12.1636276380712
1999-12-09,-0.000841781889140112,-0.00224475170437363,12.1651029161431
1999-12-10,-0.000973721986407925,-0.00259659196375447,12.1667303998102
1999-12-11,-0.00110722687837753,-0.00295260500900675,12.1684906900837
1999-12-12,-0.00124390002561779,-0.00331706673498078,12.1703641497185
1999-12-13,-0.00138112501179069,-0.00368300003144183,12.1723292203262
1999-12-14,-0.00151903843657932,-0.00405076916421153,12.174373903728
1999-12-15,-0.00165465081864267,-0.00441240218304712,12.1764872764868
1999-12-16,-0.00178857152074651,-0.00476952405532402,12.1786676968887
1999-12-17,-0.00191542251859932,-0.00510779338293151,12.180912098231
1999-12-18,-0.0020365566089976,-0.0054308176239936,12.1832321253255
1999-12-19,-0.00215600766158612,-0.00574935376422966,12.1856344280519
1999-12-20,-0.00227383968971542,-0.00606357250590778,12.1881141091933
1999-12-21,-0.00238841136343128,-0.00636909696915007,12.190666690152
1999-12-22,-0.00249795298159419,-0.00666120795091785,12.1932926082205
1999-12-23,-0.00260357479955596,-0.00694286613214923,12.1959969716965
1999-12-24,-0.00270523591281066,-0.00721396243416176,12.1987813224305
1999-12-25,-0.00280618745135165,-0.00748316653693772,12.2016471316026
1999-12-26,-0.00290630817064462,-0.00775015512171898,12.2045870294983
1999-12-27,-0.00300420469424159,-0.00801121251797758,12.2075948535368
1999-12-28,-0.00309712656009584,-0.00825900416025557,12.2106688961145
1999-12-29,-0.00319021602454028,-0.0085072427321074,12.213814991651
1999-12-30,-0.00328066630166565,-0.00874844347110841,12.217024569652
1999-12-31,-0.00336398248774442,-0.00897061996731846,12.2202975704462
2000-01-01,-0.00344411140659673,-0.00918429708425795,12.2236459314194
2000-01-02,-0.00352441374479736,-0.00939843665279295,12.2270696453803
2000-01-03,-0.00360258804782425,-0.00960690146086467,12.2305597482801
2000-01-04,-0.00367753829835793,-0.00980676879562114,12.2341144858442
2000-01-05,-0.00374723212752308,-0.00999261900672822,12.2377352392482
2000-01-06,-0.00381411915586713,-0.0101709844156457,12.2414286483199
2000-01-07,-0.00388151827799589,-0.010350715407989,12.2451940331238
2000-01-08,-0.00394749287271393,-0.0105266476605705,12.2490219483126
2000-01-09,-0.00401044937390131,-0.0106945316637368,12.2529092418408
2000-01-10,-0.00407125767224784,-0.0108566871259942,12.2568573900347
2000-01-11,-0.00413137522669579,-0.0110170006045221,12.2608653770316
2000-01-12,-0.00418103634543974,-0.011149430254506,12.264928424749
2000-01-13,-0.00422534107893757,-0.0112675762105002,12.2690683690912
2000-01-14,-0.00427115870330556,-0.0113897565421482,12.2732908498401
2000-01-15,-0.00431576166463244,-0.0115086977723532,12.277582521682
2000-01-16,-0.00436465867084878,-0.0116390897889301,12.2819389052616
2000-01-17,-0.00441230123402924,-0.011766136624078,12.286341368077
2000-01-18,-0.00445810783350551,-0.0118882875560147,12.2907882937345
2000-01-19,-0.00450523869149445,-0.0120139698439852,12.2952798114792
2000-01-20,-0.00455326555047911,-0.0121420414679443,12.299807610498
2000-01-21,-0.00459964646411546,-0.0122657239043079,12.3043655128433
2000-01-22,-0.00464716940366558,-0.0123924517431082,12.3089548557994
2000-01-23,-0.00469315337437092,-0.0125150756649891,12.3135693849486
2000-01-24,-0.00474036894097231,-0.0126409838425928,12.3182107405497
2000-01-25,-0.0047861129873135,-0.0127629679661693,12.3228729813707
2000-01-26,-0.00483039929884802,-0.0128810647969281,12.3275580821981
2000-01-27,-0.0048733076092921,-0.0129954869581123,12.3322677478346
2000-01-28,-0.00491745760424841,-0.0131132202779958,12.3370032694391
2000-01-29,-0.00496022560794751,-0.01322726828786,12.3417588005676
2000-01-30,-0.00500163914606689,-0.0133377043895117,12.3465361872591
2000-01-31,-0.00504175096302077,-0.0134446692347221,12.3513369843025
2000-02-01,-0.00508103638010016,-0.0135494303469337,12.3561624226885
2000-02-02,-0.00511888816446871,-0.0136503684385832,12.3610123212793
2000-02-03,-0.00515549928359612,-0.0137479980895897,12.3658881413212
2000-02-04,-0.0051914157241773,-0.0138437752644728,12.3707906576395
2000-02-05,-0.00522590104272375,-0.01393573611393,12.3757190988053
2000-02-06,-0.00525983045700373,-0.0140262145520099,12.3806747504657
2000-02-07,-0.00529230033640127,-0.0141128008970701,12.385656413488
2000-02-08,-0.00532395973491866,-0.0141972259597831,12.390665442381
2000-02-09,-0.00535708125458502,-0.0142855500122267,12.3957013018556
2000-02-10,-0.00538752309209712,-0.0143667282455923,12.400757461556
2000-02-11,-0.00541687550079041,-0.0144450013354411,12.4058392119427
2000-02-12,-0.00544522761991505,-0.0145206069864401,12.4109469769765
2000-02-13,-0.00547264032182172,-0.0145937075248579,12.4160808942985
2000-02-14,-0.00549966414963493,-0.0146657710656931,12.4212409245708
2000-02-15,-0.00552564851947054,-0.0147350627185881,12.4264255666693
2000-02-16,-0.00555235872874526,-0.0148062899433207,12.431635233892
2000-02-17,-0.00557521658003684,-0.0148672442134316,12.4368655847044
2000-02-18,-0.00559702139531771,-0.0149253903875139,12.4421250019928
2000-02-19,-0.00562062403708642,-0.0149883307655638,12.4474134123143
2000-02-20,-0.00564371657943792,-0.0150499108785011,12.4527231504322
2000-02-21,-0.00566643028981262,-0.0151104807728337,12.4580536150063
2000-02-22,-0.00569075284119931,-0.0151753409098648,12.4634039272745
2000-02-23,-0.00571440541076613,-0.0152384144287097,12.4687680134386
2000-02-24,-0.00573750779537006,-0.0153000207876535,12.4741465968088
2000-02-25,-0.00576073969854107,-0.0153619725294429,12.4795399967016
2000-02-26,-0.00578348790149426,-0.0154226344039847,12.4849466832057
2000-02-27,-0.00580515280855998,-0.0154804074894933,12.4903669437786
2000-02-28,-0.00582688510159647,-0.0155383602709239,12.4958026318349
2000-02-29,-0.00581435166148501,-0.01550493776396,12.5012523141409
2000-03-01,-0.00579443386064714,-0.0154518236283924,12.5068062830881
2000-03-02,-0.00577814654719559,-0.0154083907925216,12.5124724718201
2000-03-03,-0.00576068644093433,-0.0153618305091582,12.5182285080857
2000-03-04,-0.00574806749563853,-0.0153281799883694,12.5240674789188
2000-03-05,-0.00574062697181161,-0.0153083385914976,12.529967255991
2000-03-06,-0.00573798799819733,-0.0153013013285262,12.5359074311729
2000-03-07,-0.00574001910785385,-0.0153067176209436,12.541871016185
2000-03-08,-0.005746478764082,-0.0153239433708853,12.5478433828153
2000-03-09,-0.00575330597974051,-0.015342149279308,12.5538122765391
2000-03-10,-0.00575082333765602,-0.015335528900416,12.5597777204044
2000-03-11,-0.00574294072584231,-0.0153145086022462,12.5657655414071
2000-03-12,-0.00573817114437275,-0.0153017897183273,12.5717880906551
2000-03-13,-0.00573798790046023,-0.015301301067894,12.5778335611366
2000-03-14,-0.00574225539742572,-0.0153126810598019,12.5838876129311
2000-03-15,-0.00574881154488096,-0.0153301641196826,12.5899379618291
2000-03-16,-0.00575722222614354,-0.0153525926030495,12.5959795397762
2000-03-17,-0.00576769180233203,-0.0153805114728854,12.602009034624
2000-03-18,-0.0057818545451437,-0.0154182787870499,12.6080229800215
2000-03-19,-0.00579766926417174,-0.0154604513711246,12.6140139602997
2000-03-20,-0.00581526034226645,-0.0155073609127105,12.6199808773206
2000-03-21,-0.00583289313019042,-0.0155543816805078,12.6259224300586
2000-03-22,-0.00585007547313821,-0.0156002012617019,12.631842095875
2000-03-23,-0.00586705110065694,-0.0156454696017519,12.6377442537148
2000-03-24,-0.00588041237227107,-0.0156810996593895,12.6436321156867
2000-03-25,-0.0058902754577607,-0.0157074012206952,12.6495176018718
2000-03-26,-0.00589699512139371,-0.0157253203237166,12.6554109174016
2000-03-27,-0.00590247305321293,-0.0157399281419011,12.6613201190663
2000-03-28,-0.00590709105082514,-0.0157522428022004,12.667247243967
2000-03-29,-0.00591132879076249,-0.0157635434420333,12.6731930722582
2000-03-30,-0.00591293051822701,-0.015767814715272,12.6791570143287
2000-03-31,-0.0059156505632845,-0.0157750681687587,12.685144566663
2000-04-01,-0.0059204102822368,-0.0157877607526315,12.6911505682033
2000-04-02,-0.00592554352045462,-0.015801449387879,12.6971680101756
2000-04-03,-0.00593137263243996,-0.0158169936865066,12.7031951533174
2000-04-04,-0.00593590069072407,-0.0158290685085975,12.7092296044455
2000-04-05,-0.00594013806308444,-0.0158403681682252,12.7152745780612
2000-04-06,-0.00594288149500063,-0.0158476839866683,12.7213302168242
2000-04-07,-0.00594828036509139,-0.015862080973577,12.7273998562008
2000-04-08,-0.00595561098811347,-0.0158816293016359,12.7334753751542
2000-04-09,-0.00596211608247738,-0.0158989762199397,12.7395515388587
2000-04-10,-0.00596990196798065,-0.0159197385812817,12.7456310816352
2000-04-11,-0.00597945483748221,-0.0159452128999526,12.7517107998335
2000-04-12,-0.00599216398032645,-0.0159791039475372,12.757786570562
2000-04-13,-0.00600648498971245,-0.0160172933058999,12.7638510513004
2000-04-14,-0.00602370913892437,-0.016063224370465,12.7699018813023
2000-04-15,-0.00604238993847805,-0.0161130398359415,12.7759335337699
2000-04-16,-0.00606111044912387,-0.0161629611976636,12.7819449884818
2000-04-17,-0.0060825153273358,-0.0162200408728955,12.7879391230949
2000-04-18,-0.00610516041054157,-0.0162804277614442,12.7939114242006
2000-04-19,-0.00612772318774695,-0.0163405951673252,12.7998617592777
2000-04-20,-0.00653779116831485,-0.0174341097821729,12.8057935374347
2000-04-21,-0.00696919473548649,-0.0185845192946306,12.7916207131722
2000-04-22,-0.0074172150616563,-0.0197792401644168,12.7594677054698
2000-04-23,-0.00788030595183327,-0.0210141492048887,12.7113123852776
2000-04-24,-0.00836399534793481,-0.0223039875944928,12.6489850986507
2000-04-25,-0.00887342578932133,-0.0236624687715235,12.5741580736879
2000-04-26,-0.00940766924367266,-0.0250871179831271,12.4883568484172
2000-04-27,-0.00996765217861658,-0.0265804058096442,12.3929863022304
2000-04-28,-0.0105540799407748,-0.0281442131753995,12.2893329570155
2000-04-29,-0.011169132129241,-0.0297843523446426,12.1785731887726
2000-04-30,-0.0118120794287017,-0.031498878476538,12.0617765070558
2000-05-01,-0.0124834648289774,-0.0332892395439397,11.9399207703014
2000-05-02,-0.0131829091022035,-0.0351544242725426,11.8138947808572
2000-05-03,-0.0139094003434736,-0.0370917342492629,11.6845069643805
2000-05-04,-0.0146644574652625,-0.0391052199073666,11.552492609972
2000-05-05,-0.0154526603136425,-0.0412070941697134,11.4185121443468
2000-05-06,-0.0162671877521185,-0.0433791673389827,11.283148823049
