"","Date","DOC_conc_gm3","NPPin_gm2y","FlowIn_gm2y","FlowOut_gm2y","respOut_gm2y","leachIn_gm2y","DOC_out_g","DOC_FlowOut_cum_g","DOC_RespOut_cum_g","DOC_in_g","DOC_in_alloch_g","DOC_in_autoch_g"
"1693",1995-12-18,2.62378624764562,4.23809913755481,18.4655228355282,8.11440265817128,23.6798386925104,1.55716817093201,62177.3410304564,31408613.6015367,117803885.010581,44399.5763407853,36111.48,8288.09634078526
"1694",1995-12-19,2.62201550954258,4.21875596278826,19.4835752311572,8.10892641864028,23.6562288907895,1.53581073679683,62120.4598900574,31424471.5513384,117850147.520669,46352.6685102418,38102.4,8250.26851024181
"1695",1995-12-20,2.62048133470403,4.19940520367338,20.411364527879,8.10418178199193,23.634765472984,1.51711119323789,62069.2069879502,31440320.2224507,117896368.056545,48129.2258476221,39916.8,8212.42584762208
"1696",1995-12-21,2.61916245326749,4.18004669924688,19.1743121322499,8.10010296839037,23.6152545935274,1.50051436248082,62023.0745964299,31456160.9169681,117942550.436624,45672.1680381436,37497.6,8174.56803814362
"1697",1995-12-22,2.61754989605535,4.16068028628105,16.0509593723732,6.93867079198667,23.5931068110933,1.48366102375481,59708.4461728177,31469730.2956292,117988689.504135,39526.2147625956,31389.52,8136.69476259565
"1698",1995-12-23,2.61547288168957,4.14130579923931,15.9049593723732,6.93316498713609,23.5667858512238,1.46469756947189,59646.2052285516,31483288.9070479,118034777.097945,39202.8056972521,31104,8098.80569725211
"1699",1995-12-24,2.61336001956371,4.12192307023071,15.9049593723732,6.92756415609087,23.5401565070521,1.44693399575877,59583.1753680861,31496836.5653893,118080812.614972,39164.9005137827,31104,8060.9005137827
"1700",1995-12-25,2.61124600190181,4.10253192896313,17.172876716167,6.92196026192005,23.5135314779084,1.43025985577385,59520.1479558617,31510373.2646632,118126796.063654,41606.5388791613,33583.56,8022.97887916133
"1701",1995-12-26,2.60942910654224,4.08313220269537,13.0332305968058,5.76428665620034,23.4895958087933,1.41430986116879,57209.3734342808,31521645.9984034,118172732.703348,33473.0404555725,25488,7985.04045557247
"1702",1995-12-27,2.60690861551276,4.06372371618801,13.5423283833006,5.75871883572502,23.4593415331362,1.39682298427266,57139.3191542277,31532907.8436224,118218610.177283,34430.6849003151,26483.6,7947.08490031508
"1703",1995-12-28,2.60450753567329,4.044306291653,13.0332305968058,5.7534147972116,23.430178547406,1.38017959719476,57071.9148750357,31544159.3161766,118264430.619604,33397.1118657039,25488,7909.11186570386
"1704",1995-12-29,2.60198641775247,4.02487974870185,13.7632305968058,5.74784559191945,23.3999524109636,1.36474419151632,57001.912916323,31555399.8975012,118310191.951196,34786.7209989682,26915.6,7871.12099896816
"1705",1995-12-30,2.59963710576422,4.00544390429257,13.7632305968058,5.74265590973525,23.3712878997999,1.350184793455,56935.7070993045,31566630.3297981,118355897.225998,34748.7119421481,26915.6,7833.11194214805
"1706",1995-12-31,2.59728776062236,3.98599857267515,15.9532305968058,5.73746615431401,23.3426391405145,1.33642107881262,56869.5319436948,31577850.612924,118401546.474816,38993.4843319877,31198.4,7795.08433198774
"1707",1996-01-01,2.59545332305248,3.96654356533558,13.0332305968058,5.73341384111677,23.318632567761,1.32338016317845,56814.6595250876,31589062.9712796,118447148.775985,33245.0377998261,25488,7757.03779982613
