RESV,STATION,COLLECT,ZSP,TEMP,PH,DO,FSPCON,SITE,TempFlag,pHFlag,DOFlag,FSpConFlag,Reviewed
NN,1,21JUN2011,6,16.1,6.37,9.4,28,1NN,,,,,
NN,1,21JUN2011,7,15.4,6.26,9.5,27,1NN,,,,,
NN,1,21JUN2011,8,14.3,6.14,9.5,28,1NN,,,,,
NN,1,21JUN2011,9,12.7,6.07,9.7,28,1NN,,,,,
NN,1,21JUN2011,10,11.3,6.04,9.9,28,1NN,,,,,
NN,1,21JUN2011,11,9.9,6.01,10.1,28,1NN,,,,,
NN,1,21JUN2011,12,8.4,6.02,10.4,29,1NN,,,,,
NN,1,21JUN2011,13,7.7,6.01,10.5,29,1NN,,,,,
NN,1,21JUN2011,14,7.4,6.02,10.6,29,1NN,,,,,
NN,1,21JUN2011,15,7.3,6.02,10.6,29,1NN,,,,,
NN,1,21JUN2011,16,7.1,6.01,10.6,29,1NN,,,,,
NN,1,21JUN2011,17,6.7,6,10.6,29,1NN,,,,,
NN,1,21JUN2011,18,6.5,6.02,10.6,29,1NN,,,,,
NN,1,21JUN2011,19,6.3,6.02,10.6,29,1NN,,,,,
NN,1,21JUN2011,20,6.2,5.98,10.5,29,1NN,,,,,
NN,1,21JUN2011,21,6.0,5.96,10.5,29,1NN,,,,,
NN,1,21JUN2011,22,5.6,5.95,10.6,29,1NN,,,,,
NN,1,21JUN2011,23,5.3,5.93,10.6,29,1NN,,,,,
NN,1,21JUN2011,24,5.2,5.93,10.6,30,1NN,,,,,
NN,1,21JUN2011,25,5.1,5.93,10.5,30,1NN,,,,,
NN,1,21JUN2011,26,5.1,5.93,10.3,30,1NN,,,,,
NN,1,21JUN2011,27,5.0,5.98,10.2,30,1NN,,,,,
NN,1,21JUN2011,28,4.9,6.05,10.1,30,1NN,,,,,
NN,1,21JUN2011,29,5.0,6.06,10.4,44,1NN,,,,,
NN,2,21JUN2011,0,21.4,6.73,9.1,28,2NN,,,,,
NN,2,21JUN2011,1,21.1,6.69,9.2,28,2NN,,,,,
NN,2,21JUN2011,2,21.1,6.66,9.2,28,2NN,,,,,
NN,2,21JUN2011,3,20.9,6.59,9.1,28,2NN,,,,,
NN,2,21JUN2011,4,20.6,6.49,9.1,28,2NN,,,,,
NN,2,21JUN2011,5,19.8,6.34,8.9,28,2NN,,,,,
NN,2,21JUN2011,6,15.6,6.19,9.4,28,2NN,,,,,
NN,2,21JUN2011,7,14.6,6.15,9.5,27,2NN,,,,,
NN,2,21JUN2011,8,13.8,6.11,9.6,27,2NN,,,,,
NN,2,21JUN2011,9,13.3,6.09,9.6,27,2NN,,,,,
NN,2,21JUN2011,10,11.8,6.07,9.8,28,2NN,,,,,
NN,2,21JUN2011,11,9.8,6.05,10.1,28,2NN,,,,,
NN,2,21JUN2011,12,8.9,6.04,10.2,28,2NN,,,,,
NN,2,21JUN2011,13,8.0,6.03,10.3,28,2NN,,,,,
NN,2,21JUN2011,14,7.5,6.02,10.3,29,2NN,,,,,
NN,2,21JUN2011,15,7.3,6,10.4,29,2NN,,,,,
NN,2,21JUN2011,16,7.2,6,10.4,29,2NN,,,,,
NN,2,21JUN2011,17,6.9,5.99,10.4,29,2NN,,,,,
NN,2,21JUN2011,18,6.8,5.98,10.5,29,2NN,,,,,
NN,2,21JUN2011,19,6.3,6,10.6,29,2NN,,,,,
NN,2,21JUN2011,20,6.0,6.01,10.6,29,2NN,,,,,
NN,2,21JUN2011,21,5.8,6,10.6,29,2NN,,,,,
NN,2,21JUN2011,22,5.7,6,10.6,29,2NN,,,,,
NN,2,21JUN2011,23,5.5,5.99,10.5,29,2NN,,,,,
NN,2,21JUN2011,24,5.4,5.99,10.4,29,2NN,,,,,
NN,2,21JUN2011,25,5.3,5.98,10.5,29,2NN,,,,,
NN,2,21JUN2011,26,5.2,5.95,10.4,29,2NN,,,,,
NN,2,21JUN2011,27,5.1,5.95,10.4,29,2NN,,,,,
NN,2,21JUN2011,28,5.1,5.95,10.4,29,2NN,,,,,
NN,2,21JUN2011,29,5.0,5.95,10.4,29,2NN,,,,,
NN,2,21JUN2011,30,5.0,5.95,10.4,30,2NN,,,,,
NN,2,21JUN2011,31,4.9,5.96,10.4,30,2NN,,,,,
NN,2,21JUN2011,32,4.9,5.94,10.3,30,2NN,,,,,
NN,2,21JUN2011,33,4.9,5.93,10.3,30,2NN,,,,,
NN,2,21JUN2011,34,4.9,5.93,10.2,30,2NN,,,,,
NN,2,21JUN2011,35,4.9,5.91,10.2,30,2NN,,,,,
NN,2,21JUN2011,36,4.9,5.91,10.0,30,2NN,,,,,
NN,2,21JUN2011,37,4.8,5.91,10.0,30,2NN,,,,,
NN,2,21JUN2011,38,4.8,5.9,10.0,30,2NN,,,,,
NN,2,21JUN2011,39,4.8,5.88,9.9,30,2NN,,,,,
NN,2,21JUN2011,40,4.8,5.88,9.9,30,2NN,,,,,
NN,2,21JUN2011,41,4.8,5.89,9.9,30,2NN,,,,,
NN,2,21JUN2011,42,4.8,5.9,9.8,30,2NN,,,,,
NN,2,21JUN2011,43,4.7,6.09,9.9,30,2NN,,,,,
WDC,4,12JUL2011,0,25.0,8.74,8.7,83,4WDC,,,,,
WDC,4,12JUL2011,1,25.0,8.76,8.8,83,4WDC,,,,,
WDC,4,12JUL2011,2,24.9,8.77,8.8,83,4WDC,,,,,
WDC,4,12JUL2011,3,24.8,8.84,8.9,84,4WDC,,,,,
WDC,4,12JUL2011,4,24.7,8.91,8.7,86,4WDC,,,,,
WDC,4,12JUL2011,5,23.6,8.63,8.5,89,4WDC,,,,,
WDC,4,12JUL2011,6,21.5,7.01,7.4,92,4WDC,,,,,
WDC,4,12JUL2011,7,20.3,6.79,6.8,86,4WDC,,,,,
WDC,4,12JUL2011,8,19.6,6.64,5.6,85,4WDC,,,,,
WDC,4,12JUL2011,9,18.1,6.52,4.7,84,4WDC,,,,,
WDC,4,12JUL2011,10,17.2,6.42,4.1,87,4WDC,,,,,
WDC,4,12JUL2011,11,16.1,6.37,4.2,88,4WDC,,,,,
WDC,4,12JUL2011,12,15.0,6.34,5.5,79,4WDC,,,,,
WDC,4,12JUL2011,13,13.1,6.35,6.6,75,4WDC,,,,,
WDC,4,12JUL2011,14,12.2,6.37,7.0,74,4WDC,,,,,
WDC,4,12JUL2011,15,11.4,6.37,7.3,74,4WDC,,,,,
WDC,4,12JUL2011,16,10.6,6.37,7.5,75,4WDC,,,,,
WDC,4,12JUL2011,17,9.8,6.36,7.6,75,4WDC,,,,,
WDC,4,12JUL2011,18,9.2,6.35,7.4,76,4WDC,,,,,
WDC,4,12JUL2011,19,8.6,6.33,7.4,77,4WDC,,,,,
WDC,4,12JUL2011,20,8.0,6.31,7.5,78,4WDC,,,,,
WDC,4,12JUL2011,21,7.4,6.31,7.6,79,4WDC,,,,,
WDC,4,12JUL2011,22,7.0,6.29,7.4,79,4WDC,,,,,
WDC,4,12JUL2011,23,6.9,6.28,7.3,80,4WDC,,,,,
WDC,4,12JUL2011,24,6.8,6.27,7.0,80,4WDC,,,,,
WDC,4,12JUL2011,25,6.5,6.28,6.8,81,4WDC,,,,,
WDC,4,12JUL2011,26,6.3,6.23,6.6,82,4WDC,,,,,
WDC,4,12JUL2011,27,6.2,6.23,6.6,82,4WDC,,,,,
WDC,4,12JUL2011,28,6.2,6.14,6.3,82,4WDC,,,,,
WDC,4,12JUL2011,29,6.2,6.22,5.5,84,4WDC,,,,,
NN,1,19JUL2011,0,24.9,6.78,8.4,28,1NN,,,,,
NN,1,19JUL2011,1,24.6,6.74,8.4,28,1NN,,,,,
NN,1,19JUL2011,2,24.6,6.69,8.4,28,1NN,,,,,
NN,1,19JUL2011,3,24.2,6.58,8.4,28,1NN,,,,,
NN,1,19JUL2011,4,23.4,6.41,8.2,27,1NN,,,,,
NN,1,19JUL2011,5,20.6,5.82,7.4,28,1NN,,,,,
NN,1,19JUL2011,6,18.0,5.69,7.1,26,1NN,,,,,
NN,1,19JUL2011,7,17.2,5.64,7.2,25,1NN,,,,,
NN,1,19JUL2011,8,16.5,5.61,7.1,26,1NN,,,,,
NN,1,19JUL2011,9,15.7,5.58,7.2,26,1NN,,,,,
NN,1,19JUL2011,10,15.1,5.58,7.3,25,1NN,,,,,
NN,1,19JUL2011,11,14.4,5.55,7.3,26,1NN,,,,,
NN,1,19JUL2011,12,13.8,5.52,7.4,26,1NN,,,,,
NN,1,19JUL2011,13,11.8,5.47,8.3,27,1NN,,,,,
NN,1,19JUL2011,14,10.9,5.46,8.7,27,1NN,,,,,
NN,1,19JUL2011,15,9.4,5.45,9.2,27,1NN,,,,,
NN,1,19JUL2011,16,8.7,5.45,9.4,27,1NN,,,,,
NN,1,19JUL2011,17,8.0,5.43,9.4,27,1NN,,,,,
NN,1,19JUL2011,18,7.4,5.42,9.5,27,1NN,,,,,
NN,1,19JUL2011,19,6.9,5.39,9.5,27,1NN,,,,,
NN,1,19JUL2011,20,6.4,5.38,9.6,27,1NN,,,,,
NN,1,19JUL2011,21,6.1,5.4,9.7,28,1NN,,,,,
NN,1,19JUL2011,22,6.0,5.39,9.7,28,1NN,,,,,
NN,1,19JUL2011,23,5.8,5.39,9.7,28,1NN,,,,,
NN,1,19JUL2011,24,5.7,5.39,9.6,28,1NN,,,,,
NN,1,19JUL2011,25,5.6,5.4,9.6,28,1NN,,,,,
NN,1,19JUL2011,26,5.5,5.41,9.6,28,1NN,,,,,
NN,1,19JUL2011,27,5.4,5.26,9.6,28,1NN,,,,,
NN,1,19JUL2011,28,5.3,5.47,9.5,28,1NN,,,,,
NN,1,19JUL2011,29,5.7,5.61,9.5,28,1NN,,,,,
NN,2,19JUL2011,0,25.3,6.84,8.4,28,2NN,,,,,
NN,2,19JUL2011,1,24.6,6.78,8.5,28,2NN,,,,,
NN,2,19JUL2011,2,24.2,6.66,8.5,28,2NN,,,,,
NN,2,19JUL2011,3,24.1,6.52,8.4,27,2NN,,,,,
NN,2,19JUL2011,4,23.9,6.31,8.1,27,2NN,,,,,
NN,2,19JUL2011,5,20.3,5.96,7.7,28,2NN,,,,,
NN,2,19JUL2011,6,18.9,5.82,7.1,26,2NN,,,,,
NN,2,19JUL2011,7,17.1,5.74,7.1,25,2NN,,,,,
NN,2,19JUL2011,8,16.3,5.72,7.2,25,2NN,,,,,
NN,2,19JUL2011,9,15.9,5.67,7.2,25,2NN,,,,,
NN,2,19JUL2011,10,15.2,5.64,7.2,25,2NN,,,,,
NN,2,19JUL2011,11,14.6,5.61,7.3,25,2NN,,,,,
NN,2,19JUL2011,12,13.9,5.57,7.7,26,2NN,,,,,
NN,2,19JUL2011,13,12.6,5.53,8.0,26,2NN,,,,,
NN,2,19JUL2011,14,10.0,5.53,8.6,27,2NN,,,,,
NN,2,19JUL2011,15,9.3,5.48,8.6,27,2NN,,,,,
NN,2,19JUL2011,16,8.5,5.45,9.0,27,2NN,,,,,
NN,2,19JUL2011,17,7.8,5.49,9.4,27,2NN,,,,,
NN,2,19JUL2011,18,7.2,5.48,9.5,27,2NN,,,,,
NN,2,19JUL2011,19,6.9,5.47,9.6,27,2NN,,,,,
NN,2,19JUL2011,20,6.6,5.48,9.6,27,2NN,,,,,
NN,2,19JUL2011,21,6.4,5.46,9.6,27,2NN,,,,,
NN,2,19JUL2011,22,6.2,5.44,9.5,27,2NN,,,,,
NN,2,19JUL2011,23,5.9,5.43,9.5,28,2NN,,,,,
NN,2,19JUL2011,24,5.7,5.44,9.4,28,2NN,,,,,
NN,2,19JUL2011,25,5.6,5.43,9.4,28,2NN,,,,,
NN,2,19JUL2011,26,5.5,5.42,9.4,28,2NN,,,,,
NN,2,19JUL2011,27,5.4,5.41,9.3,28,2NN,,,,,
NN,2,19JUL2011,28,5.2,5.42,9.1,28,2NN,,,,,
NN,2,19JUL2011,29,5.2,5.4,9.0,28,2NN,,,,,
NN,2,19JUL2011,30,5.1,5.41,9.0,28,2NN,,,,,
