"date","doc","tp","tdp","chl","secchi","surfdoc","surftp","surftdp","surfchl"
2000-04-25,2.06,18.33,9.33,1.9,3.1,2.06,20,9,1.4
2000-05-08,1.77,15.33,7.33,1.8,3,1.74,19,7,1.8
2000-05-23,1.88,14.67,7,NA,3.3,1.97,18,8,NA
2000-06-12,2.03,15,5.33,6.3,3,2.2,22,6,9.8
2000-06-27,2.06,13.67,6,5.55,3.6,2.23,18,7,8.4
2000-07-18,1.97,18,8,1.75,3.8,2.16,21,7,NA
2000-08-01,2.12,15,6.67,6.25,3.8,2.33,18,6,9
2000-08-14,2.15,17.67,4.67,23.9,3.2,2.22,23,5,42.2
2000-08-29,2.17,20.33,5.67,20.87,1.4,2.5,28,6,58.6
2000-09-11,2.17,19.33,6.67,20.33,1.7,2.43,21,6,55.8
2000-09-26,2.15,21,3.67,7.07,2.7,2.25,19,3,16.5
2000-10-10,2.02,23,6,1.77,3.6,2.18,18,6,2.4
2000-10-24,2.19,26.67,5.67,2.45,4.2,2.39,18,3,3.6
2000-11-13,NA,NA,NA,2.17,4,NA,NA,NA,1.7
2001-04-23,2.08,38,14,2.9,1.7,2.16,60,15,NA
2001-05-07,NA,20.87,6.7,1.1,NA,NA,19.8,6.2,NA
2001-05-22,1.84,11.43,2.73,3.1,NA,1.94,13.1,3.2,NA
2001-06-04,1.73,11.7,NA,2.2,NA,1.82,13.1,NA,NA
2001-06-19,1.75,19.4,6.67,4.2,NA,1.77,20.3,6.7,4.6
2001-07-16,2.52,12.97,5.33,4.87,NA,2.38,16.9,6.3,10.5
2001-07-31,2.48,18.17,6,36.7,NA,3.04,25.5,7.1,67.2
2001-08-13,3.71,25.37,7.93,17.93,NA,4.59,22.5,7.4,47.5
2001-08-28,2.34,19.45,4.6,5.67,NA,3.2,19.75,4.7,14.4
2001-09-10,2.2,26.1,5.6,2.63,NA,2.82,16.6,6,5.2
2001-09-25,2.41,26.57,8.33,7.33,NA,2.52,19.75,5.9,10.7
2001-10-09,2.04,43.6,6.8,9.35,NA,2.03,47.9,6.7,10.2
2001-10-23,1.99,40.7,12.6,11.4,NA,2.03,42.9,15.7,12.8
2001-11-05,2.26,52.6,10.3,21,NA,2.26,52.6,10.3,21
2002-04-15,1.92,20.1,6.23,8.43,NA,1.94,24.4,8.5,8.8
2002-04-25,NA,14.84,NA,NA,NA,NA,19.7,NA,NA
2002-04-30,1.97,13,5.37,11.6,NA,2.09,17.3,6.9,11.6
2002-05-13,2.02,17.17,5.63,6.25,NA,2.11,26.5,7.3,6.25
2002-05-29,1.96,22.17,10.63,3.37,NA,2.11,34.5,18.4,3.9
2002-06-10,1.86,11.43,4.8,3.53,NA,2.03,13.9,7.6,3.5
2002-06-25,2.03,NA,NA,4.5,NA,2.06,NA,NA,2.7
2002-07-08,1.76,12.27,5.27,4.87,NA,1.8,9.3,3.4,3.4
2002-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-08-06,2.04,13.4,NA,14.77,NA,2.24,10.9,NA,15.4
2002-08-20,2.1,28.8,7.2,19.65,NA,2.26,21.9,5,19.65
2002-09-03,2.31,24.5,11.57,13.1,NA,2.34,19.7,8.1,13.1
2002-09-16,2.24,38.35,12.4,26.9,NA,2.17,30.6,4.3,26.9
2002-10-01,2.29,34.9,10.85,10.35,NA,2.22,25.7,6.4,10.35
2002-10-28,3.53,19.75,7.7,22.56,NA,3.07,11.5,3.6,20.5
2002-11-12,1.93,24.7,6.2,15.65,NA,1.94,19.1,5,15.65
2002-11-25,1.95,31.37,3.73,17.1,NA,1.91,17.6,3.6,17.1
2003-04-21,1.82,22.8,13.53,3.45,NA,1.8,24.2,13.1,3.45
2003-05-12,2.3,20.4,5.93,4.8,NA,3.08,14.8,6.3,4.8
2003-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-06-09,1.93,13.53,5.93,7.15,NA,1.82,15.2,6.3,7.15
2003-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-07-14,2,10.83,5.3,10.5,NA,2.18,7.8,5.4,10.5
2003-07-29,NA,17.07,NA,NA,NA,NA,22.1,NA,NA
2003-08-11,1.88,17.1,6.23,12.1,NA,2,20.4,5.7,12.1
2003-08-26,NA,14.1,NA,NA,NA,NA,18.3,NA,NA
2003-09-15,1.6,22.17,5.63,21.3,NA,2.06,35.9,3.9,21.3
2003-09-30,NA,26.77,NA,NA,NA,NA,39.5,NA,NA
2003-10-14,1.85,20.13,7.1,6.75,NA,2.33,20.9,6.3,6.75
2003-10-28,NA,16.8,NA,NA,NA,NA,17.8,NA,NA
2003-11-19,NA,29.27,NA,NA,NA,NA,27.7,NA,NA
2003-11-24,2.3,35.83,17.17,1.4,NA,1.98,15.2,7.3,1.4
2004-04-12,1.34,20.17,11.43,3.5,NA,1.44,17.8,12.2,3.5
2004-05-10,1.48,10.87,NA,5.6,NA,1.42,12.4,NA,5.6
2004-05-24,3.36,15.1,NA,2.2,NA,7.41,16.1,NA,2.2
2004-06-07,1.69,20.03,11.93,8.5,NA,1.49,18.1,9.2,8.5
2004-06-21,1.47,9.53,4.23,3.8,NA,1.71,10.6,4.4,3.8
2004-07-12,1.47,11.83,5.9,2.9,NA,1.72,10,5.1,2.9
2004-07-28,1.41,11.77,5.45,9.5,NA,1.64,9.6,4.3,9.5
2004-08-09,1.58,27.07,3.8,12.2,NA,2.13,47.5,3.2,12.2
2004-08-23,1.54,16.43,5,5.2,NA,1.67,15.7,NA,5.2
2004-09-13,1.72,25.2,7.43,11,NA,1.83,13.9,3.7,11
2004-09-30,NA,26.17,15.05,9.4,NA,NA,13.6,NA,9.4
2004-10-12,2.17,31.37,9.73,8.7,NA,2.15,24.7,5.1,8.7
2004-10-25,2.2,23.77,7.3,2.9,NA,2.36,16.8,6.2,2.9
2004-11-08,2.02,25.23,9.43,3.1,NA,2.1,21.5,9.2,3.1
2004-11-22,2.07,22.2,8.17,2.4,NA,2.04,21.6,8.5,2.4
2004-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-25,1.52,29.4,9.4,5.3,NA,1.58,30.9,8.9,5.3
2005-05-09,1.52,22.4,11.23,6.5,NA,1.64,21.8,7.5,6.5
2005-05-23,NA,24.87,NA,NA,NA,NA,31.6,NA,NA
2005-06-13,1.77,14.97,7.93,2.2,NA,1.73,11.8,6.9,2.2
2005-06-27,NA,15.2,NA,NA,NA,NA,17.9,NA,NA
2005-07-11,1.57,NA,NA,5.4,NA,1.67,NA,NA,5.4
2005-07-25,NA,14.9,NA,NA,NA,NA,15.1,NA,NA
2005-08-08,1.88,NA,NA,8.2,NA,2.13,NA,NA,8.2
2005-08-22,NA,21.13,NA,NA,NA,NA,15.8,NA,NA
2005-09-12,1.58,32.93,9.37,7.6,NA,1.39,18.4,4.5,7.6
2005-09-26,NA,23.87,NA,NA,NA,NA,24,NA,NA
2005-10-24,1.57,40.63,10.93,10,NA,1.5,26.6,8,10
2005-11-14,1.77,25.17,8.23,3.6,NA,1.73,23.2,7.7,3.6
2006-04-10,1.41,14.1,4.37,24,NA,1.45,18,5.3,24
2006-04-24,1.37,9.93,3.2,8.3,NA,1.35,9.9,3.5,8.3
2006-05-08,1.64,14.9,NA,13.6,NA,1.77,24.4,NA,13.6
2006-05-22,1.58,7.7,3.4,4.8,NA,1.64,8.9,NA,4.8
2006-06-12,1.71,13.1,7.9,8.2,NA,1.85,20.1,6.9,8.2
2006-06-26,1.85,11.3,4.6,5.8,NA,2.01,14.3,4.6,5.8
2006-07-11,2.58,33.17,15.13,6.3,NA,3.09,43.3,15.2,6.3
2006-07-24,1.6,23.07,6.83,24.9,NA,2.02,28.3,8.8,24.9
2006-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-07,1.85,23.37,8.73,35.7,NA,2.24,26.2,10,35.7
2006-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-21,2.57,27.17,5.1,47.7,NA,2.66,23.2,5.6,47.7
2006-09-11,2.29,46.33,9.9,19.1,NA,2.43,21,6.3,19.1
2006-09-25,1.99,39.47,6.33,6.8,NA,2.14,15.6,4.1,6.8
2006-10-10,2.08,29.53,7.7,9.5,NA,1.96,15.9,5.4,9.5
2006-10-23,1.99,28,8.43,3.5,NA,1.84,15.5,9.2,3.5
2006-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-13,1.79,17.53,4.87,3.7,NA,1.87,11.5,4.4,3.7
2006-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-10,NA,26.5,NA,NA,NA,NA,16,NA,NA
2007-05-07,1.91,13.13,3.97,6.28,NA,2,16.6,4.4,6.28
2007-05-21,NA,18,NA,NA,NA,NA,28.6,NA,NA
2007-06-11,1.31,13.87,3.57,NA,NA,1.33,8,3.6,NA
2007-07-09,1.4,7.13,3.57,1.34,NA,1.39,5.6,3.7,1.34
2007-07-23,NA,8.63,NA,NA,NA,NA,7.2,NA,NA
2007-08-13,1.35,15.93,3.7,4.16,NA,1.4,11,3.6,4.16
2007-08-27,NA,24.63,NA,NA,NA,NA,13,NA,NA
2007-09-10,1.72,26.47,5.47,8.14,NA,1.72,19.8,4.4,8.14
2007-09-24,NA,29.27,NA,NA,NA,NA,15.1,NA,NA
2007-10-09,1.68,17.17,7.93,9.4,NA,1.59,13.6,5.1,9.4
2007-10-22,NA,26.47,NA,NA,NA,NA,21.6,NA,NA
2007-11-13,1.48,18.67,5.1,5.53,NA,1.54,17.7,5.6,5.53
2007-11-26,NA,22.23,NA,NA,NA,NA,17,NA,NA
2008-04-15,1.5,17.33,11.67,2.39,NA,1.5,18,12,2.39
2008-04-28,1.43,17.33,7.67,11.5,NA,1.4,16,6,11.5
2008-05-13,1.43,12.33,5.67,4.5,NA,1.4,16,6,4.5
2008-05-27,1.43,NA,NA,2.13,NA,1.5,NA,NA,2.13
2008-06-10,1.5,18.67,7.67,6.05,NA,1.6,15,8,6.05
2008-06-23,1.53,9.33,7.67,1.96,NA,1.6,9,7,1.96
2008-07-15,1.6,9.33,5.67,2.3,NA,1.6,9,6,2.3
2008-08-12,2.2,15.67,6.67,NA,NA,1.9,12,6,NA
2008-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-10,2.07,18.67,6,10.8,NA,2,18,6,10.8
2008-10-15,2,31,10.5,13.3,NA,2.1,12,6,13.3
2008-11-12,1.97,21,7.33,NA,NA,2,15,7,NA
2009-04-14,1.73,20,5.5,12.1,NA,1.8,27,6,12.1
2009-05-12,1.63,12.33,5.67,3.3,NA,1.6,12,5,3.3
2009-06-16,1.9,12.33,5.33,9.7,NA,2,13,5,9.7
2009-07-15,1.93,9.67,6.5,2.3,NA,1.9,7,NA,2.3
2009-08-11,2.3,16.33,7.33,7,NA,2,17,7,7
2009-09-15,1.97,15,6.67,10.3,NA,1.8,15,5,10.3
2009-10-14,2.1,12.67,NA,5.3,NA,2.1,12,NA,5.3
2009-11-09,2,23.67,10.67,3.9,NA,2.1,18,10,3.9
2010-04-13,1.87,25.33,12,13.4,NA,1.9,33,14,13.4
2010-05-11,1.47,20.33,6.67,5.2,NA,1.4,30,6,5.2
2010-06-15,1.7,14.33,7.5,4.7,NA,1.7,11,NA,4.7
2010-07-13,1.77,9.67,NA,1.36,NA,1.8,6,NA,1.36
2010-08-10,1.6,13.33,NA,1.91,NA,1.6,10,NA,1.91
2010-09-14,1.7,26.33,13,7.24,NA,1.7,13,NA,7.24
2010-10-13,2.27,20.67,7.67,8.28,NA,2.3,18,5,8.28
2010-11-09,2.4,19.33,8.33,2.7,NA,2.4,20,8,2.7
2011-04-25,1.6,16,9,1.7,NA,1.7,16,8,1.7
2011-05-10,1.8,17.33,8,6.8,NA,2,22,8,6.8
2011-06-14,1.6,12.67,7,6,NA,1.8,14,NA,6
2011-07-12,1.8,11.67,6.5,4.7,NA,1.7,11,NA,4.7
2011-08-09,1.73,12,5.5,12,NA,1.8,13,NA,12
2011-09-06,2.3,24.67,14,5.7,NA,1.9,14,5,5.7
2011-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-10-12,2.33,19,7,11.4,NA,2.5,19,6,11.4
2011-11-15,2.07,16,8,2.3,NA,2,15,8,2.3
2011-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-10,1.53,11.67,NA,3.8,NA,1.5,11,NA,3.8
2012-05-15,1.47,11.67,NA,3,NA,1.4,13,NA,3
2012-06-13,1.57,10,5.5,5.1,NA,1.7,13,6,5.1
2012-07-10,1.57,8,NA,2.9,NA,1.7,7,NA,2.9
2012-08-14,1.77,10.67,6,4.2,NA,2,10,NA,4.2
2012-09-11,1.73,14,5,NA,NA,1.7,14,5,NA
2012-10-10,1.8,18.67,11,6.7,NA,1.8,11,NA,6.7
2012-11-14,1.9,14.67,5,3.9,NA,1.9,15,5,3.9
2012-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-16,1.53,13.33,5.33,9.4,NA,1.5,14,6,9.4
2013-05-14,1.47,10.67,NA,5,NA,1.5,13,NA,5
2013-06-11,1.97,17.67,8,6.8,NA,2.1,21,5,6.8
2013-07-09,2.23,12.67,6,5.7,NA,2.6,15,6,5.7
2013-08-12,2,11,7,3.2,NA,NA,NA,10,3.2
2013-09-11,2.4,20,9.67,14.7,NA,2.2,16,6,14.7
2013-10-16,2.37,15,6,8.5,NA,2.4,13,5,8.5
2013-11-12,2.2,18,5,5.2,NA,2.2,18,NA,5.2
2013-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-04-22,2.2,21,7.67,1.9,NA,2.4,27,12,1.9
2014-05-12,1.9,15.67,6,9.2,NA,2,19,5,9.2
2014-06-10,2.07,11,6,5.7,NA,2.3,10,NA,5.7
2014-07-16,2.33,9,5,1.4,NA,2.5,7,NA,1.4
2014-08-12,2.27,13.67,7,3.4,NA,2.4,8,NA,3.4
2014-09-09,2.1,12.67,5,10.1,NA,2.1,9,NA,10.1
2014-10-14,1.9,24,7,3.8,NA,1.9,17,NA,3.8
2014-11-12,1.77,19,6,5.2,NA,1.7,16,6,5.2
2015-04-21,1.73,11,21,2.3,NA,1.8,14,24,2.3
2015-05-12,1.53,14.33,5.5,7.9,NA,1.6,15,5,7.9
2015-06-10,1.83,13.67,5,3.4,NA,2,16,NA,3.4
2015-06-29,1.93,NA,NA,4.3,NA,2.1,NA,NA,4.3
2015-07-13,1.8,10,6,2.2,NA,2,9,NA,2.2
2015-07-28,2.03,NA,NA,2.2,NA,2.1,NA,NA,2.2
2015-08-12,1.93,28,6.67,7.4,NA,2.2,12,6,7.4
2015-09-09,2.13,13.67,5.33,13.5,NA,2.1,13,5,13.5
2015-09-23,1.83,NA,NA,14,NA,1.7,NA,NA,14
2015-10-06,1.77,21.67,6.5,6.1,NA,1.8,16,NA,6.1
2015-10-21,1.57,NA,NA,3.5,NA,1.5,NA,NA,3.5
2015-11-04,1.77,23,8,4.1,NA,1.7,17,8,4.1
2016-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-12,1.57,16.33,7.67,7.3,NA,1.5,18,7,7.3
2016-04-26,NA,NA,NA,3.4,NA,NA,NA,NA,3.4
2016-05-10,1.6,16.33,6.67,3.1,NA,1.6,23,6,3.1
2016-06-07,1.93,11.67,5,1.7,NA,2.1,11,4,1.7
2016-06-21,1.77,NA,NA,2.2,NA,1.8,NA,NA,2.2
2016-07-06,2.03,NA,NA,3.5,NA,2,NA,NA,3.5
2016-07-20,1.73,14.33,5.33,6,NA,2,13,6,6
2016-08-02,1.8,17.67,7,4.6,NA,2.1,19,8,4.6
2016-08-16,NA,NA,NA,4.6,NA,NA,NA,NA,4.6
2016-08-30,1.9,NA,NA,4.3,NA,2.2,NA,NA,4.3
2016-09-13,1.73,21.33,8.5,5.2,NA,2.1,18,13,5.2
2016-09-27,2,NA,NA,9.3,NA,1.9,NA,NA,9.3
2016-10-12,1.97,28,14.33,7.9,NA,2,26,10,7.9
2016-10-25,2.1,NA,NA,NA,NA,2.2,NA,NA,NA
