lakeid,sampledate,sta,secview,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
TR,5/8/2007 0:00,2,4.4,4.6,1350,1525,26,,0,0,35,
TR,5/23/2007 0:00,2,4,2.9,934,1205,19,SW,20,30,50,
TR,6/4/2007 0:00,2,4.9,4,1410,1600,16,N,7,12,100,
TR,6/20/2007 0:00,2,6.8,5.2,955,1200,21,SW,20,30,5,
TR,7/3/2007 0:00,2,6.9,5.2,920,1050,20,SW,5,4,100,
TR,7/17/2007 0:00,2,5.5,5.3,835,1035,22,,0,0,3,
TR,7/31/2007 0:00,2,6.3,5.3,854,1024,27,W,7,5,1,
TR,8/14/2007 0:00,2,5.7,4.8,855,1040,21,SW,6,10,100,
TR,8/28/2007 0:00,2,5.7,5.1,845,1005,20,W,12,5,60,
TR,9/12/2007 0:00,2,5.4,5.3,1230,1424,16,N,3,1,5,
TR,9/26/2007 0:00,2,5.2,4.9,917,1044,13,W,7,4,20,
TR,10/11/2007 0:00,2,4.8,4.2,1351,1524,8,N,9,13,90,
TR,10/24/2007 0:00,2,5.3,4.9,1316,1508,18,NW,12,13,3,
TR,11/13/2007 0:00,2,4.4,3.7,932,1109,5,S,25,80,100,
TR,2/1/2008 0:00,2,,8.6,1125,1310,-1,SE,4,,70,1
TR,2/27/2008 0:00,2,,6.5,1235,1445,-7,N,24,,60,1
TR,3/28/2008 0:00,2,,7.8,1050,1228,-2,N,2,,6,1
TR,5/12/2008 0:00,2,4.1,3.1,1045,1244,9,WSW,8,8,30,
TR,5/22/2008 0:00,2,4.1,3.6,1107,1220,13,N,5,8,90,
TR,6/4/2008 0:00,2,6.3,4.8,1054,1340,15,SE,9,11,100,
TR,6/19/2008 0:00,2,7.5,7.1,1025,1301,23,NE,8,20,55,
TR,7/3/2008 0:00,2,6.5,6.3,1215,1643,29,,0,1,50,
TR,7/17/2008 0:00,2,6.1,5.8,1322,1755,21,,0,4,100,
TR,7/31/2008 0:00,2,7.9,7,1120,1630,31,W,4,8,85,
TR,8/13/2008 0:00,2,6.6,6.8,935,1105,22,,0,0,85,
TR,8/27/2008 0:00,2,5.5,4.9,1255,1528,22,S,7,8,80,
TR,9/10/2008 0:00,2,5.9,5,912,1018,14,S,8,25,5,
TR,9/24/2008 0:00,2,,,,,,,,,,
TR,9/25/2008 0:00,2,5.3,5,914,1140,15,SE,8,7,85,
TR,10/10/2008 0:00,2,4.8,4.3,843,1012,7,N,4,1,100,
TR,10/23/2008 0:00,2,4.9,4.1,852,1042,4,E,10,25,25,
TR,11/11/2008 0:00,2,3.4,3.1,1349,1536,-1,E,6,12,98,
TR,1/19/2009 0:00,2,,5.2,1150,1335,-10,W,4,,100,1
TR,2/16/2009 0:00,2,,8.3,1055,1255,-7,SSW,17,,100,1
TR,3/23/2009 0:00,2,,5.5,1110,1305,0,SE,23,,100,1
TR,4/30/2009 0:00,2,4.1,3.3,1124,1350,9,S,9,10,100,
TR,5/11/2009 0:00,2,4.3,4.1,1335,1500,12,W,5,10,90,
TR,5/28/2009 0:00,2,5.1,4.9,1027,1429,17,NNE,7,10,2,
TR,6/8/2009 0:00,2,4.9,4.2,925,1112,10,SSW,14,10,100,
TR,6/24/2009 0:00,2,7.5,6.9,1050,1349,27,NW,3,7,20,
TR,7/7/2009 0:00,2,9,8.2,951,1232,18,NNW,4,5,0,
TR,7/20/2009 0:00,2,7.3,6.5,1540,1924,23,SSW,14,15,20,
TR,8/3/2009 0:00,2,6.2,6,844,1038,18,NNW,5,5,90,
TR,8/18/2009 0:00,2,7.4,6.5,917,1200,19,W,16,75,45,
TR,8/31/2009 0:00,2,6.7,5.2,947,1214,20,NW,7,5,10,
TR,9/15/2009 0:00,2,8.3,6.3,1017,1253,22,NNW,8,6,70,
TR,9/30/2009 0:00,2,7.3,6,841,1028,12,NNE,5,5,30,
TR,10/13/2009 0:00,2,5.5,5.5,1334,1600,4,WNW,6,5,75,
TR,10/27/2009 0:00,2,4.1,4,849,1030,3,,0,1,100,
TR,11/10/2009 0:00,2,4.6,4.6,1410,1643,7,,0,0,0,
TR,1/13/2010 0:00,2,,6,1145,1330,-5,S,7,,0,1
TR,2/10/2010 0:00,2,,6.1,1205,1435,-8,NNW,14,,85,1
TR,4/14/2010 0:00,2,,,1325,1545,16,SW,8,12,40,
TR,4/28/2010 0:00,2,6.5,6.5,1027,1152,12,,0,0,3,
TR,5/13/2010 0:00,2,6.5,4.7,1048,1235,8,SE,7,15,100,
TR,5/26/2010 0:00,2,9.4,7.6,1425,1630,19,NNW,9,8,10,
TR,6/9/2010 0:00,2,8.2,6.3,1000,1340,20,W,10,45,90,
TR,6/22/2010 0:00,2,9.5,6.7,855,1120,28,w,5,12,75,
TR,7/7/2010 0:00,2,10.6,9,845,1245,31,,0,2,15,
TR,7/21/2010 0:00,2,8.1,7.1,916,1141,25,NW,15,40,15,
TR,8/4/2010 0:00,2,7.2,5.5,830,1145,25,NW,14,30,100,
TR,8/18/2010 0:00,2,6.5,5,927,1130,22,W,15,40,100,
TR,9/2/2010 0:00,2,6.2,4.4,1405,1645,22,WSW,4,12,100,
TR,9/13/2010 0:00,2,6,3.9,848,1117,15,W,25,50,8,
TR,9/29/2010 0:00,2,6.2,4.7,905,1151,17,SE,15,40,5,
TR,10/11/2010 0:00,2,7.1,6.7,1302,1436,19,,0,0,95,
TR,10/25/2010 0:00,2,6.5,5.5,1320,1545,14,SSE,10,18,75,
TR,11/12/2010 0:00,2,6,5.2,903,1039,5,NW,4,4,100,
TR,1/13/2011 0:00,2,,8.4,1215,1400,-6,S,5,,100,
TR,2/16/2011 0:00,2,,10.3,1040,1212,5,,0,,15,
TR,3/17/2011 0:00,2,,4.4,1030,1210,7,SSW,10,,100,
TR,5/4/2011 0:00,2,5.9,5.5,1020,1225,13,,0,0,2,
TR,5/19/2011 0:00,2,5,4.9,930,1203,13,NNW,3,2,99,
TR,6/2/2011 0:00,2,5.1,4.3,934,1217,21,ESE,9,6,0,
TR,6/16/2011 0:00,2,5.3,5.1,919,1213,16,,0,1,100,
TR,6/29/2011 0:00,2,7.4,5.8,1330,,26,SSE,6,12,2,
TR,7/1/2011 0:00,2,,,,,,,,,,
TR,7/13/2011 0:00,2,7.4,6.2,1237,1505,23,NNE,6,8,100,
TR,7/17/2011 0:00,2,,,,,,,,,,
TR,7/26/2011 0:00,2,,,,,,,,,,
TR,7/28/2011 0:00,2,6.5,6.1,955,1208,29,WSW,3,10,95,
TR,8/11/2011 0:00,2,6.3,5.4,1003,1233,30,NW,8,7,40,
TR,8/12/2011 0:00,2,,,,,,,,,,
TR,8/25/2011 0:00,2,7.1,6.5,915,1150,25,NW,2,12,0,
TR,9/9/2011 0:00,2,7.1,6.8,1021,1230,24,,0,0,0,
TR,9/21/2011 0:00,2,6.7,5,949,1215,12,S,9,30,95,
TR,10/5/2011 0:00,2,5.7,5.7,1307,1459,27.5,S,8,20,70,
TR,10/21/2011 0:00,2,5.8,5.5,1016,1222,10.5,WSW,5,15,10,
TR,11/2/2011 0:00,2,6.3,4.9,1346,1605,8,N,8,22,100,
TR,11/14/2011 0:00,2,5.9,4.4,939,1250,9,SSW,9,45,80,
TR,1/16/2012 0:00,2,,6.8,1057,1242,-1,NNW,6,,100,
TR,2/22/2012 0:00,2,,6.9,1045,1305,-2,NW,10,,100,
TR,4/4/2012 0:00,2,5.4,5.1,1050,1250,10,NNW,6,7,30,
TR,4/17/2012 0:00,2,5.1,3.7,1415,1525,8,SW,8,10,99,
TR,5/1/2012 0:00,2,4.9,4.1,950,1150,15,SSE,10,20,35,
TR,5/14/2012 0:00,2,5.5,5.1,1030,1150,21,SSW,3,4,0,
TR,5/30/2012 0:00,2,,,,,,,,,,
TR,5/31/2012 0:00,2,6.4,5.5,920,1137,16,NNE,3,6,60,
TR,6/12/2012 0:00,2,8.3,5.8,911,1058,16,WNW,14,48,60,
TR,6/13/2012 0:00,2,,,,,,,,,,
TR,6/25/2012 0:00,2,9.2,7.3,1405,1625,30,SSW,2,4,2,
TR,7/9/2012 0:00,2,8,5.9,936,1106,24,WNW,7,8,40,
TR,7/24/2012 0:00,2,7.6,6.5,941,1138,34,WNW,2,0,10,
TR,8/6/2012 0:00,2,6.1,5.1,907,1033,26,SSW,13,23,0,
TR,8/21/2012 0:00,2,6.1,4.2,935,1145,28,NNW,8,12,10,
TR,9/6/2012 0:00,2,5.9,5,912,1133,26.1,SSW,10,12,5,
TR,9/21/2012 0:00,2,4.4,3.3,845,1040,9,W,10,20,70,
TR,10/2/2012 0:00,2,5.4,5,959,1225,17,NW,5,2,5,
TR,10/16/2012 0:00,2,4.9,3.3,903,1215,11,S,12,30,85,
TR,11/1/2012 0:00,2,3.2,2.6,927,1125,3,NNE,10,18,90,
TR,11/9/2012 0:00,2,4.3,3.9,956,1230,6.5,NE,6,8,85,
TR,1/15/2013 0:00,2,,6.7,1250,1425,-5,SW,11,,5,
TR,2/21/2013 0:00,2,,5.5,1235,1415,-5,NE,6,,20,
TR,3/28/2013 0:00,2,,9.9,1050,1228,3,NW,4,,3,
TR,5/16/2013 0:00,2,5.9,5.3,1030,1240,17,NNW,7,8,30,
TR,5/31/2013 0:00,2,,,,,,,,,,
TR,6/4/2013 0:00,2,,,,,,,,,,
TR,6/12/2013 0:00,2,5.6,6.1,930,1225,29,,0,0,45,
TR,6/24/2013 0:00,2,6.1,4.7,1355,1605,28,W,8,20,90,
TR,6/26/2013 0:00,2,,,,,,,,,,
TR,7/9/2013 0:00,2,7.5,6.8,905,1215,25,S,8,20,100,
TR,7/10/2013 0:00,2,,,,,,,,,,
TR,7/25/2013 0:00,2,,,,,,,,,,
TR,8/6/2013 0:00,2,5.3,5.3,1015,1305,23,S,6,11,80,
TR,8/7/2013 0:00,2,,,,,,,,,,
TR,8/20/2013 0:00,2,6.3,4.5,915,1125,23,S,9,18,0,
TR,8/22/2013 0:00,2,,,,,,,,,,
TR,9/5/2013 0:00,2,6.6,6.3,1008,1229,25,WSW,3,4,0,
TR,9/10/2013 0:00,2,,,,,,,,,,
TR,9/25/2013 0:00,2,,,,,,,,,,
TR,10/2/2013 0:00,2,6.1,5.7,1417,1628,21,S,2,2,20,
TR,10/30/2013 0:00,2,5.2,5.3,947,1205,7,SSW,2,3,100,
TR,11/14/2013 0:00,2,5,4,1002,1246,6,WSW,6,15,100,
TR,1/16/2014 0:00,2,,4.5,1155,1330,-4,SW,8,,100,
TR,2/19/2014 0:00,2,,4.5,1145,1340,2,W,9,,1,
TR,3/26/2014 0:00,2,,4.9,1105,1245,-2,SSE,10,,100,
TR,5/21/2014 0:00,2,,,,,,,,,,
TR,5/22/2014 0:00,2,4.7,4.4,1000,1400,10.3,NW,5,12,90,
TR,6/5/2014 0:00,2,5.7,5.5,930,1115,34,SSW,3,1,15,
TR,6/19/2014 0:00,2,4.6,3.9,937,1300,20,SE,12,20,90,
TR,7/2/2014 0:00,2,6.1,4.7,1150,1335,23,N,5,15,15,
TR,7/16/2014 0:00,2,8.2,6.2,930,1230,27,NNW,5,10,70,
TR,7/30/2014 0:00,2,7.2,6.2,1405,1615,25,W,6,15,60,
TR,8/14/2014 0:00,2,6.6,6.3,1055,1310,25,,0,0,30,
TR,8/27/2014 0:00,2,6.3,6.1,1300,1500,29,WNW,8,5,6,
TR,9/11/2014 0:00,2,5.6,4.4,1020,1300,10,10,7,15,95,
TR,9/23/2014 0:00,2,5.9,5.4,1345,1530,23,SSW,4,8,0,
TR,10/9/2014 0:00,2,6.2,4.6,1015,1230,7.5,NW,7,8,98,
TR,10/23/2014 0:00,2,6.8,5.5,1000,1220,9,S,5,10,100,
TR,11/12/2014 0:00,2,,3.9,1318,1530,-2,WNW,10,30,100,
