site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
ALLEQUASH CREEK,5357215,7050002,8/28/1996,11:09:00,CDT,GRAB,750,,,,,4.5,,,,,11.8,,,5.8,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,8/28/1996,11:40:00,CDT,GRAB,650,,,,,7.8,,,,,10.2,,,9.4,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,8/28/1996,12:09:00,CDT,GRAB,938,,,,,6.5,,,,,12.7,,,9.9,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/5/1996,10:42:00,CDT,GRAB,838,,,,,3.5,,,,,9.2,,,6.1,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/5/1996,11:15:00,CDT,GRAB,704,,,,,7.2,,,,,7.1,,,9.6,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/5/1996,11:48:00,CDT,GRAB,790,,,,,4.1,,,,,9.6,,,6.4,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/11/1996,10:59:00,CDT,GRAB,917,,,,,4.4,,,,,9.3,,,5.2,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/11/1996,10:15:00,CDT,GRAB,1060,,,,,11,,,,,7.8,,,11,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/11/1996,10:37:00,CDT,GRAB,836,,,,,4.6,,,,,10.1,,,5.3,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/18/1996,12:56:00,CDT,GRAB,938,,,,,3.7,,,,,5.1,,,2.7,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/18/1996,12:21:00,CDT,GRAB,872,,,,,5.8,,,,,4.1,,,15,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/18/1996,12:34:00,CDT,GRAB,909,,,,,4.1,,,,,5.3,,,3.2,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/26/1996,10:50:00,CDT,GRAB,847,,,11.2,1,5.1,,,,,5.5,,,2.7,,11,,110,0.00006,40,,,,2.91,,,,,1.64,47,,,60.5,,,36,,,,,,7.2,,6,,890,0.11,,3.1,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/26/1996,10:06:00,CDT,GRAB,756,,,9.87,2.2,7.4,,,,,4.1,,,4.2,,17,,160,0.0001,34.3,,,,2.35,,,,,1.5,60,,,77.3,,,32,,,,,,7,,2,,1670,0.11,,5.4,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/26/1996,10:31:00,CDT,GRAB,889,,,11,0.7,6.3,,,,,5.4,,,2.5,,,,240,0.00007,39.8,,,,2.99,,,,,1.53,,,,,,,,,,,,,7.1,,,,770,0.11,,2.7,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,9/26/1996,9:18:00,CDT,GRAB,824,,,11.6,2.2,1.8,,,,,5.1,,,1.8,,,,,0.00002,40.9,,,,2.89,,,,,1.98,,,,,,,,,,,,,7.6,,,,1010,0.13,,3.6,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/3/1996,11:47:00,CDT,GRAB,848,,,,,4.3,,,,,5.3,,,2.7,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/3/1996,11:09:00,CDT,GRAB,589,,,,,4.8,,,,,3.9,,,6.6,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,10/3/1996,11:27:00,CDT,GRAB,868,,,,,5.5,,,,,5.4,,,2.4,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/9/1996,11:20:00,CDT,GRAB,882,,,,,3.8,,,,,5.4,,,3.1,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/9/1996,11:47:00,CDT,GRAB,636,,,,,14,,,,,5.5,,,8.4,,,,,0.00023,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,10/9/1996,12:15:00,CDT,GRAB,884,,,,,4.3,,,,,5.6,,,2.8,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/16/1996,14:13:00,CDT,GRAB,910,,,,,2.8,,,,,5.5,,,2.6,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/16/1996,13:30:00,CDT,GRAB,705,,,,,9.1,,,,,4.7,,,6.4,,,,,0.00013,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,10/16/1996,13:47:00,CDT,GRAB,880,,,,,3.2,,,,,5.4,,,2.4,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/23/1996,15:00:00,CDT,GRAB,813,,,,,3.9,,,,,11,,,5.6,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/23/1996,14:50:00,CDT,GRAB,548,,,,,8.9,,,,,7.3,,,12.8,,,,,0.00017,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,10/23/1996,14:30:00,CDT,GRAB,740,,,,,5,,,,,10.2,,,7.9,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/31/1996,11:40:00,CST,GRAB,845,,,,,2.4,,,,,,,,,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,10/31/1996,12:00:00,CST,GRAB,759,,,,,4.7,,,,,,,,,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/31/1996,12:19:00,CST,GRAB,494,,,,,7.5,,,,,,,,,,,,,0.00016,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,12/1/1996,11:03:00,CST,GRAB,1020,,,12.4,0.8,4.6,,,,,11.9,,,5.5,,17,,110,0.00005,43.8,,,,3.11,,,,,1.8,80,,,103,,,26,,,,,,7.3,,6,,1150,0.12,,3.3,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,12/1/1996,10:28:00,CST,GRAB,970,,,11.5,0.7,6.9,,,,,,,,,,,,260,0.00007,41.4,,,,3.09,20,,,,1.73,,,,,,,,,,,,,7.1,,,,1000,0.12,,3.2,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,12/1/1996,10:00:00,CST,GRAB,790,,,9.96,2.1,13,,,,,,,,,,22,,220,0.00016,34.1,,,,2.25,20,,,,1.49,125,,,161,,,39,,,,,,6.8,,3,,1780,0.11,,5.1,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,12/1/1996,11:51:00,CST,GRAB,900,,,12.1,1.9,1.9,,,,,,,,,,,,,0.00002,42.1,,,,2.89,,,,,2.12,,,,,,,,,,,,,7.7,,,,1080,0.14,,3.2,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/18/1997,12:30:00,CST,GRAB,900,,,12.3,1.5,9.9,,,,,,,,,,,,230,0.00011,43.6,,,,3.12,40,,,,1.8,,,,,,,,,,,,,7,,,,1320,0.12,,4.6,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/18/1997,11:46:00,CST,GRAB,1000,,,12.4,0.6,20,,,,,,,,,,,,570,0.00021,44.2,,,1.02,3.21,120,,,,1.73,,,,,,,,,,,,,6.7,,,,960,0.11,,2.9,8,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/18/1997,11:21:00,CST,GRAB,740,,,10.8,1.9,17,,,,,,,,,,,,170,0.00024,36.7,,,0.89,2.36,20,,,,1.5,,,,,,,,,,,,,6.6,,,,1790,0.11,,5.3,8,,,,,,,,,,,
TROUT RIVER,5357245,7050002,3/18/1997,12:58:00,CST,GRAB,860,,,12.3,2.1,3.2,,,,,,,,,,,,80,0.00004,43.1,,,,3.01,,,,,1.94,,,,,,,,,,,,,7.4,,,,1140,0.13,,3.4,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/29/1997,16:30:00,CST,GRAB,522,,,,,10,,,,,9,,,11.8,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,-11.9,,6.7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/29/1997,16:45:00,CST,GRAB,811,,,,,10,,,,,11.9,,,5.5,,,,,0.00013,,,,,,,,,,,,,,,,,,,,,-10.52,,6.9,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/31/1997,15:30:00,CST,GRAB,513,,,,,19,,,,,9.8,,,11.3,,,,,0.00038,,,,,,,,,,,,,,,,,,,,,-11.7,,6.4,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/31/1997,15:45:00,CST,GRAB,963,,,,,11,,,,,13.6,,,4.2,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,-9.93,,6.9,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/2/1997,16:30:00,CST,GRAB,560,,,,,23,,,,,9,,,12.9,,,,,0.00042,,,,,,,,,,,,,,,,,,,,,-12.1,,6.4,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/2/1997,16:45:00,CST,GRAB,809,,,,,13,,,,,11.6,,,5.2,,,,,0.00017,,,,,,,,,,,,,,,,,,,,,-11.04,,6.8,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/6/1997,13:20:00,CDT,GRAB,,,,,,,,,,,6.2,,,14.9,,,,,0.00071,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/6/1997,13:40:00,CDT,GRAB,,,,,,,,,,,8,,,7.6,,,,,0.00022,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/11/1997,17:00:00,CDT,GRAB,330,,,,,14,,,,,5.1,,,12.7,,,,,0.00045,,,,,,,,,,,,,,,,,,,,,-12.53,,6.4,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/11/1997,17:20:00,CDT,GRAB,846,,,,,15,,,,,9.3,,,5.1,,,,,0.00019,,,,,,,,,,,,,,,,,,,,,-10.8,,6.7,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/17/1997,17:45:00,CDT,GRAB,467,,,,,9.8,,,,,5.6,,,10,,,,,0.00022,,,,,,,,,,,,,,,,,,,,,-12.25,,6.7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/17/1997,17:50:00,CDT,GRAB,613,,,,,7.5,,,,,7.9,,,5.7,,,,,0.00013,,,,,,,,,,,,,,,,,,,,,-11.36,,6.9,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/20/1997,16:30:00,CDT,GRAB,650,,,,,20,,,,,6.3,,,9.8,,,,,0.00032,,,,,,,,,,,,,,,,,,,,,-12.23,,6.5,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/20/1997,16:40:00,CDT,GRAB,650,,,,,11,,,,,8.5,,,7.3,,,,,0.00018,,,,,,,,,,,,,,,,,,,,,-11.1,,6.8,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/22/1997,15:50:00,CDT,GRAB,465,,,,,12,,,,,5.8,,,10,,,,,0.00027,,,,,,,,,,,,,,,,,,,,,-11.8,,6.6,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/22/1997,16:00:00,CDT,GRAB,736,,,,,12,,,,,8.1,,,5,,,,,0.00016,,,,,,,,,,,,,,,,,,,,,-10.7,,6.8,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/31/1997,14:10:00,CDT,GRAB,694,,,10.3,0.7,2.6,,,,,9.9,,,5.1,,,,80,0.00004,36.6,,,,2.64,,,,,1.54,,,,,,,,,,,,,7.4,,,,1080,0.11,,3.2,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/31/1997,13:22:00,CDT,GRAB,763,,,8.43,2.2,11,,,,,7.7,,,7,,,,120,0.00015,29.2,,,,1.98,,,,,1.52,,,,,,,,,,,,,6.8,,,,1810,0.12,,5.4,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/31/1997,13:57:00,CDT,GRAB,,,,10.8,0.4,,,,,,10.2,,,5.4,,,,340,0.00007,38.6,,,,2.82,20,,,,1.55,,,,,,,,,,,,,7.2,,,,940,0.11,,3,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,5/31/1997,14:39:00,CDT,GRAB,796,,,11.5,2.1,1.1,,,,,10.8,,,2.6,,,,,0.00001,40.2,,,,2.79,,,,,1.86,,,,,,,,,,,,,7.8,,,,1070,0.13,,3.5,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/29/1997,10:47:00,CDT,GRAB,607,,,11.3,0.5,3.3,,,,,,,,,,,,320,0.00006,40.7,,,,3.02,,,,,1.66,,,,,,,,,,,,,7.3,,,,990,0.11,,2.9,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/29/1997,10:00:00,CDT,GRAB,878,,,13.6,0.4,4.3,,,,,,,,,,,,430,0.00005,48.9,,,,3.62,,,,,1.81,,,,,,,,,,,,,7.3,,,,780,0.11,,2.4,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/29/1997,9:38:00,CDT,GRAB,737,,,10.1,1.8,13,,,,,,,,,,,,360,0.00019,35,,,0.89,2.38,,,,,1.73,,,,,,,,,,,,,6.7,,,,1620,0.13,,4.2,9,,,,,,,,,,,
TROUT RIVER,5357245,7050002,7/29/1997,11:10:00,CDT,GRAB,659,,,11.4,1.6,0.9,,,,,,,,,,,,,0.00001,40.5,,,0.72,2.93,,,,,2.01,,,,,,,,,,,,,7.9,,,,1090,0.14,,3.2,10,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/9/1997,13:10:00,CDT,GRAB,818,,,11.3,0.6,2.5,,,,,,,,,,,,200,0.00003,40.4,,,,2.95,,,,,1.79,,,,,,,,,,,,,7.5,,,,1000,0.12,,3,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/9/1997,12:06:00,CDT,GRAB,696,,,9.75,2,6.1,,,,,2.8,,,14.3,,,,250,0.00009,33.9,,,0.82,2.32,,,,,1.67,,,,,,,,,,,,,7,,,,1690,0.12,,4.4,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/9/1997,12:53:00,CDT,GRAB,864,,,12.4,,2.4,,,,,2.8,,,12.3,,,,370,0.00003,44.5,,,,3.28,,,,,1.79,,,,,,,,,,,,,7.5,,,,760,0.12,,2.4,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,9/9/1997,13:28:00,CDT,GRAB,809,,,12,1.9,0.6,,,,,2.1,,,9.9,,,,50,0.00001,42.2,,,0.78,2.98,,,,,2.03,,,,,,,,,,,,,8.1,,,,1100,0.14,,3.2,9,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,11/12/1997,13:56:00,CST,GRAB,919,,,12.5,1,2.2,,,,,10.4,,,4.4,,,,60,0.00003,44.7,,,0.86,3.27,,,,,2.07,,,,,,,,,,,,,7.6,,,,1240,0.13,,3.4,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,11/12/1997,13:02:00,CST,GRAB,656,,,10.9,2.5,9.7,,,,,8,,,7.7,,,,150,0.00015,37.6,,,0.91,2.51,,,,,1.79,,,,,,,,,,,,,6.8,,,,2040,0.13,,5.2,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,11/12/1997,13:30:00,CST,GRAB,924,,,13,0.6,3.8,,,,,10.5,,,3.2,,,,270,0.00004,46.5,,,0.85,3.42,20,,,,2.01,,,,,,,,,,,,,7.4,,,,1290,0.13,,3.6,8,,,,,,,,,,,
TROUT RIVER,5357245,7050002,11/12/1997,14:36:00,CST,GRAB,889,,,12.6,2.1,1.8,,,,,9.9,,,2.8,,,,,0.00002,44.4,,,0.79,3.13,,,,,2.32,,,,,,,,,,,,,7.7,,,,1210,0.15,,3.3,10,,,,,,,,,,,
TROUT RIVER,5357245,7050002,2/23/1998,16:35:00,CST,GRAB,882,,,12.8,,1.8,,,,,9.3,,,2.5,,,,,0.00002,45,,,0.83,3.16,,,,,2.27,,,,,,,,,,,,,7.7,,,,1200,0.15,,,10,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,2/24/1998,14:00:00,CST,GRAB,,,,12.9,,,,,,,9.8,,,3.9,,,,240,0.00005,45.8,,,0.78,3.29,,,,,2.07,,,,,,,,,,,,,7.4,,,,1560,0.13,,,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,2/24/1998,14:34:00,CST,GRAB,710,,,11.2,,4,,,,,7.2,,,4.8,,,,90,0.00006,38.3,,,0.87,2.52,,,,,1.74,,,,,,,,,,,,,7.2,,,,2170,0.12,,,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,2/24/1998,13:55:00,CST,GRAB,1000,,,14,,4.8,,,,,11.1,,,4.5,,,,540,0.00005,49.6,,,0.91,3.55,20,,,,1.96,,,,,,,,,,,,,7.3,,,,1170,0.12,,,8,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/15/1998,13:09:00,CST,GRAB,888,,,13.1,1.1,5.2,,,,,9.8,,,3.2,,,,180,0.00006,46.1,,,0.8,3.25,10,,,,2.05,,,,,,,,,,,,,7.2,,,,1480,0.13,,4.4,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/15/1998,11:55:00,CST,GRAB,757,,,12.1,2.5,7.1,,,,,8.5,,,7.5,,,,50,0.0001,41.4,,,0.87,2.72,,,,,1.69,,,,,,,,,,,,,7,,,,2110,0.11,,6.7,8,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/15/1998,12:16:00,CST,GRAB,1040,,,14,0.4,11,,,,,11.6,,,3,,,,440,0.00011,49.8,,,0.88,3.6,40,,,,1.94,,,,,,,,,,,,,7,,,,1130,0.12,,3.5,8,,,,,,,,,,,
TROUT RIVER,5357245,7050002,3/15/1998,13:30:00,CST,GRAB,485,,,12.4,1.8,1.3,,,,,8.9,,,2.4,,,,,0.00003,43.6,,,0.71,3.08,,,,,2.08,,,,,,,,,,,,,7.6,,,,1190,0.14,,3.5,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/30/1998,18:45:00,CST,GRAB,521,,,9.03,,4.6,,,,,5.7,,,3.2,,,,150,0.00009,30.7,,,0.91,1.99,,,,,1.51,,,,,,,,,,,-11.2,,7,,,,1980,0.12,,,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/30/1998,18:30:00,CST,GRAB,635,,,9.21,,6.7,,,,,7.6,,,5.6,,,,410,0.00011,33,,,0.73,2.42,,,,,1.57,,,,,,,,,,,-10.7,,7,,,,1140,0.12,,,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/1/1998,16:15:00,CST,GRAB,767,,,,,14,,,,,6.1,,,8.5,,,,,0.00018,,,,,,,,,,,,,,,,,,,,,-11.63,,6.7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/1/1998,16:20:00,CST,GRAB,592,,,,,6.8,,,,,7,,,7.6,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,-11,,6.9,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/3/1998,18:45:00,CST,GRAB,363,,,,,6.3,,,,,4.7,,,9.5,,,,,0.00018,,,,,,,,,,,,,,,,,,,,,-11.53,,6.8,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/3/1998,18:25:00,CST,GRAB,557,,,,,3.9,,,,,7.4,,,4.1,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,-10.4,,7.1,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/5/1998,19:30:00,CDT,GRAB,354,,,,,6.4,,,,,5,,,10.2,,,,,0.00019,,,,,,,,,,,,,,,,,,,,,-11.67,,6.7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/5/1998,19:15:00,CDT,GRAB,651,,,,,3.7,,,,,7.3,,,3.5,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,-10.19,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/7/1998,19:10:00,CDT,GRAB,373,,,,,5.3,,,,,5.1,,,8.9,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,-11.64,,6.8,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/7/1998,18:55:00,CDT,GRAB,592,,,,,4.1,,,,,6.8,,,4.8,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,-10.31,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/9/1998,20:00:00,CDT,GRAB,432,,,,,3.6,,,,,5.3,,,8.2,,,,,0.00009,,,,,,,,,,,,,,,,,,,,,-11.55,,7.1,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/9/1998,19:40:00,CDT,GRAB,813,,,,,4.4,,,,,8.9,,,3.8,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,-10.52,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/11/1998,18:40:00,CDT,GRAB,457,,,,,3.9,,,,,5.6,,,7.3,,,,,0.00009,,,,,,,,,,,,,,,,,,,,,-11.59,,7.1,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/11/1998,18:30:00,CDT,GRAB,816,,,,,3.3,,,,,9,,,3.1,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,-10.3,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/14/1998,12:30:00,CDT,GRAB,541,,,9.1,,3.6,,,,,6.2,,,6.6,,,,120,0.00007,31.3,,,0.79,2.09,,,,,1.53,,,,,,,,,,,-11.13,,7.2,,,,1870,0.12,,,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/14/1998,12:20:00,CDT,GRAB,854,,,12.2,,4.1,,,,,9.8,,,3,,,,380,0.00005,43.1,,,0.77,3.08,130,,,,1.75,,,,,,,,,,,-9.83,,7.3,,,,1310,0.12,,,8,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/1/1998,10:04:00,CDT,GRAB,797,,,9.94,0.8,2.8,,,,,10,,,6.7,,,,,0.00004,38.8,,,0.33,3.39,20,,,,1.88,,,,,,,,,,,,,7.4,,,,,0.13,,3.8,9,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/1/1998,9:20:00,CDT,GRAB,638,,,9.7,2.3,5.6,,,,,8.5,,,7.6,,,,,0.00009,35.1,,,0.91,2.63,10,,,,2.16,,,,,,,,,,,,,7,,,,,0.16,,4.6,11,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/1/1998,9:40:00,CDT,GRAB,,,,9.27,1.1,,,,,,9.6,,,8.3,,,,110,,35.3,,,0.29,2.96,40,,,,1.9,,,,,,,,,,,,,,,,,,0.14,,4.6,10,,,,,,,,,,,
TROUT RIVER,5357245,7050002,6/1/1998,11:00:00,CDT,GRAB,819,,,11.2,4.3,0.5,,,,,10.4,,,3.7,,,,,0.00001,41.3,,,0.61,3.24,,,,,2.52,,,,,,,,,,,,,8.2,,,,,0.17,,5.7,12,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/31/1998,12:00:00,CDT,GRAB,758,,,9.98,0.5,2.5,,,,,9.4,,,6,,,,70,0.00003,39.1,,,,3.44,,,,,1.69,,,,,,,,,,,,,7.5,,,,,0.12,,2.9,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/31/1998,11:30:00,CDT,GRAB,751,,,11.8,2.3,0.8,,,,,8.9,,,5,,,,,0.00001,41.8,,,0.8,2.99,,,,,1.96,,,,,,,,,,,,,8,,,,,0.13,,6,9,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/31/1998,11:44:00,CDT,GRAB,997,,,13.2,0.4,3.5,,,,,12,,,5.8,,,,170,0.00004,49.7,,,0.39,4.07,10,,,,2.13,,,,,,,,,,,,,7.4,,,,,0.13,,2.3,8,,,,,,,,,,,
TROUT RIVER,5357245,7050002,7/31/1998,12:30:00,CDT,GRAB,824,,,11.8,2.1,1.1,,,,,10,,,2.7,,,,,0.00001,43.1,,,0.76,3.32,,,,,2.76,,,,,,,,,,,,,7.9,,,,,0.18,,3.3,12,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,9/22/1998,11:18:00,CDT,GRAB,933,,,12.6,0.7,9.8,,,,,11.8,,,5.7,,,,20,0.00011,46.7,,,0.7,3.69,10,,,,2.98,,,,,,,,,,,,,7,,,,,0.19,,2.7,12,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/22/1998,10:35:00,CDT,GRAB,782,,,14.1,2.3,7,,,,,10.3,,,3.9,,,,,0.00009,49.7,,,1.05,3.51,10,,,,2.79,,,,,,,,,,,,,7,,,,,0.17,,6.1,11,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/22/1998,10:52:00,CDT,GRAB,1040,,,11.1,0.6,11,,,,,12.4,,,5.9,,,,170,0.00011,41.9,,,0.78,3.44,20,,,,2.67,,,,,,,,,,,,,7,,,,,0.18,,2,12,,,,,,,,,,,
