site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
ALLEQUASH CREEK,5357215,7050002,11/25/1991,9:15:00,CST,GRAB,,49,,13,1.1,,,,,100,,0.4,,5.5,0.35,,0.1,,,45.6,,,0.9,3.2,,,,,1.8,0.05,,,0.064,,,,,,,,,,7.6,,,,0.12,13,3.1,8,,66,,0.09,,5.1,,,,,
NORTH CREEK,5357230,7050002,11/25/1991,8:45:00,CST,GRAB,,30,,9.2,1.7,,,,,71,,0.3,,11,0.19,,0.1,,,31.6,,,0.8,2.1,,,,,1.3,0.11,,,0.142,,,,,,,,,,7,,,,0.1,12,4.1,8,,49,,0.07,,12,,,,,
STEVENSON CREEK,5357225,7050002,11/25/1991,9:00:00,CST,GRAB,,50,,12,,,,,,97,,,,4.7,,,0.1,,,43.1,,,1,3.2,,,,,1.8,0.02,,,0.026,,,,,,,,,,7.3,,,,0.12,13,2.2,8,,,,,,4.1,,,,,
TROUT RIVER,5357245,7050002,11/25/1991,9:40:00,CST,GRAB,,45,,12,2.3,,,,,97,,,,3.1,,,0.1,,,42.3,,,0.8,3,,,,,1.8,,,,,,,,,,,,,,7.9,,,,0.12,7.4,3.2,8,,58,,0.08,,3.1,,,,,
ALLEQUASH CREEK,5357215,7050002,1/3/1992,12:25:00,CST,GRAB,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,1/3/1992,14:20:00,CST,GRAB,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,1/3/1992,16:20:00,CST,GRAB,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,2/18/1992,15:10:00,CST,GRAB,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,2/18/1992,13:10:00,CST,GRAB,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,2/18/1992,15:45:00,CST,GRAB,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,2/18/1992,17:40:00,CST,GRAB,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,4/1/1992,17:50:00,CST,GRAB,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/2/1992,13:05:00,CST,GRAB,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/2/1992,9:55:00,CST,GRAB,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/6/1992,14:30:00,CDT,GRAB,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/22/1992,10:28:00,CDT,GRAB,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/22/1992,9:10:00,CDT,GRAB,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/22/1992,11:10:00,CDT,GRAB,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
