sampledate,depth,rep,event,totpf,totpuf
2005-05-03,23,1,Non-chem,,
2005-05-03,24,1,Non-chem,,
2005-05-03,25,1,Non-chem,,
2005-05-03,26,1,Non-chem,,
2005-05-03,27,1,Non-chem,,
2005-05-03,28,1,Non-chem,,
2005-05-03,29,1,Non-chem,,
2005-05-03,30,1,Non-chem,,
2005-05-03,31,1,Non-chem,,
2005-05-03,32,1,Non-chem,,
2005-05-03,10,2,Non-chem,,
2005-05-17,0,1,Chem,3,7
2005-05-17,1,1,Chem,,
2005-05-17,2,1,Chem,,
2005-05-17,3,1,Chem,,
2005-05-17,4,1,Chem,,
2005-05-17,5,1,Chem,,
2005-05-17,6,1,Chem,,
2005-05-17,7,1,Chem,,
2005-05-17,8,1,Chem,,
2005-05-17,9,1,Chem,,
2005-05-17,10,1,Chem,3,10
2005-05-17,11,1,Chem,,
2005-05-17,12,1,Chem,,
2005-05-17,13,1,Chem,,
2005-05-17,14,1,Chem,,
2005-05-17,15,1,Chem,,
2005-05-17,16,1,Chem,,
2005-05-17,17,1,Chem,,
2005-05-17,18,1,Chem,,
2005-05-17,19,1,Chem,,
2005-05-17,20,1,Chem,3,8
2005-05-17,21,1,Chem,,
2005-05-17,22,1,Chem,,
2005-05-17,23,1,Chem,,
2005-05-17,24,1,Chem,,
2005-05-17,25,1,Chem,,
2005-05-17,26,1,Chem,,
2005-05-17,27,1,Chem,,
2005-05-17,28,1,Chem,,
2005-05-17,29,1,Chem,,
2005-05-17,30,1,Chem,,
2005-05-17,31,1,Chem,,
2005-05-17,32,1,Chem,5,20
2005-05-17,15,2,Chem,,
2005-05-17,20,2,Chem,4,9
2005-06-02,0,1,Non-chem,,
2005-06-02,1,1,Non-chem,,
2005-06-02,2,1,Non-chem,,
2005-06-02,3,1,Non-chem,,
2005-06-02,4,1,Non-chem,,
2005-06-02,5,1,Non-chem,,
2005-06-02,6,1,Non-chem,,
2005-06-02,7,1,Non-chem,,
2005-06-02,8,1,Non-chem,,
2005-06-02,9,1,Non-chem,,
2005-06-02,10,1,Non-chem,,
2005-06-02,11,1,Non-chem,,
2005-06-02,12,1,Non-chem,,
2005-06-02,13,1,Non-chem,,
2005-06-02,14,1,Non-chem,,
2005-06-02,15,1,Non-chem,,
2005-06-02,16,1,Non-chem,,
2005-06-02,17,1,Non-chem,,
2005-06-02,18,1,Non-chem,,
2005-06-02,19,1,Non-chem,,
2005-06-02,20,1,Non-chem,,
2005-06-02,21,1,Non-chem,,
2005-06-02,22,1,Non-chem,,
2005-06-02,23,1,Non-chem,,
2005-06-02,24,1,Non-chem,,
2005-06-02,25,1,Non-chem,,
2005-06-02,26,1,Non-chem,,
2005-06-02,27,1,Non-chem,,
2005-06-02,28,1,Non-chem,,
2005-06-02,29,1,Non-chem,,
2005-06-02,30,1,Non-chem,,
2005-06-02,31,1,Non-chem,,
2005-06-02,31.5,1,Non-chem,,
2005-06-02,27,2,Non-chem,,
2005-06-16,0,1,Chem,3,8
2005-06-16,1,1,Chem,,
2005-06-16,2,1,Chem,,
2005-06-16,3,1,Chem,,
2005-06-16,4,1,Chem,,
2005-06-16,5,1,Chem,5,8
2005-06-16,6,1,Chem,,
2005-06-16,7,1,Chem,,
2005-06-16,8,1,Chem,5,7
2005-06-16,9,1,Chem,,
2005-06-16,10,1,Chem,6,9
2005-06-16,11,1,Chem,,
2005-06-16,12,1,Chem,,
2005-06-16,13,1,Chem,,
2005-06-16,14,1,Chem,,
2005-06-16,15,1,Chem,,
2005-06-16,16,1,Chem,,
2005-06-16,17,1,Chem,,
2005-06-16,18,1,Chem,,
2005-06-16,19,1,Chem,,
2005-06-16,20,1,Chem,11,11
2005-06-16,21,1,Chem,,
2005-06-16,22,1,Chem,,
2005-06-16,23,1,Chem,,
2005-06-16,24,1,Chem,,
2005-06-16,25,1,Chem,,
2005-06-16,26,1,Chem,,
2005-06-16,27,1,Chem,,
2005-06-16,28,1,Chem,,
2005-06-16,29,1,Chem,,
2005-06-16,30,1,Chem,,
2005-06-16,31,1,Chem,,
2005-06-16,32,1,Chem,6,44
2005-06-16,8,2,Chem,3,10
2005-07-01,0,1,Non-chem,,
2005-07-01,1,1,Non-chem,,
2005-07-01,2,1,Non-chem,,
2005-07-01,3,1,Non-chem,,
2005-07-01,4,1,Non-chem,,
2005-07-01,5,1,Non-chem,,
2005-07-01,6,1,Non-chem,,
2005-07-01,7,1,Non-chem,,
2005-07-01,8,1,Non-chem,,
2005-07-01,9,1,Non-chem,,
2005-07-01,10,1,Non-chem,,
2005-07-01,11,1,Non-chem,,
2005-07-01,12,1,Non-chem,,
2005-07-01,13,1,Non-chem,,
2005-07-01,14,1,Non-chem,,
2005-07-01,15,1,Non-chem,,
2005-07-01,16,1,Non-chem,,
2005-07-01,17,1,Non-chem,,
2005-07-01,18,1,Non-chem,,
2005-07-01,19,1,Non-chem,,
2005-07-01,20,1,Non-chem,,
2005-07-01,21,1,Non-chem,,
2005-07-01,22,1,Non-chem,,
2005-07-01,23,1,Non-chem,,
2005-07-01,24,1,Non-chem,,
2005-07-01,25,1,Non-chem,,
2005-07-01,26,1,Non-chem,,
2005-07-01,27,1,Non-chem,,
2005-07-01,28,1,Non-chem,,
2005-07-01,29,1,Non-chem,,
2005-07-01,30,1,Non-chem,,
2005-07-01,31,1,Non-chem,,
2005-07-01,32,1,Non-chem,,
2005-07-01,8,2,Non-chem,,
2005-07-13,0,1,Chem,4,6
2005-07-13,1,1,Chem,,
2005-07-13,2,1,Chem,,
2005-07-13,3,1,Chem,,
2005-07-13,4,1,Chem,,
2005-07-13,5,1,Chem,3,7
2005-07-13,6,1,Chem,,
2005-07-13,7,1,Chem,,
2005-07-13,8,1,Chem,5,9
2005-07-13,9,1,Chem,,
2005-07-13,10,1,Chem,,
2005-07-13,11,1,Chem,,
2005-07-13,12,1,Chem,,
2005-07-13,13,1,Chem,,
2005-07-13,14,1,Chem,,
2005-07-13,15,1,Chem,8,9
2005-07-13,16,1,Chem,,
2005-07-13,17,1,Chem,,
2005-07-13,18,1,Chem,,
2005-07-13,19,1,Chem,,
2005-07-13,20,1,Chem,,
2005-07-13,21,1,Chem,,
2005-07-13,22,1,Chem,,
2005-07-13,23,1,Chem,,
2005-07-13,24,1,Chem,,
2005-07-13,25,1,Chem,,
2005-07-13,26,1,Chem,,
2005-07-13,27,1,Chem,6,11
2005-07-13,28,1,Chem,,
2005-07-13,29,1,Chem,,
2005-07-13,30,1,Chem,,
2005-07-13,31,1,Chem,8,17
2005-07-13,31,2,Chem,7,17
2005-07-27,0,1,Non-chem,,
2005-07-27,1,1,Non-chem,,
2005-07-27,2,1,Non-chem,,
2005-07-27,3,1,Non-chem,,
2005-07-27,4,1,Non-chem,,
2005-07-27,5,1,Non-chem,,
2005-07-27,6,1,Non-chem,,
2005-07-27,7,1,Non-chem,,
2005-07-27,8,1,Non-chem,,
2005-07-27,9,1,Non-chem,,
2005-07-27,10,1,Non-chem,,
2005-07-27,11,1,Non-chem,,
2005-07-27,12,1,Non-chem,,
2005-07-27,13,1,Non-chem,,
2005-07-27,14,1,Non-chem,,
2005-07-27,15,1,Non-chem,,
2005-07-27,16,1,Non-chem,,
2005-07-27,17,1,Non-chem,,
2005-07-27,18,1,Non-chem,,
2005-07-27,19,1,Non-chem,,
2005-07-27,20,1,Non-chem,,
2005-07-27,21,1,Non-chem,,
2005-07-27,22,1,Non-chem,,
2005-07-27,23,1,Non-chem,,
2005-07-27,24,1,Non-chem,,
2005-07-27,25,1,Non-chem,,
2005-07-27,26,1,Non-chem,,
2005-07-27,27,1,Non-chem,,
2005-07-27,28,1,Non-chem,,
2005-07-27,29,1,Non-chem,,
2005-07-27,30,1,Non-chem,,
2005-07-27,31,1,Non-chem,,
2005-07-27,31.5,1,Non-chem,,
2005-07-27,0,2,Non-chem,,
2005-08-11,0,1,Quarterly,3,6
2005-08-11,1,1,Quarterly,,
2005-08-11,2,1,Quarterly,,
2005-08-11,3,1,Quarterly,,
2005-08-11,4,1,Quarterly,,
2005-08-11,5,1,Quarterly,6,10
2005-08-11,6,1,Quarterly,,
2005-08-11,7,1,Quarterly,,
2005-08-11,8,1,Quarterly,,
2005-08-11,9,1,Quarterly,,
2005-08-11,10,1,Quarterly,7,10
2005-08-11,11,1,Quarterly,,
2005-08-11,12,1,Quarterly,,
2005-08-11,13,1,Quarterly,,
2005-08-11,14,1,Quarterly,,
2005-08-11,15,1,Quarterly,2,9
2005-08-11,16,1,Quarterly,,
2005-08-11,17,1,Quarterly,,
2005-08-11,18,1,Quarterly,,
2005-08-11,19,1,Quarterly,,
2005-08-11,20,1,Quarterly,3,6
2005-08-11,21,1,Quarterly,,
2005-08-11,22,1,Quarterly,,
2005-08-11,23,1,Quarterly,,
2005-08-11,24,1,Quarterly,,
2005-08-11,25,1,Quarterly,,
2005-08-11,26,1,Quarterly,,
2005-08-11,27,1,Quarterly,,
2005-08-11,28,1,Quarterly,,
2005-08-11,29,1,Quarterly,,
2005-08-11,30,1,Quarterly,,
2005-08-11,31,1,Quarterly,5,23
2005-08-11,0,2,Quarterly,4,5
2005-08-24,0,1,Non-chem,,
2005-08-24,1,1,Non-chem,,
2005-08-24,2,1,Non-chem,,
2005-08-24,3,1,Non-chem,,
2005-08-24,4,1,Non-chem,,
2005-08-24,5,1,Non-chem,,
2005-08-24,6,1,Non-chem,,
2005-08-24,7,1,Non-chem,,
2005-08-24,8,1,Non-chem,,
2005-08-24,9,1,Non-chem,,
2005-08-24,10,1,Non-chem,,
2005-08-24,11,1,Non-chem,,
2005-08-24,12,1,Non-chem,,
2005-08-24,13,1,Non-chem,,
2005-08-24,14,1,Non-chem,,
2005-08-24,15,1,Non-chem,,
2005-08-24,16,1,Non-chem,,
2005-08-24,17,1,Non-chem,,
2005-08-24,18,1,Non-chem,,
2005-08-24,19,1,Non-chem,,
2005-08-24,20,1,Non-chem,,
2005-08-24,21,1,Non-chem,,
2005-08-24,22,1,Non-chem,,
2005-08-24,23,1,Non-chem,,
2005-08-24,24,1,Non-chem,,
2005-08-24,25,1,Non-chem,,
2005-08-24,26,1,Non-chem,,
2005-08-24,27,1,Non-chem,,
2005-08-24,28,1,Non-chem,,
2005-08-24,29,1,Non-chem,,
2005-08-24,30,1,Non-chem,,
2005-08-24,31,1,Non-chem,,
2005-08-24,10,2,Non-chem,,
2005-09-07,0,1,Chem,4,7
2005-09-07,1,1,Chem,,
2005-09-07,2,1,Chem,,
2005-09-07,3,1,Chem,,
2005-09-07,4,1,Chem,,
2005-09-07,5,1,Chem,,
2005-09-07,6,1,Chem,,
2005-09-07,7,1,Chem,,
2005-09-07,8,1,Chem,,
2005-09-07,9,1,Chem,,
2005-09-07,10,1,Chem,4,5
2005-09-07,11,1,Chem,,
2005-09-07,12,1,Chem,,
2005-09-07,13,1,Chem,,
2005-09-07,14,1,Chem,,
2005-09-07,15,1,Chem,2,128
2005-09-07,16,1,Chem,,
2005-09-07,17,1,Chem,,
2005-09-07,18,1,Chem,,
2005-09-07,19,1,Chem,,
2005-09-07,20,1,Chem,3,8
2005-09-07,21,1,Chem,,
2005-09-07,22,1,Chem,,
2005-09-07,23,1,Chem,,
2005-09-07,24,1,Chem,,
2005-09-07,25,1,Chem,,
2005-09-07,26,1,Chem,,
2005-09-07,27,1,Chem,,
2005-09-07,28,1,Chem,,
2005-09-07,29,1,Chem,,
2005-09-07,30,1,Chem,,
2005-09-07,31,1,Chem,7,16
2005-09-07,0,2,Chem,1,7
2005-09-19,0,1,Non-chem,,
2005-09-19,1,1,Non-chem,,
2005-09-19,2,1,Non-chem,,
2005-09-19,3,1,Non-chem,,
2005-09-19,4,1,Non-chem,,
2005-09-19,5,1,Non-chem,,
2005-09-19,6,1,Non-chem,,
2005-09-19,7,1,Non-chem,,
2005-09-19,8,1,Non-chem,,
2005-09-19,9,1,Non-chem,,
2005-09-19,10,1,Non-chem,,
2005-09-19,11,1,Non-chem,,
2005-09-19,12,1,Non-chem,,
2005-09-19,13,1,Non-chem,,
2005-09-19,14,1,Non-chem,,
2005-09-19,15,1,Non-chem,,
2005-09-19,16,1,Non-chem,,
2005-09-19,17,1,Non-chem,,
2005-09-19,18,1,Non-chem,,
2005-09-19,19,1,Non-chem,,
2005-09-19,20,1,Non-chem,,
2005-09-19,21,1,Non-chem,,
2005-09-19,22,1,Non-chem,,
2005-09-19,23,1,Non-chem,,
2005-09-19,24,1,Non-chem,,
2005-09-19,25,1,Non-chem,,
2005-09-19,26,1,Non-chem,,
2005-09-19,27,1,Non-chem,,
2005-09-19,28,1,Non-chem,,
2005-09-19,29,1,Non-chem,,
2005-09-19,30,1,Non-chem,,
2005-09-19,31,1,Non-chem,,
2005-09-19,10,2,Non-chem,,
2005-10-07,0,1,Chem,3,8
2005-10-07,1,1,Chem,,
2005-10-07,2,1,Chem,,
2005-10-07,3,1,Chem,,
2005-10-07,4,1,Chem,,
2005-10-07,5,1,Chem,,
2005-10-07,6,1,Chem,,
2005-10-07,7,1,Chem,,
2005-10-07,8,1,Chem,,
2005-10-07,9,1,Chem,,
2005-10-07,10,1,Chem,,
2005-10-07,11,1,Chem,,
2005-10-07,12,1,Chem,3,6
2005-10-07,13,1,Chem,,
2005-10-07,14,1,Chem,,
2005-10-07,15,1,Chem,3,8
2005-10-07,16,1,Chem,,
2005-10-07,17,1,Chem,,
2005-10-07,18,1,Chem,,
2005-10-07,19,1,Chem,,
2005-10-07,20,1,Chem,1,8
2005-10-07,21,1,Chem,,
2005-10-07,22,1,Chem,,
2005-10-07,23,1,Chem,,
2005-10-07,24,1,Chem,,
2005-10-07,25,1,Chem,,
2005-10-07,26,1,Chem,,
2005-10-07,27,1,Chem,,
2005-10-07,28,1,Chem,,
2005-10-07,29,1,Chem,,
2005-10-07,30,1,Chem,,
2005-10-07,31,1,Chem,3,13
2005-10-07,15,2,Chem,3,8
2005-10-18,0,1,Non-chem,,
2005-10-18,1,1,Non-chem,,
2005-10-18,2,1,Non-chem,,
2005-10-18,3,1,Non-chem,,
2005-10-18,4,1,Non-chem,,
2005-10-18,5,1,Non-chem,,
2005-10-18,6,1,Non-chem,,
2005-10-18,7,1,Non-chem,,
2005-10-18,8,1,Non-chem,,
2005-10-18,9,1,Non-chem,,
2005-10-18,10,1,Non-chem,,
2005-10-18,11,1,Non-chem,,
2005-10-18,12,1,Non-chem,,
2005-10-18,13,1,Non-chem,,
2005-10-18,14,1,Non-chem,,
2005-10-18,15,1,Non-chem,,
2005-10-18,16,1,Non-chem,,
2005-10-18,17,1,Non-chem,,
2005-10-18,18,1,Non-chem,,
2005-10-18,19,1,Non-chem,,
2005-10-18,20,1,Non-chem,,
2005-10-18,21,1,Non-chem,,
2005-10-18,22,1,Non-chem,,
2005-10-18,23,1,Non-chem,,
2005-10-18,24,1,Non-chem,,
2005-10-18,25,1,Non-chem,,
2005-10-18,26,1,Non-chem,,
2005-10-18,27,1,Non-chem,,
2005-10-18,28,1,Non-chem,,
2005-10-18,29,1,Non-chem,,
2005-10-18,30,1,Non-chem,,
2005-10-18,31,1,Non-chem,,
2005-11-14,0,1,Quarterly,6,13
2005-11-14,1,1,Quarterly,,
2005-11-14,2,1,Quarterly,,
2005-11-14,3,1,Quarterly,,
2005-11-14,4,1,Quarterly,,
2005-11-14,5,1,Quarterly,,
2005-11-14,6,1,Quarterly,,
2005-11-14,7,1,Quarterly,,
2005-11-14,8,1,Quarterly,,
2005-11-14,9,1,Quarterly,,
2005-11-14,10,1,Quarterly,4,13
2005-11-14,11,1,Quarterly,,
2005-11-14,12,1,Quarterly,,
2005-11-14,13,1,Quarterly,,
2005-11-14,14,1,Quarterly,,
2005-11-14,15,1,Quarterly,,
2005-11-14,16,1,Quarterly,,
2005-11-14,17,1,Quarterly,,
2005-11-14,18,1,Quarterly,,
2005-11-14,19,1,Quarterly,,
2005-11-14,20,1,Quarterly,5,11
2005-11-14,21,1,Quarterly,,
2005-11-14,22,1,Quarterly,,
2005-11-14,23,1,Quarterly,,
2005-11-14,24,1,Quarterly,,
2005-11-14,25,1,Quarterly,,
2005-11-14,26,1,Quarterly,,
2005-11-14,27,1,Quarterly,,
2005-11-14,28,1,Quarterly,,
2005-11-14,29,1,Quarterly,,
2005-11-14,30,1,Quarterly,,
2005-11-14,31,1,Quarterly,,
2005-11-14,32,1,Quarterly,4,14
2005-11-14,10,2,Quarterly,6,13
2006-01-20,0,1,Chem,5,6
2006-01-20,1,1,Chem,,
2006-01-20,2,1,Chem,,
2006-01-20,3,1,Chem,,
2006-01-20,4,1,Chem,,
2006-01-20,5,1,Chem,,
2006-01-20,6,1,Chem,,
2006-01-20,7,1,Chem,,
2006-01-20,8,1,Chem,,
2006-01-20,9,1,Chem,,
2006-01-20,10,1,Chem,3,6
2006-01-20,11,1,Chem,,
2006-01-20,12,1,Chem,,
2006-01-20,13,1,Chem,,
2006-01-20,14,1,Chem,,
2006-01-20,15,1,Chem,,
2006-01-20,16,1,Chem,,
2006-01-20,17,1,Chem,,
2006-01-20,18,1,Chem,,
2006-01-20,19,1,Chem,,
2006-01-20,20,1,Chem,4,7
2006-01-20,21,1,Chem,,
2006-01-20,22,1,Chem,,
2006-01-20,23,1,Chem,,
2006-01-20,24,1,Chem,,
2006-01-20,25,1,Chem,,
2006-01-20,26,1,Chem,,
2006-01-20,27,1,Chem,,
2006-01-20,28,1,Chem,,
2006-01-20,29,1,Chem,,
2006-01-20,30,1,Chem,,
2006-01-20,31,1,Chem,,
2006-01-20,32,1,Chem,7,18
2006-01-20,10,2,Chem,4,6
2006-02-14,0,1,Quarterly,2,2
2006-02-14,1,1,Quarterly,,
2006-02-14,2,1,Quarterly,,
2006-02-14,3,1,Quarterly,,
2006-02-14,4,1,Quarterly,,
2006-02-14,5,1,Quarterly,,
2006-02-14,6,1,Quarterly,,
2006-02-14,7,1,Quarterly,,
2006-02-14,8,1,Quarterly,,
2006-02-14,9,1,Quarterly,,
2006-02-14,10,1,Quarterly,4,7
2006-02-14,11,1,Quarterly,,
2006-02-14,12,1,Quarterly,,
2006-02-14,13,1,Quarterly,,
2006-02-14,14,1,Quarterly,,
2006-02-14,15,1,Quarterly,,
2006-02-14,16,1,Quarterly,,
2006-02-14,17,1,Quarterly,,
2006-02-14,18,1,Quarterly,,
2006-02-14,19,1,Quarterly,,
2006-02-14,20,1,Quarterly,5,10
2006-02-14,21,1,Quarterly,,
2006-02-14,22,1,Quarterly,,
2006-02-14,23,1,Quarterly,,
2006-02-14,24,1,Quarterly,,
2006-02-14,25,1,Quarterly,,
2006-02-14,26,1,Quarterly,,
2006-02-14,27,1,Quarterly,,
2006-02-14,28,1,Quarterly,,
2006-02-14,29,1,Quarterly,,
2006-02-14,30,1,Quarterly,,
2006-02-14,31,1,Quarterly,,
2006-02-14,32,1,Quarterly,7,29
2006-02-14,20,2,Quarterly,4,8
2006-04-05,0,1,Chem,2,5
2006-04-05,1,1,Chem,,
2006-04-05,2,1,Chem,,
2006-04-05,3,1,Chem,,
2006-04-05,4,1,Chem,,
2006-04-05,5,1,Chem,,
2006-04-05,6,1,Chem,,
2006-04-05,7,1,Chem,,
2006-04-05,8,1,Chem,,
2006-04-05,9,1,Chem,,
2006-04-05,10,1,Chem,2,8
2006-04-05,11,1,Chem,,
2006-04-05,12,1,Chem,,
2006-04-05,13,1,Chem,,
2006-04-05,14,1,Chem,,
2006-04-05,15,1,Chem,,
2006-04-05,16,1,Chem,,
2006-04-05,17,1,Chem,,
2006-04-05,18,1,Chem,,
2006-04-05,19,1,Chem,,
2006-04-05,20,1,Chem,5,8
2006-04-05,21,1,Chem,,
2006-04-05,22,1,Chem,,
2006-04-05,23,1,Chem,,
2006-04-05,24,1,Chem,,
2006-04-05,25,1,Chem,,
2006-04-05,26,1,Chem,,
2006-04-05,27,1,Chem,,
2006-04-05,28,1,Chem,,
2006-04-05,29,1,Chem,,
2006-04-05,30,1,Chem,,
2006-04-05,31,1,Chem,,
2006-04-05,32,1,Chem,7,26
2006-04-05,0,2,Chem,2,5
2006-04-21,0,1,Quarterly,5,10
2006-04-21,1,1,Quarterly,,
2006-04-21,2,1,Quarterly,,
2006-04-21,3,1,Quarterly,,
2006-04-21,4,1,Quarterly,,
2006-04-21,5,1,Quarterly,,
2006-04-21,6,1,Quarterly,,
2006-04-21,7,1,Quarterly,,
2006-04-21,8,1,Quarterly,,
2006-04-21,9,1,Quarterly,,
2006-04-21,10,1,Quarterly,3,14
2006-04-21,11,1,Quarterly,,
2006-04-21,12,1,Quarterly,,
2006-04-21,13,1,Quarterly,,
2006-04-21,14,1,Quarterly,,
2006-04-21,15,1,Quarterly,,
2006-04-21,16,1,Quarterly,,
2006-04-21,17,1,Quarterly,,
2006-04-21,18,1,Quarterly,,
2006-04-21,19,1,Quarterly,,
2006-04-21,20,1,Quarterly,3,10
2006-04-21,21,1,Quarterly,,
2006-04-21,22,1,Quarterly,,
2006-04-21,23,1,Quarterly,,
2006-04-21,24,1,Quarterly,,
2006-04-21,25,1,Quarterly,,
2006-04-21,26,1,Quarterly,,
2006-04-21,27,1,Quarterly,,
2006-04-21,28,1,Quarterly,,
2006-04-21,29,1,Quarterly,,
2006-04-21,30,1,Quarterly,,
2006-04-21,31,1,Quarterly,,
2006-04-21,32,1,Quarterly,3,9
2006-04-21,20,2,Quarterly,3,9
2006-05-05,0,1,Non-chem,,
2006-05-05,1,1,Non-chem,,
2006-05-05,2,1,Non-chem,,
2006-05-05,3,1,Non-chem,,
2006-05-05,4,1,Non-chem,,
2006-05-05,5,1,Non-chem,,
2006-05-05,6,1,Non-chem,,
2006-05-05,7,1,Non-chem,,
2006-05-05,8,1,Non-chem,,
2006-05-05,9,1,Non-chem,,
2006-05-05,10,1,Non-chem,,
2006-05-05,11,1,Non-chem,,
2006-05-05,12,1,Non-chem,,
2006-05-05,13,1,Non-chem,,
2006-05-05,14,1,Non-chem,,
