sampledate,depth,wtemp,flag_wtemp
2004-05-27,3.00,10.490,
2004-05-27,4.00,10.510,
2004-05-27,5.00,10.530,
2004-05-27,6.00,10.540,
2004-05-27,7.00,10.530,
2004-05-27,7.50,10.500,
2004-05-27,8.00,10.540,
2004-05-27,8.50,10.570,
2004-05-27,9.00,10.540,
2004-05-27,9.50,10.540,
2004-05-27,10.00,10.550,
2004-05-27,10.50,10.480,
2004-05-27,11.00,10.360,
2004-05-27,11.50,10.070,
2004-05-27,12.00,9.890,
2004-05-27,12.50,9.820,
2004-05-27,13.00,9.830,
2004-05-27,13.50,9.790,
2004-05-27,14.00,9.620,
2004-05-27,16.00,7.790,
2004-05-27,19.00,7.330,
2004-05-27,23.00,7.020,
2004-05-27,27.00,6.800,
2004-05-27,31.00,6.300,
2004-05-28,0.00,11.320,
2004-05-28,1.00,11.370,
2004-05-28,2.00,11.200,
2004-05-28,3.00,10.680,
2004-05-28,4.00,10.620,
2004-05-28,5.00,10.610,
2004-05-28,6.00,10.600,
2004-05-28,7.00,10.580,
2004-05-28,7.50,10.520,
2004-05-28,8.00,10.540,
2004-05-28,8.50,10.570,
2004-05-28,9.00,10.480,
2004-05-28,9.50,10.440,
2004-05-28,10.00,10.420,
2004-05-28,10.50,10.290,
2004-05-28,11.00,10.150,
2004-05-28,11.50,9.880,
2004-05-28,12.00,9.700,
2004-05-28,12.50,9.620,
2004-05-28,13.00,9.510,
2004-05-28,13.50,9.260,
2004-05-28,14.00,8.930,
2004-05-28,16.00,8.240,
2004-05-28,19.00,7.450,
2004-05-28,23.00,6.770,
2004-05-28,27.00,6.340,
2004-05-28,31.00,6.350,
2004-05-29,0.00,11.130,
2004-05-29,1.00,11.160,
2004-05-29,2.00,11.140,
2004-05-29,3.00,11.060,
2004-05-29,4.00,11.060,
2004-05-29,5.00,11.080,
2004-05-29,6.00,10.980,
2004-05-29,7.00,10.880,
2004-05-29,7.50,10.830,
2004-05-29,8.00,10.850,
2004-05-29,8.50,10.760,
2004-05-29,9.00,10.800,
2004-05-29,9.50,10.620,
2004-05-29,10.00,10.280,
2004-05-29,10.50,10.100,
2004-05-29,11.00,9.960,
2004-05-29,11.50,9.810,
2004-05-29,12.00,9.700,
2004-05-29,12.50,9.630,
2004-05-29,13.00,9.660,
2004-05-29,13.50,9.440,
2004-05-29,14.00,9.050,
2004-05-29,16.00,8.480,
2004-05-29,19.00,7.380,
2004-05-29,23.00,6.770,
2004-05-29,27.00,6.380,
2004-05-29,31.00,6.240,
2004-05-30,0.00,10.850,
2004-05-30,1.00,10.900,
2004-05-30,2.00,10.860,
2004-05-30,3.00,10.790,
2004-05-30,4.00,10.810,
2004-05-30,5.00,10.810,
2004-05-30,6.00,10.790,
2004-05-30,7.00,10.790,
2004-05-30,7.50,10.750,
2004-05-30,8.00,10.800,
2004-05-30,8.50,10.760,
2004-05-30,9.00,10.820,
2004-05-30,9.50,10.740,
2004-05-30,10.00,10.770,
2004-05-30,10.50,10.660,
2004-05-30,11.00,10.750,
2004-05-30,11.50,10.730,
2004-05-30,12.00,,"C"
2004-05-30,12.50,10.460,
2004-05-30,13.00,9.360,
2004-05-30,13.50,9.010,
2004-05-30,14.00,8.880,
2004-05-30,16.00,8.690,
2004-05-30,19.00,7.580,
2004-05-30,23.00,6.830,
2004-05-30,27.00,6.540,
2004-05-30,31.00,6.300,
2004-05-31,0.00,10.940,
2004-05-31,1.00,10.960,
2004-05-31,2.00,10.940,
2004-05-31,3.00,10.890,
2004-05-31,4.00,10.870,
2004-05-31,5.00,10.890,
2004-05-31,6.00,10.860,
2004-05-31,7.00,10.800,
2004-05-31,7.50,10.770,
2004-05-31,8.00,10.750,
2004-05-31,8.50,10.700,
2004-05-31,9.00,10.730,
2004-05-31,9.50,10.630,
2004-05-31,10.00,10.570,
2004-05-31,10.50,10.520,
2004-05-31,11.00,10.540,
2004-05-31,11.50,10.520,
2004-05-31,12.00,10.410,
2004-05-31,12.50,10.330,
2004-05-31,13.00,10.320,
2004-05-31,13.50,10.090,
2004-05-31,14.00,9.940,
2004-05-31,16.00,8.750,
2004-05-31,19.00,7.490,
2004-05-31,23.00,6.780,
2004-05-31,27.00,6.080,
2004-05-31,31.00,6.370,
2004-06-01,0.00,11.240,
2004-06-01,1.00,11.290,
2004-06-01,2.00,11.260,
2004-06-01,3.00,11.190,
2004-06-01,4.00,11.200,
2004-06-01,5.00,11.220,
2004-06-01,6.00,11.230,
2004-06-01,7.00,11.230,
2004-06-01,7.50,11.210,
2004-06-01,8.00,11.240,
2004-06-01,8.50,11.230,
2004-06-01,9.00,11.270,
2004-06-01,9.50,11.290,
2004-06-01,10.00,11.180,
2004-06-01,10.50,10.960,
2004-06-01,11.00,10.790,
2004-06-01,11.50,10.710,
2004-06-01,12.00,10.540,
2004-06-01,12.50,10.140,
2004-06-01,13.00,9.860,
2004-06-01,13.50,9.580,
2004-06-01,14.00,9.370,
2004-06-01,16.00,8.950,
2004-06-01,19.00,7.440,
2004-06-01,23.00,6.900,
2004-06-01,27.00,6.500,
2004-06-01,31.00,6.350,
2004-06-02,0.00,11.510,
2004-06-02,1.00,11.610,
2004-06-02,2.00,11.590,
2004-06-02,3.00,11.520,
2004-06-02,4.00,11.520,
2004-06-02,5.00,11.490,
2004-06-02,6.00,11.490,
2004-06-02,7.00,11.420,
2004-06-02,7.50,11.380,
2004-06-02,8.00,11.390,
2004-06-02,8.50,11.400,
2004-06-02,9.00,11.430,
2004-06-02,9.50,11.340,
2004-06-02,10.00,10.990,
2004-06-02,10.50,10.830,
2004-06-02,11.00,10.730,
2004-06-02,11.50,10.740,
2004-06-02,12.00,10.600,
2004-06-02,12.50,10.000,
2004-06-02,13.00,9.580,
2004-06-02,13.50,9.290,
2004-06-02,14.00,8.970,
2004-06-02,16.00,8.560,
2004-06-02,19.00,7.610,
2004-06-02,23.00,6.830,
2004-06-02,27.00,6.460,
2004-06-02,31.00,6.300,
2004-06-03,0.00,12.830,
2004-06-03,1.00,12.940,
2004-06-03,2.00,12.680,
2004-06-03,3.00,12.020,
2004-06-03,4.00,11.630,
2004-06-03,5.00,11.570,
2004-06-03,6.00,11.490,
2004-06-03,7.00,11.420,
2004-06-03,7.50,11.250,
2004-06-03,8.00,11.180,
2004-06-03,8.50,10.950,
2004-06-03,9.00,10.800,
2004-06-03,9.50,10.600,
2004-06-03,10.00,10.550,
2004-06-03,10.50,10.440,
2004-06-03,11.00,10.410,
2004-06-03,11.50,10.260,
2004-06-03,12.00,10.280,
2004-06-03,12.50,10.260,
2004-06-03,13.00,10.150,
2004-06-03,13.50,9.990,
2004-06-03,14.00,9.640,
2004-06-03,16.00,8.690,
2004-06-03,19.00,7.580,
2004-06-03,23.00,6.800,
2004-06-03,27.00,6.500,
2004-06-03,31.00,6.300,
2004-06-04,0.00,15.360,
2004-06-04,1.00,15.490,
2004-06-04,2.00,13.250,
2004-06-04,3.00,12.210,
2004-06-04,4.00,11.810,
2004-06-04,5.00,11.700,
2004-06-04,6.00,11.680,
2004-06-04,7.00,11.550,
2004-06-04,7.50,11.470,
2004-06-04,8.00,11.430,
2004-06-04,8.50,11.460,
2004-06-04,9.00,11.370,
2004-06-04,9.50,11.060,
2004-06-04,10.00,10.850,
2004-06-04,10.50,10.710,
2004-06-04,11.00,10.580,
2004-06-04,11.50,10.390,
2004-06-04,12.00,10.280,
2004-06-04,12.50,10.210,
2004-06-04,13.00,10.120,
2004-06-04,13.50,10.040,
2004-06-04,14.00,10.020,
2004-06-04,16.00,8.300,
2004-06-04,19.00,7.520,
2004-06-04,23.00,6.690,
2004-06-04,27.00,6.430,
2004-06-04,31.00,6.340,
2004-06-05,0.00,13.580,
2004-06-05,1.00,13.620,
2004-06-05,2.00,13.580,
2004-06-05,3.00,13.170,
2004-06-05,4.00,13.090,
2004-06-05,5.00,12.940,
2004-06-05,6.00,12.620,
2004-06-05,7.00,12.260,
2004-06-05,7.50,11.710,
2004-06-05,8.00,11.620,
2004-06-05,8.50,11.270,
2004-06-05,9.00,11.190,
2004-06-05,9.50,10.980,
2004-06-05,10.00,10.850,
2004-06-05,10.50,10.630,
2004-06-05,11.00,10.490,
2004-06-05,11.50,10.450,
2004-06-05,12.00,10.380,
2004-06-05,12.50,10.330,
2004-06-05,13.00,10.210,
2004-06-05,13.50,10.020,
2004-06-05,14.00,9.730,
2004-06-05,16.00,8.630,
2004-06-05,19.00,7.600,
2004-06-05,23.00,7.050,
2004-06-05,27.00,6.690,
2004-06-05,31.00,6.410,
2004-06-06,0.00,16.790,
2004-06-06,1.00,16.840,
2004-06-06,2.00,13.840,
2004-06-06,3.00,13.320,
2004-06-06,4.00,13.010,
2004-06-06,5.00,12.500,
2004-06-06,6.00,12.060,
2004-06-06,7.00,11.940,
2004-06-06,7.50,11.650,
2004-06-06,8.00,11.620,
2004-06-06,8.50,11.530,
2004-06-06,9.00,11.480,
2004-06-06,9.50,11.260,
2004-06-06,10.00,10.800,
2004-06-06,10.50,10.770,
2004-06-06,11.00,10.650,
2004-06-06,11.50,10.520,
2004-06-06,12.00,10.410,
2004-06-06,12.50,10.350,
2004-06-06,13.00,10.310,
2004-06-06,13.50,10.150,
2004-06-06,14.00,9.640,
2004-06-06,16.00,8.240,
2004-06-06,19.00,7.630,
2004-06-06,23.00,7.090,
2004-06-06,27.00,6.530,
2004-06-06,31.00,6.410,
2004-06-07,0.00,14.810,
2004-06-07,1.00,14.890,
2004-06-07,2.00,14.810,
2004-06-07,3.00,14.750,
2004-06-07,4.00,14.700,
2004-06-07,5.00,14.570,
2004-06-07,6.00,13.680,
2004-06-07,7.00,13.020,
2004-06-07,7.50,12.840,
2004-06-07,8.00,12.830,
2004-06-07,8.50,12.800,
2004-06-07,9.00,12.760,
2004-06-07,9.50,12.680,
2004-06-07,10.00,12.630,
2004-06-07,10.50,12.360,
2004-06-07,11.00,11.750,
2004-06-07,11.50,11.540,
2004-06-07,12.00,11.160,
2004-06-07,12.50,10.850,
2004-06-07,13.00,10.400,
2004-06-07,13.50,10.140,
2004-06-07,14.00,9.970,
2004-06-07,16.00,9.570,
2004-06-07,19.00,7.490,
2004-06-07,23.00,6.830,
2004-06-07,27.00,6.480,
2004-06-07,31.00,6.600,
2004-06-08,0.00,16.350,
2004-06-08,1.00,16.330,
2004-06-08,2.00,16.050,
2004-06-08,3.00,15.350,
2004-06-08,4.00,15.310,
2004-06-08,5.00,14.960,
2004-06-08,6.00,14.390,
2004-06-08,7.00,13.850,
2004-06-08,7.50,13.290,
2004-06-08,8.00,13.070,
2004-06-08,8.50,12.840,
2004-06-08,9.00,12.090,
2004-06-08,9.50,11.800,
2004-06-08,10.00,11.430,
2004-06-08,10.50,11.260,
2004-06-08,11.00,11.180,
2004-06-08,11.50,10.790,
2004-06-08,12.00,10.540,
2004-06-08,12.50,10.530,
2004-06-08,13.00,10.340,
2004-06-08,13.50,10.090,
2004-06-08,14.00,9.810,
2004-06-08,16.00,9.350,
2004-06-08,19.00,7.610,
2004-06-08,23.00,6.910,
2004-06-08,27.00,6.740,
2004-06-08,31.00,6.560,
2004-06-09,0.00,15.090,
2004-06-09,1.00,15.230,
2004-06-09,2.00,15.190,
2004-06-09,3.00,15.040,
2004-06-09,4.00,14.880,
2004-06-09,5.00,14.410,
2004-06-09,6.00,13.630,
2004-06-09,7.00,12.940,
2004-06-09,7.50,12.770,
2004-06-09,8.00,12.470,
2004-06-09,8.50,12.170,
2004-06-09,9.00,11.870,
2004-06-09,9.50,11.480,
2004-06-09,10.00,11.350,
2004-06-09,10.50,11.150,
2004-06-09,11.00,11.110,
2004-06-09,11.50,11.090,
2004-06-09,12.00,10.920,
2004-06-09,12.50,10.650,
2004-06-09,13.00,10.420,
2004-06-09,13.50,10.100,
2004-06-09,14.00,9.920,
2004-06-09,16.00,9.300,
2004-06-09,19.00,8.180,
2004-06-09,23.00,6.900,
2004-06-09,27.00,6.640,
2004-06-09,31.00,6.510,
2004-06-10,0.00,15.530,
2004-06-10,1.00,15.620,
2004-06-10,2.00,15.580,
2004-06-10,3.00,15.540,
2004-06-10,4.00,15.470,
2004-06-10,5.00,15.150,
2004-06-10,6.00,13.820,
2004-06-10,7.00,13.520,
2004-06-10,7.50,13.030,
2004-06-10,8.00,12.770,
2004-06-10,8.50,12.420,
2004-06-10,9.00,12.000,
2004-06-10,9.50,11.610,
2004-06-10,10.00,11.430,
2004-06-10,10.50,11.280,
2004-06-10,11.00,11.220,
2004-06-10,11.50,11.090,
2004-06-10,12.00,10.920,
2004-06-10,12.50,10.830,
2004-06-10,13.00,10.670,
2004-06-10,13.50,10.280,
2004-06-10,14.00,10.000,
2004-06-10,16.00,8.990,
2004-06-10,19.00,7.850,
2004-06-10,23.00,7.090,
2004-06-10,27.00,6.690,
2004-06-10,31.00,6.560,
2004-06-11,0.00,15.270,
2004-06-11,1.00,15.310,
2004-06-11,2.00,15.260,
2004-06-11,3.00,15.210,
2004-06-11,4.00,15.180,
2004-06-11,5.00,15.180,
2004-06-11,6.00,14.690,
2004-06-11,7.00,13.600,
2004-06-11,7.50,13.280,
2004-06-11,8.00,13.080,
2004-06-11,8.50,12.770,
2004-06-11,9.00,12.130,
2004-06-11,9.50,11.780,
2004-06-11,10.00,11.500,
2004-06-11,10.50,11.340,
2004-06-11,11.00,11.210,
2004-06-11,11.50,11.070,
2004-06-11,12.00,10.990,
2004-06-11,12.50,10.910,
2004-06-11,13.00,10.580,
2004-06-11,13.50,10.280,
2004-06-11,14.00,9.960,
2004-06-11,16.00,8.110,
2004-06-11,19.00,7.580,
2004-06-11,23.00,6.940,
2004-06-11,27.00,6.690,
2004-06-11,31.00,6.430,
2004-06-12,0.00,16.100,
2004-06-12,1.00,16.170,
2004-06-12,2.00,16.090,
2004-06-12,3.00,15.880,
2004-06-12,4.00,15.840,
2004-06-12,5.00,15.880,
2004-06-12,6.00,15.790,
2004-06-12,7.00,14.230,
2004-06-12,7.50,14.030,
2004-06-12,8.00,13.780,
2004-06-12,8.50,13.510,
2004-06-12,9.00,13.180,
2004-06-12,9.50,12.740,
2004-06-12,10.00,12.000,
2004-06-12,10.50,11.850,
2004-06-12,11.00,11.740,
2004-06-12,11.50,11.280,
2004-06-12,12.00,11.050,
2004-06-12,12.50,10.850,
2004-06-12,13.00,10.640,
2004-06-12,13.50,10.210,
2004-06-12,14.00,10.080,
2004-06-12,16.00,9.270,
2004-06-12,19.00,7.800,
2004-06-12,23.00,6.960,
2004-06-12,27.00,6.670,
2004-06-12,31.00,6.430,
2004-06-13,0.00,16.710,
2004-06-13,1.00,16.760,
2004-06-13,2.00,16.740,
2004-06-13,3.00,16.610,
2004-06-13,4.00,16.350,
2004-06-13,5.00,15.970,
2004-06-13,6.00,15.650,
2004-06-13,7.00,14.810,
2004-06-13,7.50,14.470,
2004-06-13,8.00,14.260,
2004-06-13,8.50,14.020,
2004-06-13,9.00,13.800,
2004-06-13,9.50,13.680,
2004-06-13,10.00,12.760,
2004-06-13,10.50,12.120,
2004-06-13,11.00,11.820,
2004-06-13,11.50,11.340,
2004-06-13,12.00,10.990,
2004-06-13,12.50,10.850,
2004-06-13,13.00,10.350,
2004-06-13,13.50,10.150,
2004-06-13,14.00,9.500,
2004-06-13,16.00,8.190,
2004-06-13,19.00,7.630,
2004-06-13,23.00,6.990,
2004-06-13,27.00,6.740,
2004-06-13,31.00,6.510,
2004-06-14,0.00,16.790,
2004-06-14,1.00,16.840,
2004-06-14,2.00,16.800,
2004-06-14,3.00,16.760,
2004-06-14,4.00,16.740,
2004-06-14,5.00,16.780,
2004-06-14,6.00,16.690,
2004-06-14,7.00,14.870,
2004-06-14,7.50,14.330,
2004-06-14,8.00,14.210,
2004-06-14,8.50,13.940,
2004-06-14,9.00,13.580,
2004-06-14,9.50,12.680,
2004-06-14,10.00,11.620,
2004-06-14,10.50,11.400,
2004-06-14,11.00,11.300,
2004-06-14,11.50,11.200,
2004-06-14,12.00,11.100,
2004-06-14,12.50,11.020,
2004-06-14,13.00,10.750,
2004-06-14,13.50,10.470,
2004-06-14,14.00,9.940,
2004-06-14,16.00,9.010,
2004-06-14,19.00,7.440,
2004-06-14,23.00,6.960,
2004-06-14,27.00,6.720,
2004-06-14,31.00,6.570,
2004-06-15,0.00,17.210,
2004-06-15,1.00,17.250,
2004-06-15,2.00,17.220,
2004-06-15,3.00,17.170,
2004-06-15,4.00,17.130,
2004-06-15,5.00,17.110,
2004-06-15,6.00,16.780,
2004-06-15,7.00,15.210,
2004-06-15,7.50,13.920,
2004-06-15,8.00,13.530,
2004-06-15,8.50,13.250,
2004-06-15,9.00,12.990,
2004-06-15,9.50,12.680,
2004-06-15,10.00,12.380,
2004-06-15,10.50,11.980,
2004-06-15,11.00,11.560,
2004-06-15,11.50,11.200,
2004-06-15,12.00,10.920,
2004-06-15,12.50,10.780,
2004-06-15,13.00,10.500,
2004-06-15,13.50,10.230,
2004-06-15,14.00,9.880,
2004-06-15,16.00,8.880,
2004-06-15,19.00,8.100,
2004-06-15,23.00,6.960,
2004-06-15,27.00,6.690,
2004-06-15,31.00,6.460,
2004-06-16,0.00,17.920,
2004-06-16,1.00,17.970,
2004-06-16,2.00,17.960,
2004-06-16,3.00,17.910,
2004-06-16,4.00,17.890,
2004-06-16,5.00,17.380,
2004-06-16,6.00,16.470,
2004-06-16,7.00,14.620,
2004-06-16,7.50,14.220,
2004-06-16,8.00,14.050,
2004-06-16,8.50,13.760,
2004-06-16,9.00,13.520,
2004-06-16,9.50,13.120,
2004-06-16,10.00,12.760,
2004-06-16,10.50,11.850,
2004-06-16,11.00,11.460,
2004-06-16,11.50,11.090,
2004-06-16,12.00,10.920,
2004-06-16,12.50,10.720,
2004-06-16,13.00,10.390,
2004-06-16,13.50,10.150,
2004-06-16,14.00,9.650,
2004-06-16,16.00,8.820,
2004-06-16,19.00,7.660,
2004-06-16,23.00,6.900,
2004-06-16,27.00,6.460,
2004-06-16,31.00,6.530,
2004-06-17,0.00,18.300,
2004-06-17,1.00,18.330,
2004-06-17,2.00,18.330,
2004-06-17,3.00,17.840,
2004-06-17,4.00,17.670,
2004-06-17,5.00,17.220,
2004-06-17,6.00,16.200,
2004-06-17,7.00,14.870,
2004-06-17,7.50,14.400,
2004-06-17,8.00,14.080,
2004-06-17,8.50,13.700,
2004-06-17,9.00,13.440,
2004-06-17,9.50,12.910,
2004-06-17,10.00,12.300,
2004-06-17,10.50,11.880,
2004-06-17,11.00,11.430,
2004-06-17,11.50,11.180,
2004-06-17,12.00,10.920,
2004-06-17,12.50,10.750,
2004-06-17,13.00,10.530,
2004-06-17,13.50,10.290,
2004-06-17,14.00,10.020,
2004-06-17,16.00,8.690,
2004-06-17,19.00,7.850,
2004-06-17,23.00,7.090,
2004-06-17,27.00,6.460,
2004-06-17,31.00,6.670,
2004-06-18,0.00,17.420,
2004-06-18,1.00,17.490,
2004-06-18,2.00,17.510,
2004-06-18,3.00,17.390,
2004-06-18,4.00,17.420,
2004-06-18,5.00,17.490,
2004-06-18,6.00,17.480,
2004-06-18,7.00,17.500,
2004-06-18,7.50,17.410,
2004-06-18,8.00,17.460,
2004-06-18,8.50,14.080,
2004-06-18,9.00,13.890,
2004-06-18,9.50,12.860,
2004-06-18,10.00,11.750,
2004-06-18,10.50,11.230,
2004-06-18,11.00,11.160,
2004-06-18,11.50,11.090,
2004-06-18,12.00,11.040,
2004-06-18,12.50,10.910,
2004-06-18,13.00,10.640,
2004-06-18,13.50,10.280,
2004-06-18,14.00,9.970,
2004-06-18,16.00,8.950,
2004-06-18,19.00,7.890,
2004-06-18,23.00,7.090,
2004-06-18,27.00,6.690,
2004-06-18,31.00,6.490,
2004-06-19,0.00,17.580,
2004-06-19,1.00,17.630,
2004-06-19,2.00,17.640,
2004-06-19,3.00,17.550,
2004-06-19,4.00,17.560,
2004-06-19,5.00,17.610,
2004-06-19,6.00,17.600,
2004-06-19,7.00,17.660,
2004-06-19,7.50,17.540,
2004-06-19,8.00,17.590,
2004-06-19,8.50,14.750,
2004-06-19,9.00,13.440,
2004-06-19,9.50,12.930,
2004-06-19,10.00,12.310,
2004-06-19,10.50,12.100,
2004-06-19,11.00,11.750,
2004-06-19,11.50,11.410,
2004-06-19,12.00,11.070,
2004-06-19,12.50,10.780,
2004-06-19,13.00,10.340,
2004-06-19,13.50,10.070,
2004-06-19,14.00,9.650,
2004-06-19,16.00,8.580,
2004-06-19,19.00,7.910,
2004-06-19,23.00,7.100,
2004-06-19,27.00,6.640,
2004-06-19,31.00,6.590,
2004-06-20,0.00,17.540,
2004-06-20,1.00,17.600,
2004-06-20,2.00,17.570,
2004-06-20,3.00,17.530,
2004-06-20,4.00,17.530,
2004-06-20,5.00,17.550,
2004-06-20,6.00,17.510,
2004-06-20,7.00,17.520,
2004-06-20,7.50,17.410,
2004-06-20,8.00,17.450,
2004-06-20,8.50,17.230,
2004-06-20,9.00,14.210,
2004-06-20,9.50,12.930,
2004-06-20,10.00,12.380,
2004-06-20,10.50,12.100,
2004-06-20,11.00,11.880,
2004-06-20,11.50,11.220,
2004-06-20,12.00,10.730,
2004-06-20,12.50,10.530,
2004-06-20,13.00,10.210,
2004-06-20,13.50,10.070,
2004-06-20,14.00,9.890,
2004-06-20,16.00,9.070,
2004-06-20,19.00,8.050,
2004-06-20,23.00,7.210,
2004-06-20,27.00,6.560,
2004-06-20,31.00,6.620,
2004-06-21,0.00,17.540,
2004-06-21,1.00,17.620,
2004-06-21,2.00,17.570,
2004-06-21,3.00,17.550,
2004-06-21,4.00,17.540,
2004-06-21,5.00,17.610,
2004-06-21,6.00,17.570,
2004-06-21,7.00,17.610,
2004-06-21,7.50,17.410,
2004-06-21,8.00,16.950,
2004-06-21,8.50,16.310,
2004-06-21,9.00,14.840,
2004-06-21,9.50,14.230,
2004-06-21,10.00,13.200,
2004-06-21,10.50,12.990,
2004-06-21,11.00,12.330,
2004-06-21,11.50,11.340,
2004-06-21,12.00,10.860,
2004-06-21,12.50,10.540,
2004-06-21,13.00,10.340,
2004-06-21,13.50,10.090,
2004-06-21,14.00,9.750,
2004-06-21,16.00,8.910,
2004-06-21,19.00,7.960,
2004-06-21,23.00,7.150,
2004-06-21,27.00,6.740,
2004-06-21,31.00,6.560,
2004-06-22,0.00,17.390,
2004-06-22,1.00,17.430,
2004-06-22,2.00,17.400,
2004-06-22,3.00,17.360,
2004-06-22,4.00,17.350,
2004-06-22,5.00,17.420,
2004-06-22,6.00,17.410,
2004-06-22,7.00,17.450,
