"DOCR_RespParam","DOCL_RespParam","R_auto","BurialFactor_R","BurialFactor_L","POC_lcR","POC_lcL","N","collinearity"
0,1,0,1,0,1,1,4,2360.20304680523
0,1,0,0,1,1,1,4,17.2410300136261
0,0,1,1,1,1,0,4,2262.99030156773
0,0,1,1,1,0,1,4,217.157284185262
0,0,1,1,0,1,1,4,2316.78990351286
0,0,1,0,1,1,1,4,217.034026593044
0,0,0,1,1,1,1,4,2317.21617598628
1,1,1,1,1,0,0,5,835.620604273425
1,1,1,1,0,1,0,5,4164.27066780962
1,1,1,1,0,0,1,5,25.7672355031382
1,1,1,0,1,1,0,5,835.988718471862
1,1,1,0,1,0,1,5,116.960850094072
1,1,1,0,0,1,1,5,25.7676115277004
1,1,0,1,1,1,0,5,4165.0882244559
1,1,0,1,1,0,1,5,28.5274909496715
1,1,0,1,0,1,1,5,4127.15657299672
1,1,0,0,1,1,1,5,28.5272787244041
1,0,1,1,1,1,0,5,4171.17070709944
1,0,1,1,1,0,1,5,225.034508791469
1,0,1,1,0,1,1,5,4130.64098848806
1,0,1,0,1,1,1,5,225.09823121062
1,0,0,1,1,1,1,5,4144.67830979982
0,1,1,1,1,1,0,5,3955.09691710481
0,1,1,1,1,0,1,5,329.47399283377
0,1,1,1,0,1,1,5,2969.25366076569
0,1,1,0,1,1,1,5,330.294979202155
0,1,0,1,1,1,1,5,3044.54567966966
0,0,1,1,1,1,1,5,2342.24092420196
1,1,1,1,1,1,0,6,4172.03904048306
1,1,1,1,1,0,1,6,840.537707031935
1,1,1,1,0,1,1,6,4168.58439995606
1,1,1,0,1,1,1,6,840.942070710744
1,1,0,1,1,1,1,6,4169.57575336111
1,0,1,1,1,1,1,6,4175.97137773991
0,1,1,1,1,1,1,6,3987.62551643726
1,1,1,1,1,1,1,7,4177.87088548789
