"","Date","POC_conc_gm3","NPPin_gm2y","FlowIn_gm2y","FlowOut_gm2y","sedOut_gm2y","leachOut_gm2y","POC_out_g","POC_FlowOut_cum_g","POC_SedOut_cum_g","POC_in_g","POC_in_alloch_g","POC_in_autoch_g"
"27",2001-07-30,0.380298577720068,8.8114813358771,37.6241949886045,24.0499136032965,9.84332679093581,9.84332679093581,178541.055084659,1712403.0548661,1221711.65285187,189559.336228706,153589.179542522,35970.1566861832
"28",2001-07-31,0.381341383052648,8.87799559842342,31.330902691313,21.5835435014254,9.87031788232895,9.87031788232895,168693.224949217,1800511.21874863,1262004.18338521,164140.434114266,127898.753452209,36241.6806620573
"29",2001-08-01,0.38091049238116,8.94391955067792,23.9793438409234,17.832155975371,9.85916507256548,9.85916507256548,153288.285806981,1873305.49930562,1302251.18601021,134399.07521503,97888.28033692,36510.7948781099
"30",2001-08-02,0.379122757136795,8.87437254974067,22.5791921829258,16.6886046490793,9.81289284527647,9.81289284527647,148242.305770006,1941431.58403748,1342309.29652928,128399.483429241,92172.5927467383,36226.890682503
"31",2001-08-03,0.377244769029587,8.80530890853039,24.3354207017398,17.8751281423537,9.76428458920681,9.76428458920681,152689.065775187,2014401.28522134,1382168.97882495,135286.814025486,99341.8543714857,35944.9596540008
"32",2001-08-04,0.375597764321116,8.73672547768987,27.0567002440193,19.7629485658715,9.72165491210184,9.72165491210184,160047.465756745,2095077.43142174,1421854.63860312,146115.628288621,110450.639352298,35664.988936323
"33",2001-08-05,0.374279210708763,8.66861912757145,24.788323450054,18.0168190345844,9.68752658541818,9.68752658541818,152640.793386512,2168625.54200128,1461400.9800066,136577.656001814,101190.690248166,35386.9657536478
"34",2001-08-06,0.372758944062473,8.60098674811718,22.8499384878363,16.5169563192517,9.64817728914023,9.64817728914023,146196.803389926,2236050.92533192,1500786.69003624,128388.708497454,93277.8310873317,35110.8774101222
"35",2001-08-07,0.371073529062239,8.53382524873968,21.1769357386788,15.2167541605583,9.60455343252444,9.60455343252444,140532.966926451,2298168.63409694,1539994.31911696,121285.024304804,86448.3130154286,34836.7112893757
"36",2001-08-08,0.369251842272381,8.46713155820377,19.7020772835436,14.0674543464585,9.55740243214255,9.55740243214255,135456.3458192,2355594.68060714,1579009.46877146,114992.112806037,80427.657952,34564.4548540373
"37",2001-08-09,0.367315041873633,8.4009026245087,19.3123006560321,13.5029175583491,9.50727192845259,9.50727192845259,132742.513722545,2410716.17968095,1617819.97609583,113130.610652071,78836.515006816,34294.0956452547
"38",2001-08-10,0.365458908703988,8.33513541477117,19.8169283109419,13.5748804122685,9.45922934710546,9.45922934710546,132644.04183193,2466131.44492556,1656434.36438949,114922.123154281,80896.501872064,34025.6212822165
"39",2001-08-11,0.363781649696071,8.32988521173272,22.6940550130252,15.2433569167247,9.41581659329779,9.41581659329779,139100.644531362,2528357.75124314,1694871.53349638,126645.673794217,92641.4848476917,34004.1889465254
"40",2001-08-12,0.362602871469955,8.32463767606966,23.6706721720028,15.6128643974295,9.38530609451217,9.38530609451217,140359.945517305,2592092.45796142,1733184.15289589,130610.990886652,96628.22338708,33982.767499572
"41",2001-08-13,0.361680199254296,8.31939280656199,23.3269092559285,15.1218102952316,9.36142442712835,9.36142442712835,138160.38940476,2653822.58765976,1771399.2827491,129186.274172907,95224.9172365301,33961.3569363764
"42",2001-08-14,0.360830860315071,8.31415060199025,26.1475431999147,16.84281446666,9.33944085625838,9.33944085625838,145006.376183489,2722578.18644147,1809524.67144999,140679.243191338,106739.285939378,33939.9572519602
"43",2001-08-15,0.360421326622836,8.30891106113547,43.6164752762107,27.9595054090279,9.32884083248566,9.32884083248566,190300.297918517,2836714.24961805,1847606.78882096,211969.385322317,178050.81688097,33918.5684413475
"44",2001-08-16,0.362472158290809,8.30367418277928,47.6218575913527,30.5767573368576,9.38192282511912,9.38192282511912,201417.80397472,2961534.43710275,1885905.59706597,228298.746146457,194401.555646892,33897.1904995647
"45",2001-08-17,0.365016256546699,8.29843996570376,38.5313045414871,24.8088516779591,9.44777211298948,9.44777211298949,178409.725744843,3062808.92751415,1924473.21473269,191167.998125245,157292.174703605,33875.82342164
"46",2001-08-18,0.366223740209429,8.29320840869157,31.795567525141,20.4533795974809,9.47902559902202,9.47902559902201,160885.018863924,3146303.54559702,1963168.41512322,163650.071620303,129795.604417699,33854.4672026039
"47",2001-08-19,0.366485433637062,8.2879795105259,27.2427579131147,17.4638893224107,9.48579905040509,9.48579905040509,148736.647289312,3217594.49105014,2001891.26604131,145043.284277327,111210.162439838,33833.1218374893
"48",2001-08-20,0.366135881960744,8.28275326999044,24.2805153409665,15.4856900947808,9.47675155040929,9.47675155040929,140587.391401214,3280810.04787541,2040577.18332929,132929.507480345,99117.720159014,33811.7873213308
"49",2001-08-21,0.365411115358352,8.27752968586941,22.5756142578239,14.311054116569,9.45799230456286,9.45799230456286,135639.144387083,3339230.51536497,2079186.52177805,125948.45061946,92157.9869702948,33790.4636491656
"50",2001-08-22,0.364493957136923,8.27230875694758,21.613294694252,13.6113614443365,9.43425335674285,9.43425335674285,132589.050836041,3394794.70317884,2117698.95328914,121998.76477339,88229.6139573577,33769.1508160326
"51",2001-08-23,0.363491658626356,8.26709048201023,21.1083267250485,13.2036905666637,9.40831070967663,9.40831070967663,130713.054408672,3448694.70028659,2156105.4819396,119916.08668087,86168.2378638965,33747.8488169733
"52",2001-08-24,0.362469799102619,8.26187485984317,20.8204719772375,12.9353551143445,9.38186176188704,9.38186176188704,129401.718276155,3501499.30061638,2194404.04091278,118719.717225343,84993.1595783121,33726.557647031
"53",2001-08-25,0.361458820392529,8.25666188923272,20.8396629747793,12.8602436118607,9.35569444387666,9.35569444387666,128881.458697055,3553997.28138808,2232595.77987545,118776.778211994,85071.5009107427,33705.2773012514
"54",2001-08-26,0.36050248114541,8.25145156896578,20.8583555157952,12.7872885572947,9.33094136752064,9.33094136752064,128381.548563235,3606197.44563567,2270686.47203328,118831.815222723,85147.8074480407,33684.0077746822
"55",2001-08-27,0.359598663869192,8.24624389782972,20.8765496002854,12.7163973691854,9.30754772544489,9.30754772544489,127901.162470992,3658108.21845782,2308681.6668577,118884.82825258,85222.0791902062,33662.7490623734
"56",2001-08-28,0.358745329190183,8.24103887461245,20.8942452282498,12.6474811347661,9.28546073222529,9.28546073222529,127439.506500912,3709737.66199427,2346586.69833993,118935.817296616,85294.3161372391,33641.5011593769
"57",2001-08-29,0.35794051287329,8.23583649810243,20.9114423996885,12.5804544630565,9.26462954726175,9.26462954726175,126995.816988477,3761093.48980236,2384406.69293012,118984.782349886,85364.5182891394,33620.2640607469
"58",2001-08-30,0.357182322958602,8.23063676708862,20.9281411146014,12.5152353439613,9.24500520066386,9.24500520066386,126569.359343783,3812183.08065853,2422146.57717393,119031.723407447,85432.6856459071,33599.0377615398
"59",2001-08-31,0.356468937009677,8.22543968036051,20.9443413729885,12.451745013127,9.22654052202787,9.22654052202787,126159.426918362,3863013.49180801,2459811.08505837,119076.640464356,85498.8182075423,33577.8222568141
"60",2001-09-01,0.355798599469075,8.22024523670812,20.9600431748499,12.3899078223156,9.20919007198953,9.20919007198953,125765.339917203,3913591.47168541,2497404.76507828,119119.533515675,85562.9159740449,33556.6175416304
