lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-05-13,7.00,1,1,,,,,,,,,
"ME",2003-05-13,8.00,1,1,,46.58,46.54,5.94,5.53,,,,
"ME",2003-05-13,9.00,1,1,,,,,,,,,
"ME",2003-05-13,10.00,1,1,,,,,,,,,
"ME",2003-05-13,11.00,1,1,,,,,,,,,
"ME",2003-05-13,12.00,1,1,,47.25,47.21,5.79,5.80,,,,
"ME",2003-05-13,13.00,1,1,,,,,,,,,
"ME",2003-05-13,14.00,1,1,,,,,,,,,
"ME",2003-05-13,15.00,1,1,,,,,,,,,
"ME",2003-05-13,16.00,1,1,,46.62,56.89,5.73,6.66,,,,
"ME",2003-05-13,17.00,1,1,,,,,,,,,
"ME",2003-05-13,18.00,1,1,,,,,,,,,
"ME",2003-05-13,19.00,1,1,,,,,,,,,
"ME",2003-05-13,20.00,1,1,,46.08,46.74,5.69,5.64,,,0.057,0.039
"ME",2003-05-13,21.00,1,1,,,,,,,,,
"ME",2003-05-13,22.00,1,1,,,,,,,,,
"ME",2003-05-13,23.00,1,1,,,,,,,,,
"ME",2003-05-13,24.00,1,1,,,,,,,,,
"ME",2003-05-13,24.50,1,1,,,,,,,,,
"ME",2003-05-13,20.00,2,1,,46.91,36.23,5.77,4.40,,,,
"ME",2003-05-27,0.00,1,1,,,,,,,,,0.028
"ME",2003-05-27,1.00,1,1,,,,,,,,,
"ME",2003-05-27,2.00,1,1,,,,,,,,,
"ME",2003-05-27,3.00,1,1,,,,,,,,,
"ME",2003-05-27,4.00,1,1,,,,,,,,,0.030
"ME",2003-05-27,5.00,1,1,,,,,,,,,
"ME",2003-05-27,6.00,1,1,,,,,,,,,
"ME",2003-05-27,7.00,1,1,,,,,,,,,
"ME",2003-05-27,8.00,1,1,,,,,,,,,
"ME",2003-05-27,9.00,1,1,,,,,,,,,
"ME",2003-05-27,10.00,1,1,,,,,,,,,
"ME",2003-05-27,11.00,1,1,,,,,,,,,
"ME",2003-05-27,12.00,1,1,,,,,,,,,
"ME",2003-05-27,13.00,1,1,,,,,,,,,
"ME",2003-05-27,14.00,1,1,,,,,,,,,
"ME",2003-05-27,15.00,1,1,,,,,,,,,
"ME",2003-05-27,16.00,1,1,,,,,,,,,
"ME",2003-05-27,17.00,1,1,,,,,,,,,
"ME",2003-05-27,18.00,1,1,,,,,,,,,
"ME",2003-05-27,19.00,1,1,,,,,,,,,
"ME",2003-05-27,20.00,1,1,,,,,,,,,
"ME",2003-05-27,21.00,1,1,,,,,,,,,
"ME",2003-05-27,22.00,1,1,,,,,,,,,
"ME",2003-05-27,23.00,1,1,,,,,,,,,
"ME",2003-05-27,24.00,1,1,,,,,,,,,
"ME",2003-05-27,24.50,1,1,,,,,,,,,
"ME",2003-06-09,0.00,1,1,,46.69,47.85,6.15,6.31,,,0.036,0.006
"ME",2003-06-09,1.00,1,1,,,,,,,,,
"ME",2003-06-09,2.00,1,1,,,,,,,,,
"ME",2003-06-09,3.00,1,1,,,,,,,,,
"ME",2003-06-09,4.00,1,1,,46.61,47.76,6.24,6.35,,,0.039,0.006
"ME",2003-06-09,5.00,1,1,,,,,,,,,
"ME",2003-06-09,6.00,1,1,,,,,,,,,
"ME",2003-06-09,7.00,1,1,,,,,,,,,
"ME",2003-06-09,8.00,1,1,,47.56,47.50,6.30,6.72,,,0.033,0.005
"ME",2003-06-09,9.00,1,1,,,,,,,,,
"ME",2003-06-09,9.50,1,1,,,,,,,,,
"ME",2003-06-09,10.00,1,1,,48.61,49.14,6.43,6.26,,,0.044,0.025
"ME",2003-06-09,10.50,1,1,,,,,,,,,
"ME",2003-06-09,11.00,1,1,,,,,,,,,
"ME",2003-06-09,11.50,1,1,,,,,,,,,
"ME",2003-06-09,12.00,1,1,,49.40,49.67,5.89,5.80,,,0.081,0.061
"ME",2003-06-09,12.50,1,1,,,,,,,,,
"ME",2003-06-09,13.00,1,1,,,,,,,,,
"ME",2003-06-09,14.00,1,1,,49.54,49.50,6.15,6.04,,,0.089,0.072
"ME",2003-06-09,15.00,1,1,,,,,,,,,
"ME",2003-06-09,16.00,1,1,,49.72,49.51,5.69,5.59,,,0.101,0.081
"ME",2003-06-09,17.00,1,1,,,,,,,,,
"ME",2003-06-09,18.00,1,1,,50.84,50.72,6.24,5.89,,,,
"ME",2003-06-09,19.00,1,1,,,,,,,,,
"ME",2003-06-09,20.00,1,1,,50.75,51.21,5.90,5.83,,,0.135,0.112
"ME",2003-06-09,21.00,1,1,,,,,,,,,
"ME",2003-06-09,22.00,1,1,,50.99,51.42,5.91,5.51,,,0.151,0.134
"ME",2003-06-09,23.00,1,1,,,,,,,,,
"ME",2003-06-09,23.80,1,1,,,,,,,,,
"ME",2003-06-09,4.00,2,1,,47.67,48.21,6.51,6.55,,,,
"ME",2003-06-23,0.00,1,1,,,,,,,,0.022,0.002
"ME",2003-06-23,1.00,1,1,,,,,,,,,
"ME",2003-06-23,2.00,1,1,,,,,,,,,
"ME",2003-06-23,3.00,1,1,,,,,,,,,
"ME",2003-06-23,4.00,1,1,,,,,,,,0.028,0.002
"ME",2003-06-23,5.00,1,1,,,,,,,,,
"ME",2003-06-23,5.50,1,1,,,,,,,,,
"ME",2003-06-23,6.00,1,1,,,,,,,,,
"ME",2003-06-23,6.50,1,1,,,,,,,,,
"ME",2003-06-23,7.00,1,1,,,,,,,,,
"ME",2003-06-23,7.50,1,1,,,,,,,,,
"ME",2003-06-23,8.00,1,1,,,,,,,,,
"ME",2003-06-23,8.50,1,1,,,,,,,,,
"ME",2003-06-23,9.00,1,1,,,,,,,,,
"ME",2003-06-23,9.50,1,1,,,,,,,,,
"ME",2003-06-23,10.00,1,1,,,,,,,,,
"ME",2003-06-23,10.50,1,1,,,,,,,,,
"ME",2003-06-23,11.00,1,1,,,,,,,,,
"ME",2003-06-23,11.50,1,1,,,,,,,,,
"ME",2003-06-23,12.00,1,1,,,,,,,,,
"ME",2003-06-23,12.50,1,1,,,,,,,,,
"ME",2003-06-23,13.00,1,1,,,,,,,,,
"ME",2003-06-23,13.50,1,1,,,,,,,,,
"ME",2003-06-23,14.00,1,1,,,,,,,,,
