"","Date","Yahara (Inflow cfs)","Six Mile (Inflow cfs)","Dorn (Inflow cfs)","Pheasant (Inflow cfs)","Yahara (Outflow cfs)","SumInflow_ft3","Inflow_m3s","Outflow_m3s","Out.vs.In"
"48",2007-11-17,84,NA,NA,1.5,212,85.5,2.4210903843,6.0031714792,2.47953216374269
"49",2007-11-18,45,NA,NA,1.5,212,46.5,1.3167333669,6.0031714792,4.55913978494624
"50",2007-11-19,85,NA,NA,1.6,211,86.6,2.45223891556,5.9748546326,2.4364896073903
"51",2007-11-20,86,NA,NA,1.9,221,87.9,2.48905081614,6.2580230986,2.51422070534698
"52",2007-11-21,89,NA,NA,2.3,214,91.3,2.58532809458,6.0598051724,2.34392113910186
"53",2007-11-22,54,NA,NA,1.9,214,55.9,1.58291172494,6.0598051724,3.82826475849732
"54",2007-11-23,48,NA,NA,1.6,216,49.6,1.40451559136,6.1164388656,4.35483870967742
"55",2007-11-24,75,NA,NA,1.5,215,76.5,2.1662387649,6.088122019,2.81045751633987
"56",2007-11-25,65,NA,NA,1.5,215,66.5,1.8830702989,6.088122019,3.23308270676692
"57",2007-11-26,113,NA,NA,1.6,234,114.6,3.24511062036,6.6261421044,2.04188481675393
"58",2007-11-27,74,NA,NA,1.6,266,75.6,2.14075360296,7.5322811956,3.51851851851852
"59",2007-11-28,64,NA,NA,1.5,269,65.5,1.8547534523,7.6172317354,4.10687022900763
"60",2007-11-29,76,NA,NA,1.5,259,77.5,2.1945556115,7.3340632694,3.34193548387097
"61",2007-11-30,69,NA,NA,1.5,252,70.5,1.9963376853,7.1358453432,3.57446808510638
"62",2007-12-01,53,NA,NA,1.5,252,54.5,1.5432681397,7.1358453432,4.62385321100917
"63",2007-12-02,82,NA,NA,1.8,257,83.8,2.37295174508,7.2774295762,3.06682577565632
"64",2007-12-03,79,NA,NA,2,252,81,2.2936645746,7.1358453432,3.11111111111111
"65",2007-12-04,73,NA,NA,1.8,250,74.8,2.11810012568,7.07921165,3.34224598930481
"66",2007-12-05,66,NA,NA,1.8,247,67.8,1.91988219948,6.9942611102,3.64306784660767
"67",2007-12-06,59,NA,NA,1.7,250,60.7,1.71883258862,7.07921165,4.11861614497529
"68",2007-12-07,74,NA,NA,1.6,248,75.6,2.14075360296,7.0225779568,3.28042328042328
"69",2007-12-08,65,NA,NA,1.5,242,66.5,1.8830702989,6.8526768772,3.6390977443609
"70",2007-12-09,67,NA,NA,1.5,247,68.5,1.9397039921,6.9942611102,3.60583941605839
"71",2007-12-10,67,NA,NA,1.5,246,68.5,1.9397039921,6.9659442636,3.59124087591241
"72",2007-12-11,66,NA,NA,1.7,246,67.7,1.91705051482,6.9659442636,3.63367799113737
"73",2007-12-12,69,NA,NA,1.6,243,70.6,1.99916936996,6.8809937238,3.44192634560907
"74",2007-12-13,69,NA,NA,1.6,244,70.6,1.99916936996,6.9093105704,3.45609065155807
"75",2007-12-14,72,NA,NA,1.6,241,73.6,2.08411990976,6.8243600306,3.27445652173913
"76",2007-12-15,65,NA,NA,1.5,244,66.5,1.8830702989,6.9093105704,3.66917293233083
"77",2007-12-16,62,NA,NA,1.5,240,63.5,1.7981197591,6.796043184,3.77952755905512
"78",2007-12-17,63,NA,NA,1.5,243,64.5,1.8264366057,6.8809937238,3.76744186046512
"79",2007-12-18,69,NA,NA,1.5,242,70.5,1.9963376853,6.8526768772,3.43262411347518
"80",2007-12-19,69,NA,NA,1.5,240,70.5,1.9963376853,6.796043184,3.40425531914894
"81",2007-12-20,72,NA,NA,1.5,241,73.5,2.0812882251,6.8243600306,3.27891156462585
"82",2007-12-21,75,NA,NA,1.7,191,76.7,2.17190213422,5.4085177006,2.49022164276402
"83",2007-12-22,80,NA,NA,3.1,166,83.1,2.35312995246,4.7005965356,1.99759326113117
"84",2007-12-23,105,NA,NA,12,169,117,3.3130710522,4.7855470754,1.44444444444444
"85",2007-12-24,124,NA,NA,7.9,160,131.9,3.73499206654,4.530695456,1.21304018195603
"86",2007-12-25,106,NA,NA,5.6,161,111.6,3.16016008056,4.5590123026,1.4426523297491
"87",2007-12-26,87,NA,NA,4.2,161,91.2,2.58249640992,4.5590123026,1.76535087719298
"88",2007-12-27,81,NA,NA,3.3,156,84.3,2.38711016838,4.4174280696,1.85053380782918
"89",2007-12-28,76,NA,NA,2.8,158,78.8,2.23136751208,4.4740617628,2.00507614213198
"90",2007-12-29,73,NA,NA,2.4,160,75.4,2.13509023364,4.530695456,2.12201591511936
"91",2007-12-30,72,NA,NA,2.2,157,74.2,2.10111001772,4.4457449162,2.11590296495957
"92",2007-12-31,73,NA,NA,2.1,158,75.1,2.12659517966,4.4740617628,2.10386151797603
"93",2008-01-01,65,NA,NA,2,162,67,1.8972287222,4.5873291492,2.41791044776119
"94",2008-01-02,62,NA,NA,1.9,157,63.9,1.80944649774,4.4457449162,2.45696400625978
"95",2008-01-03,64,NA,NA,1.7,160,65.7,1.86041682162,4.530695456,2.43531202435312
"96",2008-01-04,65,NA,NA,1.7,161,66.7,1.88873366822,4.5590123026,2.41379310344828
"97",2008-01-05,72,NA,NA,1.8,163,73.8,2.08978327908,4.6156459958,2.20867208672087
"98",2008-01-06,95,NA,NA,7.8,167,102.8,2.91097183048,4.7289133822,1.62451361867704
"99",2008-01-07,155,NA,NA,51,175,206,5.8332703996,4.955448155,0.849514563106796
"100",2008-01-08,256,NA,NA,55,166,311,8.8065392926,4.7005965356,0.533762057877814
"101",2008-01-09,285,NA,NA,31,164,316,8.9481235256,4.6439628424,0.518987341772152
"102",2008-01-10,228,NA,NA,19,165,247,6.9942611102,4.672279689,0.668016194331984
"103",2008-01-11,147,NA,NA,16,164,163,4.6156459958,4.6439628424,1.00613496932515
"104",2008-01-12,136,NA,NA,11,165,147,4.1625764502,4.672279689,1.12244897959184
"105",2008-01-13,109,NA,NA,8.1,165,117.1,3.31590273686,4.672279689,1.40905209222886
"106",2008-01-14,104,NA,NA,6.1,165,110.1,3.11768481066,4.672279689,1.49863760217984
"107",2008-01-15,89,NA,NA,4.7,167,93.7,2.65328852642,4.7289133822,1.78228388473853
"108",2008-01-16,81,NA,NA,4.2,168,85.2,2.41259533032,4.7572302288,1.97183098591549
"109",2008-01-17,79,NA,NA,4.1,169,83.1,2.35312995246,4.7855470754,2.03369434416366
"110",2008-01-18,76,NA,NA,3.5,167,79.5,2.2511893047,4.7289133822,2.10062893081761
"111",2008-01-19,70,NA,NA,2.8,165,72.8,2.06146643248,4.672279689,2.26648351648352
"112",2008-01-20,67,NA,NA,2.5,165,69.5,1.9680208387,4.672279689,2.37410071942446
"113",2008-01-21,72,NA,NA,2.4,170,74.4,2.10677338704,4.813863922,2.28494623655914
"114",2008-01-22,74,NA,NA,2.5,168,76.5,2.1662387649,4.7572302288,2.19607843137255
"115",2008-01-23,76,NA,NA,2.4,169,78.4,2.22004077344,4.7855470754,2.15561224489796
"116",2008-01-24,68,NA,NA,2.3,165,70.3,1.99067431598,4.672279689,2.34708392603129
"117",2008-01-25,70,NA,NA,2.2,167,72.2,2.04447632452,4.7289133822,2.31301939058172
"118",2008-01-26,72,NA,NA,2.3,169,74.3,2.10394170238,4.7855470754,2.27456258411844
"119",2008-01-27,69,NA,NA,2.3,163,71.3,2.01899116258,4.6156459958,2.28611500701262
"120",2008-01-28,74,NA,NA,2.8,170,76.8,2.17473381888,4.813863922,2.21354166666667
"121",2008-01-29,82,NA,NA,5.5,170,87.5,2.4777240775,4.813863922,1.94285714285714
"122",2008-01-30,64,NA,NA,4.8,166,68.8,1.94819904608,4.7005965356,2.41279069767442
"123",2008-01-31,86,NA,NA,3.3,168,89.3,2.52869440138,4.7572302288,1.88129899216125
"124",2008-02-01,82,NA,NA,2.8,167,84.8,2.40126859168,4.7289133822,1.96933962264151
"125",2008-02-02,79,NA,NA,2.6,169,81.6,2.31065468256,4.7855470754,2.07107843137255
"126",2008-02-03,75,NA,NA,2.6,167,77.6,2.19738729616,4.7289133822,2.1520618556701
"127",2008-02-04,78,NA,NA,4.2,170,82.2,2.32764479052,4.813863922,2.06812652068127
"128",2008-02-05,81,NA,NA,5.6,166,86.6,2.45223891556,4.7005965356,1.91685912240185
"129",2008-02-06,70,NA,NA,4.6,169,74.6,2.11243675636,4.7855470754,2.26541554959786
"130",2008-02-07,72,NA,NA,3.7,164,75.7,2.14358528762,4.6439628424,2.1664464993395
"131",2008-02-08,86,NA,NA,3.2,166,89.2,2.52586271672,4.7005965356,1.8609865470852
"132",2008-02-09,78,NA,NA,2.9,164,80.9,2.29083288994,4.6439628424,2.02719406674907
"133",2008-02-10,69,NA,NA,2.1,150,71.1,2.01332779326,4.24752699,2.10970464135021
"134",2008-02-11,80,NA,NA,1.9,157,81.9,2.31914973654,4.4457449162,1.91697191697192
"135",2008-02-12,76,NA,NA,2.1,167,78.1,2.21154571946,4.7289133822,2.13828425096031
"136",2008-02-13,79,NA,NA,2.3,167,81.3,2.30215962858,4.7289133822,2.05412054120541
"137",2008-02-14,82,NA,NA,2.3,169,84.3,2.38711016838,4.7855470754,2.00474495848161
"138",2008-02-15,80,NA,NA,2.2,166,82.2,2.32764479052,4.7005965356,2.01946472019465
"139",2008-02-16,76,NA,NA,2.1,167,78.1,2.21154571946,4.7289133822,2.13828425096031
"140",2008-02-17,95,NA,NA,4.3,179,99.3,2.81186286738,5.0687155414,1.80261832829809
"141",2008-02-18,133,NA,NA,5.6,169,138.6,3.92471493876,4.7855470754,1.21933621933622
"142",2008-02-19,111,NA,NA,4.7,166,115.7,3.27625915162,4.7005965356,1.43474503025065
"143",2008-02-20,108,NA,NA,3.8,167,111.8,3.16582344988,4.7289133822,1.49373881932021
"144",2008-02-21,96,NA,NA,3,169,99,2.8033678134,4.7855470754,1.70707070707071
"145",2008-02-22,94,NA,NA,2.7,165,96.7,2.73823906622,4.672279689,1.70630816959669
"146",2008-02-23,90,NA,NA,2.6,159,92.6,2.62213999516,4.5023786094,1.7170626349892
"147",2008-02-24,88,NA,NA,2.4,161,90.4,2.55984293264,4.5590123026,1.78097345132743
"148",2008-02-25,93,NA,NA,2.5,168,95.5,2.7042588503,4.7572302288,1.75916230366492
"149",2008-02-26,91,NA,NA,2.4,167,93.4,2.64479347244,4.7289133822,1.78800856531049
"150",2008-02-27,83,NA,NA,2.3,165,85.3,2.41542701498,4.672279689,1.93434935521688
"151",2008-02-28,71,NA,NA,2.1,168,73.1,2.06996148646,4.7572302288,2.29822161422709
"152",2008-02-29,80,NA,NA,2.3,169,82.3,2.33047647518,4.7855470754,2.05346294046173
"153",2008-03-01,77,NA,NA,2.3,168,79.3,2.24552593538,4.7572302288,2.11853720050441
"154",2008-03-02,79,NA,NA,6.6,181,85.6,2.42392206896,5.1253492346,2.11448598130841
"155",2008-03-03,167,NA,NA,49,182,216,6.1164388656,5.1536660812,0.842592592592593
"156",2008-03-04,190,NA,NA,22,169,212,6.0031714792,4.7855470754,0.797169811320755
"157",2008-03-05,144,NA,NA,16,167,160,4.530695456,4.7289133822,1.04375
"158",2008-03-06,115,NA,NA,11,165,126,3.5679226716,4.672279689,1.30952380952381
"159",2008-03-07,97,NA,NA,7.4,164,104.4,2.95627878504,4.6439628424,1.57088122605364
"160",2008-03-08,85,NA,NA,4.8,167,89.8,2.54285282468,4.7289133822,1.85968819599109
"161",2008-03-09,86,NA,NA,3.8,167,89.8,2.54285282468,4.7289133822,1.85968819599109
"162",2008-03-10,80,NA,NA,3.5,165,83.5,2.3644566911,4.672279689,1.97604790419162
"163",2008-03-11,83,NA,NA,4,169,87,2.4635656542,4.7855470754,1.94252873563218
"164",2008-03-12,94,NA,NA,6.4,171,100.4,2.84301139864,4.8421807686,1.70318725099602
"165",2008-03-13,118,NA,NA,25,174,143,4.0493090638,4.9271313084,1.21678321678322
"166",2008-03-14,217,NA,NA,39,171,256,7.2491127296,4.8421807686,0.66796875
"167",2008-03-15,275,NA,NA,31,169,306,8.6649550596,4.7855470754,0.552287581699346
"168",2008-03-16,254,NA,NA,22,170,276,7.8154496616,4.813863922,0.615942028985507
"169",2008-03-17,184,NA,NA,17,172,201,5.6916861666,4.8704976152,0.855721393034826
"170",2008-03-18,160,NA,NA,16,170,176,4.9837650016,4.813863922,0.965909090909091
"171",2008-03-19,201,NA,NA,18,170,219,6.2013894054,4.813863922,0.776255707762557
"172",2008-03-20,233,NA,NA,17,178,250,7.07921165,5.0403986948,0.712
"173",2008-03-21,223,NA,NA,13,202,236,6.6827757976,5.7200030132,0.855932203389831
"174",2008-03-22,137,NA,NA,9,209,146,4.1342596036,5.9182209394,1.43150684931507
"175",2008-03-23,133,NA,NA,8.1,210,141.1,3.99550705526,5.946537786,1.48830616583983
"176",2008-03-24,124,NA,NA,8.1,209,132.1,3.74065543586,5.9182209394,1.58213474640424
"177",2008-03-25,148,NA,NA,14,211,162,4.5873291492,5.9748546326,1.30246913580247
"178",2008-03-26,223,NA,NA,20,208,243,6.8809937238,5.8899040928,0.8559670781893
"179",2008-03-27,231,NA,NA,13,234,244,6.9093105704,6.6261421044,0.959016393442623
"180",2008-03-28,162,NA,NA,9.2,240,171.2,4.84784413792,6.796043184,1.4018691588785
"181",2008-03-29,146,NA,NA,7.6,239,153.6,4.34946763776,6.7677263374,1.55598958333333
"182",2008-03-30,135,NA,NA,6.3,238,141.3,4.00117042458,6.7394094908,1.68435951875442
"183",2008-03-31,177,NA,NA,19,253,196,5.5501019336,7.1641621898,1.29081632653061
"184",2008-04-01,233,NA,NA,28,269,261,7.3906969626,7.6172317354,1.03065134099617
"185",2008-04-02,198,NA,NA,14,292,212,6.0031714792,8.2685192072,1.37735849056604
"186",2008-04-03,160,NA,NA,11,294,171,4.8421807686,8.3251529004,1.71929824561404
"187",2008-04-04,145,NA,NA,12,286,157,4.4457449162,8.0986181276,1.82165605095541
"188",2008-04-05,133,NA,NA,9.2,272,142.2,4.02665558652,7.7021822752,1.91279887482419
"189",2008-04-06,130,NA,NA,7.7,287,137.7,3.89922977682,8.1269349742,2.08424110384895
"190",2008-04-07,116,NA,NA,8,280,124,3.5112889784,7.928717048,2.25806451612903
"191",2008-04-08,162,NA,NA,14,302,176,4.9837650016,8.5516876732,1.71590909090909
"192",2008-04-09,228,NA,NA,39,290,267,7.5605980422,8.211885514,1.08614232209738
"193",2008-04-10,276,NA,NA,62,314,338,9.5710941508,8.8914898324,0.928994082840237
"194",2008-04-11,410,NA,NA,244,302,654,18.5192176764,8.5516876732,0.46177370030581
"195",2008-04-12,543,NA,NA,33,314,576,16.3105036416,8.8914898324,0.545138888888889
"196",2008-04-13,290,NA,NA,20,368,310,8.778222446,10.4205995488,1.18709677419355
"197",2008-04-14,165,NA,NA,14,421,179,5.0687155414,11.9213924186,2.35195530726257
"198",2008-04-15,80,NA,NA,10,437,90,2.548516194,12.3744619642,4.85555555555556
"199",2008-04-16,180,NA,NA,7.8,432,187.8,5.31790379148,12.2328777312,2.30031948881789
"200",2008-04-17,195,NA,NA,6.6,354,201.6,5.70867627456,10.0241636964,1.75595238095238
"201",2008-04-18,148,NA,NA,15,300,163,4.6156459958,8.49505398,1.84049079754601
"202",2008-04-19,182,NA,NA,19,302,201,5.6916861666,8.5516876732,1.50248756218905
"203",2008-04-20,169,NA,NA,10,388,179,5.0687155414,10.9869364808,2.16759776536313
"204",2008-04-21,142,NA,NA,7.5,438,149.5,4.2333685667,12.4027788108,2.92976588628763
"205",2008-04-22,140,NA,NA,6.8,466,146.8,4.15691308088,13.1956505156,3.17438692098093
"206",2008-04-23,137,NA,NA,6,462,143,4.0493090638,13.0823831292,3.23076923076923
"207",2008-04-24,122,NA,NA,7.2,386,129.2,3.65853658072,10.9303027876,2.98761609907121
"208",2008-04-25,187,NA,NA,196,358,383,10.8453522478,10.1374310828,0.934725848563969
"209",2008-04-26,412,NA,NA,33,330,445,12.600996737,9.344559378,0.741573033707865
"210",2008-04-27,319,NA,NA,16,331,335,9.486143611,9.3728762246,0.988059701492537
"211",2008-04-28,172,NA,NA,12,342,184,5.2102997744,9.6843615372,1.85869565217391
"212",2008-04-29,146,NA,NA,8.7,388,154.7,4.38061616902,10.9869364808,2.50808015513898
"213",2008-04-30,153,NA,NA,7,414,160,4.530695456,11.7231744924,2.5875
"214",2008-05-01,136,NA,NA,6.3,414,142.3,4.02948727118,11.7231744924,2.90934645115952
"215",2008-05-02,84,NA,NA,13,416,97,2.7467341202,11.7798081856,4.28865979381443
"216",2008-05-03,187,NA,NA,9.7,409,196.7,5.56992372622,11.5815902594,2.07930859176411
"217",2008-05-04,117,NA,NA,6.8,439,123.8,3.50562560908,12.4310956574,3.54604200323102
"218",2008-05-05,149,NA,NA,5.8,452,154.8,4.38344785368,12.7992146632,2.91989664082687
"219",2008-05-06,92,NA,NA,5.4,454,97.4,2.75806085884,12.8558483564,4.6611909650924
"220",2008-05-07,169,NA,NA,8.6,455,177.6,5.02907195616,12.884165203,2.56193693693694
"221",2008-05-08,125,NA,NA,5.7,454,130.7,3.70101185062,12.8558483564,3.47360367253252
"222",2008-05-09,123,NA,NA,5.1,449,128.1,3.62738804946,12.7142641234,3.50507416081187
"223",2008-05-10,129,NA,NA,4.7,449,133.7,3.78596239042,12.7142641234,3.35826477187734
"224",2008-05-11,117,NA,NA,6.4,448,123.4,3.49429887044,12.6859472768,3.63047001620746
"225",2008-05-12,110,NA,NA,5.2,443,115.2,3.26210072832,12.5443630438,3.84548611111111
"226",2008-05-13,77,NA,NA,4.7,440,81.7,2.31348636722,12.459412504,5.38555691554467
"227",2008-05-14,160,NA,NA,4.7,439,164.7,4.66378463502,12.4310956574,2.66545233758349
"228",2008-05-15,108,NA,NA,4.3,438,112.3,3.17998187318,12.4027788108,3.90026714158504
"229",2008-05-16,100,NA,NA,4.1,432,104.1,2.94778373106,12.2328777312,4.14985590778098
"230",2008-05-17,123,NA,NA,4.2,431,127.2,3.60190288752,12.2045608846,3.38836477987421
"231",2008-05-18,110,NA,NA,3.5,428,113.5,3.2139620891,12.1196103448,3.77092511013216
"232",2008-05-19,107,NA,NA,4.4,426,111.4,3.15449671124,12.0629766516,3.82405745062837
"233",2008-05-20,103,NA,NA,4.3,422,107.3,3.03839764018,11.9497092652,3.93289841565704
"234",2008-05-21,105,NA,NA,4,421,109,3.0865362794,11.9213924186,3.86238532110092
"235",2008-05-22,104,NA,NA,4.3,422,108.3,3.06671448678,11.9497092652,3.89658356417359
"236",2008-05-23,98,NA,NA,6.9,334,104.9,2.97043720834,9.4578267644,3.18398474737846
"237",2008-05-24,83,NA,NA,5.7,242,88.7,2.51170429342,6.8526768772,2.728297632469
"238",2008-05-25,64,NA,NA,5.4,248,69.4,1.96518915404,7.0225779568,3.57348703170029
"239",2008-05-26,132,NA,NA,8.3,243,140.3,3.97285357798,6.8809937238,1.7320028510335
"240",2008-05-27,91,NA,NA,4.9,239,95.9,2.71558558894,6.7677263374,2.49217935349322
"241",2008-05-28,81,NA,NA,4,237,85,2.406931961,6.7110926442,2.78823529411765
"242",2008-05-29,89,NA,NA,4.1,239,93.1,2.63629841846,6.7677263374,2.5671321160043
"243",2008-05-30,136,NA,NA,26,260,162,4.5873291492,7.362380116,1.60493827160494
"244",2008-05-31,143,NA,NA,17,243,160,4.530695456,6.8809937238,1.51875
"245",2008-06-01,104,NA,NA,12,244,116,3.2847542056,6.9093105704,2.10344827586207
"246",2008-06-02,98,NA,NA,9.1,238,107.1,3.03273427086,6.7394094908,2.22222222222222
"247",2008-06-03,100,NA,NA,7.9,237,107.9,3.05538774814,6.7110926442,2.19647822057461
"248",2008-06-04,88,NA,NA,5.4,239,93.4,2.64479347244,6.7677263374,2.55888650963597
"249",2008-06-05,142,NA,NA,40,258,182,5.1536660812,7.3057464228,1.41758241758242
"250",2008-06-06,156,NA,NA,23,280,179,5.0687155414,7.928717048,1.56424581005587
"251",2008-06-07,233,NA,NA,17,333,250,7.07921165,9.4295099178,1.332
"252",2008-06-08,549,NA,NA,327,392,876,24.8055576216,11.1002038672,0.447488584474886
"253",2008-06-09,1450,NA,NA,307,326,1757,49.7526994762,9.2312919916,0.185543540125213
"254",2008-06-10,1420,NA,NA,36,336,1456,41.2293286496,9.5144604576,0.230769230769231
"255",2008-06-11,981,NA,NA,23,451,1004,28.4301139864,12.7708978166,0.449203187250996
"256",2008-06-12,507,NA,NA,30,594,537,15.2061466242,16.8202068804,1.10614525139665
"257",2008-06-13,660,NA,NA,164,579,824,23.3330815984,16.3954541814,0.702669902912621
"258",2008-06-14,805,NA,NA,31,602,836,23.6728837576,17.0467416532,0.720095693779904
"259",2008-06-15,514,NA,NA,25,632,539,15.2627803174,17.8962470512,1.17254174397032
"260",2008-06-16,300,NA,NA,17,630,317,8.9764403722,17.839613358,1.98738170347003
"261",2008-06-17,228,NA,NA,13,625,241,6.8243600306,17.698029125,2.59336099585062
"262",2008-06-18,222,NA,NA,10,622,232,6.5695084112,17.6130785852,2.68103448275862
"263",2008-06-19,202,NA,NA,7.5,613,209.5,5.9323793627,17.3582269658,2.92601431980907
"264",2008-06-20,201,NA,NA,6,606,207,5.8615872462,17.1600090396,2.92753623188406
"265",2008-06-21,186,NA,NA,5.3,598,191.3,5.41701275458,16.9334742668,3.12598013591218
"266",2008-06-22,191,NA,NA,5,568,196,5.5501019336,16.0839688688,2.89795918367347
"267",2008-06-23,187,NA,NA,5.4,547,192.4,5.44816128584,15.4893150902,2.84303534303534
"268",2008-06-24,173,NA,NA,5,524,178,5.0403986948,14.8380276184,2.9438202247191
"269",2008-06-25,158,NA,NA,4.8,451,162.8,4.60998262648,12.7708978166,2.77027027027027
"270",2008-06-26,173,NA,NA,4.8,449,177.8,5.03473532548,12.7142641234,2.52530933633296
"271",2008-06-27,133,NA,NA,5,408,138,3.9077248308,11.5532734128,2.95652173913043
"272",2008-06-28,209,NA,NA,4.8,362,213.8,6.05414180308,10.2506984692,1.69317118802619
"273",2008-06-29,261,NA,NA,4.7,364,265.7,7.52378614162,10.3073321624,1.36996612721114
"274",2008-06-30,176,NA,NA,4.4,360,180.4,5.10835912664,10.194064776,1.99556541019956
"275",2008-07-01,140,NA,NA,4.3,329,144.3,4.08612096438,9.3162425314,2.27997227997228
"276",2008-07-02,172,NA,NA,4.3,322,176.3,4.99226005558,9.1180246052,1.82643221781055
"277",2008-07-03,135,NA,NA,4.3,247,139.3,3.94453673138,6.9942611102,1.77315147164393
"278",2008-07-04,125,NA,NA,4,203,129,3.6528732114,5.7483198598,1.57364341085271
"279",2008-07-05,120,NA,NA,3.9,224,123.9,3.50845729374,6.3429736384,1.80790960451977
"280",2008-07-06,120,NA,NA,4,260,124,3.5112889784,7.362380116,2.09677419354839
"281",2008-07-07,146,NA,NA,13,219,159,4.5023786094,6.2013894054,1.37735849056604
"282",2008-07-08,261,NA,NA,39,217,300,8.49505398,6.1447557122,0.723333333333333
"283",2008-07-09,231,NA,NA,17,227,248,7.0225779568,6.4279241782,0.915322580645161
"284",2008-07-10,141,NA,NA,12,231,153,4.3324775298,6.5411915646,1.50980392156863
