lakeid,year4,daynum,sampledate,sta,secview,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
"MO",2006,277,2006-10-04,1,,1.50,1400,1515,11.0,"NE",15,30,100,
"MO",2006,303,2006-10-30,1,,1.30,1215,1315,18.0,"S",15,25,50,
"MO",2006,345,2006-12-11,1,,4.70,1330,1430,2.2,"S",8,12,100,
"MO",2007,5,2007-01-05,1,,5.20,1300,1410,9.0,"N",5,0,75,
"MO",2007,57,2007-02-26,1,,6.40,1315,1515,0.0,"N",5,,100,1
"MO",2007,93,2007-04-03,1,,1.40,1400,1500,12.0,,0,0,100,
"MO",2007,107,2007-04-17,1,,2.10,1200,1400,14.0,"E",20,30,0,
"MO",2007,122,2007-05-02,1,,5.20,1100,1230,15.0,"E",10,15,50,
"MO",2007,141,2007-05-21,1,,5.50,1100,1300,22.0,"S",5,10,0,
"MO",2007,149,2007-05-29,1,,3.90,1300,1415,27.0,"SE",15,30,30,
"MO",2007,162,2007-06-11,1,,3.10,1315,1500,28.0,"S",15,15,5,
"MO",2007,176,2007-06-25,1,,2.30,1300,1400,25.0,"SW",20,15,90,
"MO",2007,190,2007-07-09,1,,1.50,1420,1545,29.0,"N",10,25,50,
"MO",2007,204,2007-07-23,1,,1.50,1245,1328,25.0,"S",10,20,10,
"MO",2007,219,2007-08-07,1,,1.50,1005,1145,26.0,"SW",10,20,60,
"MO",2007,232,2007-08-20,1,,2.00,1300,1345,19.0,"NE",5,20,100,
"MO",2007,247,2007-09-04,1,,1.90,1230,1400,27.0,"SW",10,25,0,
"MO",2007,277,2007-10-04,1,,1.10,1100,1200,23.0,"SW",10,15,0,
"MO",2007,302,2007-10-29,1,,1.30,1146,1247,12.0,"SW",15,50,30,
"MO",2007,330,2007-11-26,1,,1.50,1300,1400,2.0,"N",15,30,100,
"MO",2008,63,2008-03-03,1,,10.00,1200,1400,-6.0,"NW",20,,100,1
"MO",2008,108,2008-04-17,1,,2.10,1130,1305,11.0,"NE",5,10,90,
"MO",2008,121,2008-04-30,1,,4.50,1236,1420,10.0,"S",15,15,40,
"MO",2008,135,2008-05-14,1,,6.50,1030,1205,13.0,"N",15,20,10,
"MO",2008,149,2008-05-28,1,,6.00,1237,1324,18.0,"NW",5,2,20,
"MO",2008,162,2008-06-10,1,,3.80,1130,1347,25.0,"W",25,60,40,
"MO",2008,176,2008-06-24,1,,2.20,1240,1330,26.0,"SW",10,15,60,
"MO",2008,190,2008-07-08,1,,2.00,1110,1240,22.0,"SW",6,10,100,
"MO",2008,203,2008-07-21,1,,1.70,1306,1409,25.0,,0,0,60,
"MO",2008,218,2008-08-05,1,,1.50,955,1145,25.0,"N",12,20,60,
"MO",2008,231,2008-08-18,1,,1.20,1225,1307,26.0,"W",5,10,50,
"MO",2008,249,2008-09-05,1,,1.40,1325,1450,22.0,"NW",3,10,25,
"MO",2008,273,2008-09-29,1,,1.30,1250,1350,20.0,"NW",5,8,90,
"MO",2008,305,2008-10-31,1,,1.40,1350,1500,19.0,,0,5,5,
"MO",2009,36,2009-02-05,1,,10.10,1200,1420,-5.0,"SW",15,,10,1
"MO",2009,107,2009-04-17,1,,1.30,1215,1345,15.0,,0,0,0,
"MO",2009,119,2009-04-29,1,,1.80,1200,1300,14.0,"SE",5,20,100,
"MO",2009,131,2009-05-11,1,,5.90,1321,1425,20.0,,0,2,60,
"MO",2009,148,2009-05-28,1,,6.10,1245,1400,19.0,"N",10,15,100,
"MO",2009,161,2009-06-10,1,,4.10,1100,1300,21.0,"E",5,5,0,
"MO",2009,174,2009-06-23,1,,5.10,1030,1102,29.0,,0,0,0,
"MO",2009,190,2009-07-09,1,,1.70,1030,1145,23.0,"S",5,3,10,
"MO",2009,201,2009-07-20,1,,1.10,1120,1155,24.0,"E",5,5,50,
"MO",2009,216,2009-08-04,1,,1.10,1010,1145,24.0,"NW",5,5,75,
"MO",2009,232,2009-08-20,1,,1.40,1245,1335,21.0,"W",20,50,75,
"MO",2009,247,2009-09-04,1,,0.90,1055,1205,23.0,,0,0,30,
"MO",2009,273,2009-09-30,1,,1.40,1320,1415,10.0,"SW",5,5,10,
"MO",2009,303,2009-10-30,1,,2.60,1107,1155,17.0,"SW",20,45,100,
"MO",2009,338,2009-12-04,1,,4.90,1250,1315,-5.0,"NW",15,50,25,
"MO",2010,34,2010-02-03,1,,4.30,1010,1135,-4.0,"N",5,,25,1
"MO",2010,90,2010-03-31,1,,1.30,1100,1200,16.0,"WSW",15,30,10,
"MO",2010,102,2010-04-12,1,,1.30,1030,1150,13.0,"SE",10,15,100,
"MO",2010,117,2010-04-27,1,,2.50,1400,1430,14.0,"NE",10,25,0,
"MO",2010,133,2010-05-13,1,,4.20,1030,1130,10.0,"S",5,10,100,
"MO",2010,145,2010-05-25,1,,4.80,1030,1130,27.0,"SW",5,15,90,
"MO",2010,160,2010-06-09,1,,2.50,930,1200,24.0,"w",18,35,10,
"MO",2010,172,2010-06-21,1,,1.50,1100,1215,21.0,"SE",10,15,95,
"MO",2010,187,2010-07-06,1,,1.60,900,1015,26.0,"SW",10,20,95,
"MO",2010,201,2010-07-20,1,,1.00,1030,1115,26.0,"W",5,10,70,
"MO",2010,216,2010-08-04,1,,1.00,1000,1230,25.0,"E",5,10,95,
"MO",2010,228,2010-08-16,1,,1.20,1045,1130,25.0,"NW",18,30,5,
"MO",2010,242,2010-08-30,1,,1.10,1130,1300,28.0,"S",15,20,70,
"MO",2010,281,2010-10-08,1,,1.10,1230,1400,25.0,"w",10,20,0,
"MO",2010,306,2010-11-02,1,,1.70,1145,1315,10.0,"SW",5,5,0,
"MO",2011,26,2011-01-26,1,,8.50,1200,1430,-5.0,"N",5,,100,
"MO",2011,111,2011-04-21,1,,2.10,1100,1300,11.0,"S",5,10,80,
"MO",2011,123,2011-05-03,1,,2.00,1130,1200,6.0,"ne",10,10,100,
"MO",2011,137,2011-05-17,1,,4.90,1400,1600,15.0,"E",15,15,5,
"MO",2011,152,2011-06-01,1,,3.10,1145,1300,23.0,"nw",20,20,20,
"MO",2011,165,2011-06-14,1,,2.60,1010,1110,23.0,"NE",10,15,70,
"MO",2011,179,2011-06-28,1,,2.00,1130,1300,22.0,"W",10,15,0,
"MO",2011,193,2011-07-12,1,,1.75,1015,1215,25.0,"NE",5,5,10,
"MO",2011,207,2011-07-26,1,,1.60,1200,1300,30.0,"E",5,15,10,
"MO",2011,221,2011-08-09,1,,1.30,1030,1230,26.0,"NW",15,30,40,
"MO",2011,236,2011-08-24,1,,1.20,1000,1040,28.0,"W",7,10,0,
"MO",2011,256,2011-09-13,1,,2.30,1030,1230,20.0,"N",10,30,0,
"MO",2011,277,2011-10-04,1,,0.90,1030,1230,22.0,"NA",0,0,0,
"MO",2011,305,2011-11-01,1,,1.20,1130,1300,14.0,"SW",15,30,30,
"MO",2012,96,2012-04-05,1,,4.00,1200,1400,11.0,"E",15,50,10,
"MO",2012,109,2012-04-18,1,,4.00,1000,1200,18.0,"SW",20,50,80,
"MO",2012,124,2012-05-03,1,,5.00,1100,1200,25.0,"SW",5,10,50,
"MO",2012,137,2012-05-16,1,,0.70,1030,1200,20.0,"NW",2,1,5,
"MO",2012,151,2012-05-30,1,,2.70,1045,1215,16.0,"NW",10,20,90,
"MO",2012,164,2012-06-12,1,,2.30,1115,1315,18.0,"NW",10,30,40,
"MO",2012,178,2012-06-26,1,,1.10,1230,1330,26.0,"NW",5,5,10,
"MO",2012,193,2012-07-11,1,,1.50,1100,1215,26.0,"NE",5,10,5,
"MO",2012,206,2012-07-24,1,,1.60,1250,1400,24.0,"S",2,5,60,
"MO",2012,220,2012-08-07,1,,1.10,1000,1300,28.0,"W",5,10,0,
"MO",2012,234,2012-08-21,1,,1.20,1020,1110,24.0,"N/A",0,0,2,
"MO",2012,249,2012-09-05,1,,1.70,1130,1300,26.0,"NW",20,30,20,
"MO",2012,276,2012-10-02,1,,1.10,1130,1300,17.0,"E",3,10,0,
"MO",2012,306,2012-11-01,1,,2.20,1130,1330,7.0,"NW",5,20,50,
"MO",2013,36,2013-02-05,1,4.7,,1200,1430,-2.0,"nw",10,,100,
"MO",2013,128,2013-05-08,1,,1.70,10,12,22.0,"NE",2,0,30,
"MO",2013,135,2013-05-15,1,,5.40,12,2,25.0,"N",10,2,50,
"MO",2013,149,2013-05-29,1,,5.00,12,1,23.0,"SW",7,20,30,
"MO",2013,162,2013-06-11,1,,4.30,10,12,25.0,,0,0,70,
"MO",2013,176,2013-06-25,1,,1.90,11,12,21.0,,0,0,100,
"MO",2013,189,2013-07-08,1,,1.10,14,16,27.0,"W",5,5,60,
"MO",2013,203,2013-07-22,1,,1.00,13,13,25.0,"W",5,10,15,
"MO",2013,218,2013-08-06,1,,1.20,11,13,25.0,"SW",2,0,20,
"MO",2013,233,2013-08-21,1,,1.10,15,15,28.0,"SW",18,30,0,
"MO",2013,253,2013-09-10,1,,1.80,9,11,27.0,"S",7,5,0,
"MO",2013,274,2013-10-01,1,,2.00,11,13,21.0,"W",18,40,0,
"MO",2013,303,2013-10-30,1,,2.20,11,13,10.0,"E",5,5,100,
"MO",2013,336,2013-12-02,1,,,,,,,,,,
"MO",2014,36,2014-02-05,1,,,,,,,,,,
"MO",2014,72,2014-03-13,1,,10.00,12,14,-10.0,"W",15,,5,
"MO",2014,120,2014-04-30,1,,2.60,10,12,8.0,"W",5,15,90,
"MO",2014,135,2014-05-15,1,,4.50,11,13,11.0,"N",5,10,100,
"MO",2014,148,2014-05-28,1,,4.00,12,13,23.0,"E",5,15,50,
"MO",2014,161,2014-06-10,1,,1.40,1020,1140,18.0,"NE",10,15,100,
"MO",2014,174,2014-06-23,1,,1.50,1115,1315,28.0,,0,0,60,
"MO",2014,190,2014-07-09,1,,1.40,1030,1230,21.0,"W",12,30,10,
"MO",2014,202,2014-07-21,1,,1.10,1300,1400,27.0,"SE",7,15,20,
"MO",2014,217,2014-08-05,1,,1.10,1115,1315,21.0,"NE",5,7,100,
"MO",2014,232,2014-08-20,1,,1.70,1415,1500,28.0,"NW",2,7,60,
"MO",2014,251,2014-09-08,1,,1.70,1130,1315,23.0,"SE",12,10,40,
"MO",2014,274,2014-10-01,1,,2.20,1100,1200,16.0,"S",10,15,20,
"MO",2014,309,2014-11-05,1,,1.80,930,1130,9.0,"E",3,2,100,
"MO",2015,65,2015-03-06,1,,4.30,1200,1500,-2.0,"SE",20,,30,
"MO",2015,92,2015-04-02,1,,2.10,1115,1200,12.0,"NW",5,5,100,
"MO",2015,104,2015-04-14,1,,1.90,1045,1215,17.0,,0,0,20,
"MO",2015,121,2015-05-01,1,,2.00,1230,1330,19.0,"NE",2,0,40,
"MO",2015,133,2015-05-13,1,,5.00,1200,1330,14.0,"E",5,5,10,
"MO",2015,147,2015-05-27,1,,3.00,1300,1430,22.0,"NW",7,10,50,
"MO",2015,160,2015-06-09,1,,1.90,1030,1200,24.0,"SW",7,5,90,
"MO",2015,174,2015-06-23,1,,1.50,1300,1400,24.0,"NW",10,20,10,
"MO",2015,190,2015-07-09,1,,1.90,1045,1215,22.0,"SW",2,2,30,
"MO",2015,203,2015-07-22,1,,1.10,1100,1150,24.0,"NW",5,5,70,
"MO",2015,216,2015-08-04,1,,1.40,1045,1215,22.0,"NW",7,15,60,
"MO",2015,233,2015-08-21,1,,1.20,1645,1730,27.0,"SW",12,20,10,
"MO",2015,247,2015-09-04,1,,2.10,1400,1600,28.0,"W",2,2,10,
"MO",2015,280,2015-10-07,1,,2.60,1230,1330,17.0,"N",2,5,30,
"MO",2015,307,2015-11-03,1,,4.00,1030,1200,18.0,"S",2,2,0,
