datetime,SW_TOC,SW_DOC
2013-10-07,6,5.4
2013-10-08,8.6,7.74
2013-10-15,10.1,9.09
2013-11-13,12.5,11.25
2013-11-27,8.3,7.470000000000001
2013-12-16,12.1,10.89
2013-12-18,6.1,5.49
2014-01-14,8.2,7.38
2014-01-15,10.6,9.54
2014-02-06,6,5.4
2014-02-10,9.1,8.19
2014-02-17,11.9,10.71
2014-03-10,7.5,6.75
2014-03-17,11.1,9.99
2014-04-08,8.3,7.470000000000001
2014-04-10,6.2,5.58
2014-04-15,11.2,10.08
2014-05-12,8.9,8.01
2014-05-14,12.1,10.89
2014-05-22,6.1,5.49
2014-06-16,9.8,8.82
2014-06-18,6.3,5.67
2014-06-24,9,8.1
2014-07-08,9.1,8.19
2014-07-09,6.2,5.58
2014-07-15,10.5,9.450000000000001
2014-08-04,6,5.4
2014-08-13,11.2,10.08
2014-08-25,9.1,8.19
2014-09-15,10.5,9.450000000000001
2014-09-17,5.7,5.13
2014-09-18,7.8,7.02
2014-10-15,12.1,10.89
2014-10-16,7.6,6.84
2014-11-17,12.7,11.43
2014-11-19,6.1,5.49
2014-11-25,8.4,7.5600000000000005
2014-12-09,7.9,7.11
2014-12-10,6.1,5.49
2014-12-15,13.2,11.879999999999999
