datetime,wtr,DO_con
1999-07-19,25.7,13.55
1999-08-02,27.2,8.65
1999-08-17,23.3,8.6
1999-08-30,23.4,9.95
1999-09-27,18.1,7.15
1999-10-26,11.2,10.35
1999-11-22,9.4,11.5
2000-01-25,0.7,12.75
2000-03-13,5,12.8
2000-03-29,6.9,13.45
2000-04-10,7.2,12.75
2000-04-25,11.2,10.3
2000-05-09,18.2,8.75
2000-05-22,15.4,8.75
2000-06-06,18.6,8.6
2000-06-19,20.7,9.6
2000-07-03,22.8,10.5
2000-07-17,26.1,12.45
2000-08-01,24.5,9.1
2000-08-16,25.2,8.8
2000-08-28,24.1,8.9
2000-09-25,17.4,6.55
2000-10-24,15.6,8.9
2000-11-27,4.2,11
2001-01-15,0.5,12.3
2001-04-09,6,14.8
2001-04-25,10.5,11
2001-05-09,14.6,8.75
2001-05-21,19.4,9.8
2001-06-04,15.6,8.3
2001-06-18,21,8.2
2001-07-02,23.8,10.25
2001-07-17,28.1,11.65
2001-07-30,27.1,10
2001-08-13,26.7,7.5
2001-08-27,24,9.35
2001-09-26,17,5.95
2001-10-22,13.1,9.1
2001-11-26,8.6,11.1
2002-04-10,4.1,14.8
2002-04-23,9.9,11.65
2002-05-21,13.2,9.25
2002-06-05,17.2,9.15
2002-06-19,20.7,8.9
2002-07-01,27.3,11.25
2002-07-16,27,11
2002-07-26,25.5,8.3
2002-08-13,25.7,8.6
2002-08-26,26,9.35
2002-09-24,19.8,7.8
2002-10-22,11.9,9.65
2002-11-19,7.2,13.6
2003-02-13,1,17.4
2003-04-01,7.4,15.25
2003-04-15,7.3,14.2
2003-04-28,11.3,10.5
2003-05-13,13.6,9.15
2003-05-27,19,10.6
2003-06-10,18.4,10.5
2003-06-23,23.3,10
2003-07-08,25.3,9.5
2003-07-23,23.8,9.1
2003-08-05,25.8,9.3
2003-08-18,27,9.25
2003-09-03,23.5,7.8
2003-09-30,16.1,5.95
2003-10-29,12.4,10.55
2003-12-02,4.4,12
2004-02-17,0.9,12.8
2004-03-31,6.1,13.8
2004-04-13,7.8,14.4
2004-04-29,11.6,10.2
2004-05-11,15.1,10.9
2004-05-27,16.9,10.5
2004-06-08,20.9,11.4
2004-06-22,21,10.1
2004-07-07,21.7,8.8
2004-07-20,25.2,11
2004-08-05,24.5,8.5
2004-08-16,20.5,9.5
2004-09-09,21.4,8.8
2004-10-06,16.9,8.5
2004-11-04,12,9
2005-02-03,1.4,13.9
2005-04-18,12.4,12.65
2005-04-27,9.8,10.05
2005-05-10,12.9,11
2005-05-24,15.6,11.2
2005-06-07,21.6,12.25
2005-06-21,25.5,13.95
2005-07-05,24.4,9.05
2005-07-19,27.3,10
2005-08-03,25.7,9.3
2005-08-15,26.4,8.2
2005-08-30,24.3,9.4
2005-09-27,21.1,9.75
2005-11-03,12.8,10.3
2006-04-05,5.9,16.1
2006-04-19,9.8,12.5
2006-05-03,12.5,10
2006-05-16,12.4,9.1
2006-05-31,21.5,10.6
2006-06-13,23.1,13.45
2006-06-27,22.8,10.45
2006-07-12,24.3,9.75
2006-07-25,25,8.65
2006-08-08,26.5,8.3
2006-08-21,24.8,8.95
2006-09-07,23.4,10.1
2006-10-04,16.8,8.8
2006-10-30,9.3,10.4
2006-12-11,1.2,13.2
2007-01-05,2,13.2
2007-02-26,0.3,13.05
2007-04-03,6.2,14.8
2007-04-17,7,15.2
2007-05-02,11.9,10.95
2007-05-21,16.4,9.1
2007-05-29,18.9,10.2
2007-06-11,21.2,10.2
2007-06-25,24.3,9.7
2007-07-09,26.6,9.1
2007-07-23,25.1,9
2007-08-07,25.3,8
2007-08-20,23.1,7
2007-09-04,24.6,9.35
2007-10-04,19.2,7.85
2007-10-29,14.3,8.2
2007-11-26,6.3,11.25
2008-03-03,0.4,13.15
2008-04-17,5.7,15.2
2008-04-30,10.4,15.55
2008-05-14,12.1,11.5
2008-05-28,16.4,10.7
2008-06-10,18.8,9.5
2008-06-24,22.5,12.5
2008-07-08,24.2,10.7
2008-07-21,26.4,13.4
2008-08-05,26.1,8.15
2008-08-18,25.2,8.8
2008-09-05,23.4,7
2008-09-29,20.8,7.9
2008-10-31,13.3,11.1
2009-02-05,0.2,16.1
2009-04-17,8.8,17.7
2009-04-29,9.9,13.8
2009-05-11,15,10.2
2009-05-28,16.6,9.45
2009-06-10,19.5,10
2009-06-23,27.1,12.5
2009-07-09,22.6,14.45
2009-07-20,22,12.1
2009-08-04,22.9,8.65
2009-08-20,23.7,7.6
2009-09-04,23.3,13.3
2009-09-30,18.7,5.55
2009-10-30,11.1,8.8
2009-12-04,7.5,10.2
2010-02-03,2.2,11.6
2010-03-31,5.9,12.4
2010-04-12,9,16.5
2010-04-27,11.9,10.4
2010-05-13,12.6,8.5
2010-05-25,20.4,10.15
2010-06-09,20.8,9.05
2010-06-21,23.4,10.6
2010-07-06,24.1,7.5
2010-07-20,26.3,8.15
2010-08-04,27.6,9.1
2010-08-16,25.3,6.6
2010-08-30,24.6,7.55
2010-10-08,17.3,9.9
2010-11-02,12,10.05
2011-01-26,0.4,11.85
2011-04-21,8.3,13.25
2011-05-03,9,12.1
2011-05-17,12.3,9.05
2011-06-01,15.9,6.85
2011-06-14,20.1,11.75
2011-06-28,21.4,11.05
2011-07-12,26.6,10.9
2011-07-26,27.9,9.05
2011-08-09,26.9,8.6
2011-08-24,24.9,8.65
2011-09-13,21.6,8.5
2011-10-04,17.9,11.05
2011-11-01,11.4,11.35
2012-04-05,10,10.7
2012-04-18,11.1,10
2012-05-03,13.3,9.95
2012-05-16,18.6,12.35
2012-05-30,19.4,8.6
2012-06-12,22.1,9.45
2012-06-26,25,9.75
2012-07-11,28.2,8.45
2012-07-24,26.8,7.25
2012-08-07,26.7,8.2
2012-08-21,24,8.35
2012-09-05,24.3,7.4
2012-10-02,17.5,9.95
2012-11-01,10.2,10.15
2013-02-05,0.9,12.9
2013-05-08,16.5,12.9
2013-05-15,14.3,12.6
2013-05-29,17.2,11.3
2013-06-11,22.3,15
2013-06-25,23.2,11.15
2013-07-08,26.3,7.1
2013-07-22,27,9.3
2013-08-06,23.7,8.75
2013-08-21,24.3,8.8
2013-09-10,24.2,7.35
2013-10-01,19.3,7.7
2013-10-30,11.3,8
2014-03-13,0.2,12.55
2014-04-30,7.9,11.45
2014-05-15,12.3,11
2014-05-28,20.2,9.1
2014-06-10,22.1,11.75
2014-06-23,25.5,10.25
2014-07-09,23,9.05
2014-07-21,23.5,9.2
2014-08-05,23.7,8.5
2014-08-20,24.7,9.55
2014-09-08,23.2,9
2014-10-01,18.4,9.2
2014-11-05,10.4,10.9
2015-03-06,0.3,14.05
2015-04-02,3.7,15.15
2015-04-14,7.9,13.55
2015-05-01,14.3,13.5
2015-05-13,14.1,9.6
2015-05-27,17.5,9.9
2015-06-09,20.9,10.45
2015-06-23,23.1,9.25
2015-07-09,24,8.95
2015-07-22,25.6,9.3
2015-08-04,24.4,7.45
2015-08-21,23.4,7.6
2015-09-04,26.5,10.1
2015-10-07,18,7.45
2015-11-03,12.7,9.9
