datetime,Rain
4/16/14,0
4/17/14,0
4/18/14,0
4/19/14,0
4/20/14,0.3
4/21/14,1.3
4/22/14,0
4/23/14,3.6
4/24/14,9.9
4/25/14,0.5
4/26/14,0
4/27/14,6.4
4/28/14,17.3
4/29/14,5.8
4/30/14,0.3
5/1/14,0.8
5/2/14,0.5
5/3/14,0
5/4/14,0
5/5/14,0
5/6/14,0
5/7/14,0.3
5/8/14,0
5/9/14,0.3
5/10/14,0
5/11/14,4.1
5/12/14,28.2
5/13/14,0.5
5/14/14,0
5/15/14,2
5/16/14,0
5/17/14,0
5/18/14,0
5/19/14,3.3
5/20/14,0.3
5/21/14,0
5/22/14,0
5/23/14,0
5/24/14,0
5/25/14,0
5/26/14,10.9
5/27/14,37.1
5/28/14,0
5/29/14,0
5/30/14,0
5/31/14,0
6/1/14,47.5
6/2/14,21.3
6/3/14,0
6/4/14,2
6/5/14,0
6/6/14,0
6/7/14,3
6/8/14,0
6/9/14,0
6/10/14,0
6/11/14,0.5
6/12/14,0
6/13/14,0
6/14/14,0
6/15/14,0
6/16/14,21.1
6/17/14,5.6
6/18/14,18
6/19/14,16.8
6/20/14,34
6/21/14,0.8
6/22/14,1.8
6/23/14,0.3
6/24/14,0
6/25/14,0
6/26/14,0
6/27/14,0
6/28/14,0
6/29/14,35.6
6/30/14,34.3
7/1/14,0
7/2/14,0.3
7/3/14,0
7/4/14,0
7/5/14,0
7/6/14,0
7/7/14,7.6
7/8/14,1
7/9/14,0
7/10/14,0
7/11/14,0
7/12/14,11.2
7/13/14,0
7/14/14,1.8
7/15/14,4.3
7/16/14,0
7/17/14,0
7/18/14,0
7/19/14,0
7/20/14,0
7/21/14,0
7/22/14,0
7/23/14,0
7/24/14,0
7/25/14,0.5
7/26/14,0
7/27/14,0.8
7/28/14,0
7/29/14,0
7/30/14,0
7/31/14,0
8/1/14,18.8
8/2/14,0
8/3/14,0
8/4/14,44.2
8/5/14,0
8/6/14,0
8/7/14,0
8/8/14,0
8/9/14,0
8/10/14,0
8/11/14,5.3
8/12/14,0
8/13/14,0
8/14/14,0
8/15/14,0
8/16/14,0
8/17/14,0
8/18/14,0
8/19/14,14.7
8/20/14,0
8/21/14,15.5
8/22/14,0
8/23/14,0.8
8/24/14,0
8/25/14,33.3
8/26/14,0
8/27/14,0
8/28/14,0
8/29/14,0.3
8/30/14,5.1
8/31/14,0
9/1/14,1.8
9/2/14,0
9/3/14,0
9/4/14,20.3
9/5/14,0
9/6/14,0
9/7/14,0
9/8/14,0
9/9/14,1.8
9/10/14,10.2
9/11/14,0
9/12/14,4.3
9/13/14,0
9/14/14,0
9/15/14,4.3
9/16/14,0
9/17/14,0
9/18/14,0
9/19/14,0
9/20/14,2.8
9/21/14,0
9/22/14,0
9/23/14,0
9/24/14,0
9/25/14,0
9/26/14,0
9/27/14,0
9/28/14,0
9/29/14,1.3
9/30/14,0
10/1/14,0
10/2/14,2.3
